fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|231500000|61300000||3000000|-10100000|8800000|9500000|||191500000|-20700000|-270500000||262300000|262300000||||||||-262300000||||191500000|VRSN
2024-09-30|USD|253400000|13100000||26900000|4900000|9000000|5600000|||201300000|60500000|-299100000||303100000|303100000||||||||-303100000||||201300000|VRSN
2024-06-30|USD|160400000|23300000||-50800000|11700000|9300000|9200000|||198800000|-249900000|-390300000||390300000|390300000||||||||-390300000||||198800000|VRSN
2024-03-31|USD|257300000|13100000||-8000000|-13700000|9800000|3800000|||194100000|496400000|-261600000||269900000|269900000||||||||-261600000||||194100000|VRSN
2023-12-31|USD|204200000|61400000||14000000|74700000|10400000|5000000|||264700000|104100000|-226300000||225600000|225600000||||||||-225600000||||264700000|VRSN
2023-09-30|USD|245300000|13100000||32500000|-4800000|10800000|28600000|||188500000|-213000000|-218100000||222400000|222400000||||||0||-222400000||||188500000|VRSN
2023-06-30|USD|145300000|23300000||-60300000|2400000|11300000|6500000|||185700000|-398300000|-222900000||222900000|222900000||||||0||-222900000||-475900000||185700000|VRSN
2023-03-31|USD|259000000|13100000||11600000|-4400000|11600000|5700000|||178700000|409800000|-222500000||230500000|230500000||||||0||-222500000||446300000||178700000|VRSN
2022-12-31|USD|216900000|63100000||26700000|-5600000|9900000|7700000|||179500000|-190300000|-214100000||214100000|214100000||||||0||-214100000||-187500000||179500000|VRSN
2022-09-30|USD|262200000|13200000||15100000|3200000|9900000|6900000|||169500000|-33400000|-273800000||277900000|277900000||||||0||-273800000||-45000000||169500000|VRSN
2022-06-30|USD|144900000|23300000||-27000000|21800000|9900000|6200000|||167300000|54900000|-351500000||351500000|351500000||||||0||-351500000||-151700000||167300000|VRSN
2022-03-31|USD|207100000|13100000||-14900000|-9500000|9800000|6600000|||157500000|524500000|-196400000||204600000|204600000||||||0||-196400000||535200000||157500000|VRSN
2021-12-31|USD|206300000|64333000||21024000|165839000|9800000|13497000|||330100000|-54100000|-185800000||185800000|185790000||||||0||-185790000||-34283000|-561000|330130000|VRSN
2021-09-30|USD|260100000|13127000||31258000|174000|9700000|15266000|||156600000|-50200000|-172500000||175600000|175598000||||||0||-171295000||171050000||156600000|VRSN
2021-06-30|USD|142500000|35562000||-29174000|18776000|9500000|17549000|||147700000|10300000|-183500000||175800000|175785000||||||0||-175785000||161389000||147700000|VRSN
2021-03-31|USD|198300000|13156000||-7613000|6261000|9300000|6721000|||150400000|-175200000|-177300000||185400000|185414000||||||0||-177313000||-154181000||150400000|VRSN
2020-12-31|USD|195238000|66794000||8139000|-5032000|15044000|6462000|||157326000|233520000|-173772000||173795000|173749000||||||0||-173749000||254986000|-48000|157314000|VRSN
2020-09-30|USD|139590000|13152000||-31708000|20843000|9100000|15042000|||170979000|-131452000|-169598000||173879000|173879000||||||0||-169598000||183657000||170979000|VRSN
2020-06-30|USD|215312000|30557000||53205000|14801000|9000000|10878000|||152479000|-253452000|-154203000||154203000|154203000||||||0||-154203000||164466000||152479000|VRSN
2020-03-31|USD|180060000|13151000||-27409000|170816000|5897000|11013000|||334116000|79084000|-267327000||275623000|275623000||||||0||-267327000||-8183000||334116000|VRSN
2019-12-31|USD|193598000|30609000||7086000|54844000|19071000|8818000|||148325000|405022000|-199970000||199098000|199098000||||||0||-199098000||398714000|-179000|148325000|VRSN
2019-09-30|USD|208119000|13366000||32241000|-8556000|8700000|11309000|||153913000|-655889000|-194054000||198953000|198953000||||||0||-194054000||166533000||153913000|VRSN
2019-06-30|USD|164845000|30645000||-7742000|1247000|8600000|11056000|||147534000|-12629000|-180230000||180230000|180230000||||||0||-180230000||160689000|-12000|147534000|VRSN
2019-03-31|USD|187330000|13063000||-31609000|-7139000|4646000|9133000|||162527000|430691000|-196049000||204302000|204302000||||||0||-196049000||422227000|255000|162527000|VRSN
2018-12-31|USD|218500000|30772000||27348000|58910000|21855000|7410000|||182195000|85683000|-178349000||178349000|178349000||||||0||-178349000||125861000|27000|182195000|VRSN
2018-09-30|USD|187461000|10600000||-8586000|-37194000|8300000|10928000|||137680000|-38697000|-173181000||178206000|178206000||||||0||-173181000||142210000|-395000|137680000|VRSN
2018-06-30|USD|201817000|8500000||-11741000|-26646000|9175000|11007000|||128351000|-269508000|-1378865000||128856000|128856000||||||0||-128856000||133149000|-757000|128351000|VRSN
2018-03-31|USD|89989000|43326000||-9151000|60095000|7890000|7662000|||134263000|1292652000|-144930000||152741000|152741000||||||0||-144930000||1237878000|167000|134263000|VRSN
2017-12-31|USD|199193000|-86504766||17565000|198857000|3851000|8890000|||102837000|126549000|-146883000||146883000|146883000||||||0||-146883000||179029000|176000|102837000|VRSN
2017-09-30|USD|174671000|27825000||19586000|-21752000|3034000|21635000|||114899000|-529957000|399572000||148531000|148531000||||||0||-143613000||44396000|116000|114899000|VRSN
2017-06-30|USD|180711000|30608000||26880000|-15228000|2971000|9320000|||123100000|-240446000|-152711000||152711000|152711000||||||0||-152711000||-212166000|264000|123100000|VRSN
2017-03-31|USD|148186000|28189000||-23200000|-34971000|3493000|9654000|||116412000|238430000|-165051000||173048000|173048000||||||0||-165051000||222647000|738000|116412000|VRSN
2016-12-31|USD|204964000|40106000||43406000|-25048000|3440000|6685000|-2665000|-549000|105552000|8030000|-160557000||160557000|160557000||||||0||-160557000||54160000|-610000|105552000|VRSN
2016-09-30|USD|171044000|30152000||13492000|-22004000|2802000|149431000|738000||114427000|7746000|-172113000||177699000|177699000||||||0||-172113000||6819000|142000|114427000|VRSN
2016-06-30|USD|167355000|37298000||-1768000|-27449000|2744000|6376000|-981000||113210000|-78205000|-151875000||151875000|151875000||||||0||-151875000||-63059000|-334000|113210000|VRSN
2016-03-31|USD|149644000|33046000||-539000|-21222000|3267000|7082000|3779000|6524000|107456000|19697000|-164276000||172360000|172360000||||||0||-164276000||5366000|301000|107456000|VRSN
2015-12-31|USD|206999000|29957000||27556000|-24410000|4707000|11997000|-1980000|-19353000|101530000|13524000|-170014000||150594000|150594000||||||0||-150594000||50788000|279000|101530000|VRSN
2015-09-30|USD|155322000|162000||27976000|-13255000|2581000|6768000|301000||92457000|-21138000|-142960000||156690000|156690000||||||0||-151014000||-9415000|-639000|92457000|VRSN
2015-06-30|USD|174956000|149000||30703000|-29308000|2527000|8849000|-264000||93011000|-540440000|-153531000||157555000|157555000||||||-1587000||-157317000||-518593000|422000|93011000|VRSN
2015-03-31|USD|132669000|31644000||5766000|-14288000|2477000|13042000|1282000|-3084000|88238000|51155000|330263000||178330000|178330000||||||493824000||-169554000||514271000|184000|88238000|VRSN
