fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|240139000|||37635000|58468000|11753000|52104000|93697000|-22975000|231398000|-52113000|-193578000||66000|66000||||||0||5227000||||231398000|WAT
2024-09-30|USD|204580000|||61126000|38898000|39759000|25618000|42185000|-14677000|161503000|-26051000|-176884000||141000|141000||||||0||3096000||||161503000|WAT
2024-06-30|USD|54534000|||-140062000|-10241000|36744000|36104000|-7050000|-11600000|142737000|-36115000|-34037000||245000|245000||||||170000000||7659000||||142737000|WAT
2024-03-31|USD|262870000|||-26052000|-36945000|48514000|28655000|-62592000|28309000|102196000|-29744000|-292176000||13089000|13089000||||||0||843000||||102196000|WAT
2023-12-31|USD|230122000|||28400000|37106000|12148000|41588000|51148000|-35972000|216205000|-37944000|-130487000||-156000|-156000||520040000|520040000|||-1000||11856000||||216205000|WAT
2023-09-30|USD|157818000|||-162000|-3780000|38116000|38047000|-50054000|17808000|134552000|-37401000|-113525000||692000|692000||9464000|9464000|||1000||8772000||||134552000|WAT
2023-06-30|USD|18118000|||-147014000|38331000|24815000|46607000|-6226000|20986000|150554000|-1332514000|1158174000||236000|0||2299484000|2299484000|||0||0||||150554000|WAT
2023-03-31|USD|196751000|||-66224000|-5965000|31154000|34390000|-44047000|42621000|140923000|-34406000|-159211000||69505000|69505000||2378000|2378000|||50040000||-67127000||3134000||140923000|WAT
2022-12-31|USD|198709000|||79357000|105313000|1503000|62184000|98776000|-11309000|227062000|-62184000|-111446000||148894000|148894000||6665000|6665000|||40000000||-142229000||||227062000|WAT
2022-09-30|USD|158089000|||24913000|36063000|32214000|41629000|-18279000|48141000|155998000|-38380000|-88006000||155223000|155223000||65222000|65222000|||60000000||-150001000||31703000||155998000|WAT
2022-06-30|USD|56903000|||-28361000|83953000|65218000|39269000|56470000|38238000|164864000|-26395000|-82770000||151808000|151808000||||||105000000||-133726000||-52262000||164864000|WAT
2022-03-31|USD|197960000|||-67503000|43035000|32664000|32648000|907000|26832000|159831000|18992000|-227411000||170136000|170136000||||||0||-157304000||-10459000||159831000|WAT
2021-12-31|USD|217938000|||56641000|60328000|1735000|44652000|85920000|-26628000|216239000|16798000|-254368000||156235000|156235000||||||0||-155592000||216239000||216239000|WAT
2021-09-30|USD|167892000|||17695000|33894000|33183000|39725000|-4487000|43005000|161185000|32678000|-135716000||151188000|151188000||||||10000000||-141224000||64854000||161185000|WAT
2021-06-30|USD|143040000|||-48980000|21853000|62903000|44386000|-11040000|20329000|167292000|-122102000|-236966000||168202000|168202000||||||0||-139461000||-216028000||167292000|WAT
2021-03-31|USD|218404000|||-31321000|29898000|31356000|39503000|-7945000|30544000|148127000|-159004000|188775000||173305000|173305000||||||500000000||-157010000||248175000||148127000|WAT
2020-12-31|USD|267482000|||101484000|77916000|2687000|47044000|59488000|-27079000|218311000|-37533000|-172534000||56000|56000||||||0||37556000||218311000||218311000|WAT
2020-09-30|USD|172579000|||-7032000|-16000000|2657000|28311000|-9977000|-18950000|126769000|-34226000|-108602000||56000|56000||||||0||13626000||126769000||126769000|WAT
2020-06-30|USD|198811000|||12008000|-31092000|2618000|45899000|-32952000|-2310000|122929000|-62160000|-192284000||71000|71000||||||0||2925000||122929000||122929000|WAT
2020-03-31|USD|151635000|||-6587000|-22336000|29188000|51130000|-54026000|29399000|53562000|-130175000|32918000||196226000|196226000||||||315000000||-184483000||54378000||53562000|WAT
2019-12-31|USD|191895000|15843000||11323000|39800000|2529000|53618000|80092000|-52119000|200669000|-56639000|-211137000||559558000|559558000||||||325308000||-540154000||200669000||200669000|WAT
2019-09-30|USD|148389000|||-1291000|5258000|2619000|45017000|-5389000|21773000|138133000|40378000|-366807000||580065000|580065000||||||599999000||-575883000||138133000||138133000|WAT
2019-06-30|USD|127024000|||-512000|52362000|2264000|39522000|6823000|17762000|144410000|351024000|-571600000||576530000|576530000||||||197000||-574032000||144410000||144410000|WAT
2019-03-31|USD|175779000|||-39647000|-15983000|24764000|25666000|-59331000|44438000|108986000|434039000|-723134000||753105000|753105000||||||166000||-725474000||-113316000||108986000|WAT
2018-12-31|USD|181549000|||33196000|47457000|2337000|31864000|84814000|-22430000|185152000|425584000|-493079000||498457000|498457000||||||264000||-488405000||185152000||185152000|WAT
2018-09-30|USD|146340000|||2785000|19868000|2114000|58870000|-302000|13949000|141014000|51336000|-256212000||263505000|263505000||||||-216000||-255973000||137014000||141014000|WAT
2018-06-30|USD|100716000|||-116871000|10436000|1602000|20839000|3997000|5776000|155677000|310543000|-364166000||270774000|270774000||||||145000||-260216000||155677000||155677000|WAT
2018-03-31|USD|175841000|||26242000|1955000|28640000|15992000|-40588000|28101000|111951000|895839000|-1006065000||282370000|282370000||||||81000||-258083000||74203000|8588000|111951000|WAT
2017-12-31|USD|192184000|||10918000|75530000|1639000|0|77371000|-26948000|-353172000|-131764000|-24375000||86802000|86802000||||||1350000000||-61834000||38512000|2467000|-353172000|WAT
2017-09-30|USD|154196000|||36279000|542000|1682000|0|-11413000|7048000|136104000|-110136000|-17208000||79908000|79908000||||||45190000||-65269000||36552000|9700000|136104000|WAT
2017-06-30|USD|245703000|||-38835000|7171000|1693000|22647000|-6835000|8696000|131822000|-196803000|-9922000||76661000|76661000||||||45000000||-56738000||-17189000|12485000|131822000|WAT
2017-03-31|USD|219438000|||6339000|-19540000|1729000|17711000|-35110000|10473000|105557000|-97049000|-12364000||89173000|89173000||||||40000000||-50914000||78813000|14017000|105557000|WAT
2016-12-31|USD|-278776000|30681000||17126000|49660000|2358000|22671000|71192000|-19841000|174378000|-49244000|-35973000||83835000|83835000||||||45121000||-80218000||75422000|-13264000|174378000|WAT
2016-09-30|USD|124856000|||-6399000|14700000|2476000|22600000|-7153000|14985000|124856000|-171003000|-11310000||69532000|69532000||||||40000000||-34232000||-33173000|545000|124856000|WAT
2016-06-30|USD|128217000|||7635000|8772000|2411000|25044000|5936000|4515000|128217000|-69848000|-29402000||76903000|76903000||||||290000000||-61822000||46995000|-12672000|128217000|WAT
2016-03-31|USD|94052000|||7440000|-15382000|2644000|24652000|-38254000|20488000|94052000|-197823000|-39016000||95489000|95489000||||||110177000||-87298000||-71278000|4056000|94052000|WAT
2015-12-31|USD|151054000|||20359000|59954000|2576000|30762000|56775000|-15521000|151054000|-105230000|-11676000||79594000|79594000||||||40146000||-56482000||28147000|-8598000|151054000|WAT
2015-09-30|USD|116281000|||9000|7203000|2573000|26957000|8955000|7810000|116281000|-30001000|-9366000||84153000|84153000||||||90000000||-79982000||93643000|-6083000|116281000|WAT
2015-06-30|USD|105657000|||7966000|29122000|2500000|23883000|9119000|7677000|105657000|-208062000|11722000||79933000|79933000||||||75000000||-66425000||-74923000|8458000|105657000|WAT
2015-03-31|USD|96061000|||26404000|1707000|2474000|21410000|-24961000|20001000|96061000|-56446000|-60274000||91025000|91025000||||||120073000||-79756000||18621000|-19249000|96061000|WAT
2014-12-31|USD|151292000|||-13921000|32091000|2616000|13326000|53023000|-20828000|151292000|-79606000|-2437000||75874000|75874000||||||45243000||-45312000||65209000|-14470000|151292000|WAT
2014-09-30|USD|113497000|||-9845000|13450000|12000000|28086000|5282000|5254000|113497000|-148663000|-39111000||76398000|76398000||||||260006000||-73782000||-71723000|-11788000|113497000|WAT
2014-06-30|USD|96529000|||-8837000|10878000|12000000|22756000|1277000|7395000|96529000|-53812000|-25374000||92600000|92600000||||||66371000||-87251000||33309000|6163000|96529000|WAT
2014-03-31|USD|115755000|||26195000|9193000|20342000|21395000|-30147000|24163000|70302000|-119949000|-40299000||92572000|92572000||||||10053000||-57250000||-45414000|-921000|70302000|WAT
2013-12-31|USD|143291000|||-8418000|29050000|21440000|25634000|57818000|-19393000|141582000|-135363000|-2531000||75382000|75382000||||||30186000||-41894000||9795000|4398000|141582000|WAT
2013-09-30|USD|104765000|||840000|17968000|10000000|31540000|3381000|9960000|98048000|-131403000|-8981000||55119000|55119000||||||40852000||-38819000||-24044000|11575000|98048000|WAT
2013-06-30|USD|109022000|||-2983000|3010000|10000000|30639000|-9467000|7982000|89314000|-107510000|-18495000||69712000|69712000||||||895539000||-58020000||-17003000|-20000|89314000|WAT
2013-03-31|USD|127798000|||-16738000|3028000|18262000|30637000|-16499000|12840000|121059000|-90453000|-34581000||101367000|101367000||||||65632000||-93889000||-8987000|-11751000|121059000|WAT
2012-12-31|USD|131653000|||2967000|32332000|17606000|31701000|45342000|-25628000|175944000|2457000|-13139000||60596000|60596000||58220000|58220000|||30250000||-53011000||124742000|3771000|175944000|WAT
2012-09-30|USD|101353000|||-14972000|11787000|11000000|26128000|423000|7231000|99109000|-108170000|-16859000||63963000|63963000||50561000|50561000|||50137000||-61364000||-13136000|10540000|99109000|WAT
2012-06-30|USD|105076000|||5074000|21430000|6000000|31386000|10083000|11270000|97724000|-127727000|-24542000||103240000|103240000||84343000|84343000|||87843000||-99109000||-57757000|-10564000|97724000|WAT
2012-03-31|USD|111198000|||3146000|1605000|14569000|15534000|-16012000|18057000|88666000|-62954000|-11995000||68079000|68079000||54069000|54069000|||50094000||-53525000||43196000|6947000|88666000|WAT
2011-12-31|USD|150062000|||-11819000|3442000|16342000|34092000|22568000|-37528000|137147000|-161262000|-22469000||72850000|72850000||40329000|40329000|||40329000||-58384000||-39936000|-6267000|137147000|WAT
2011-09-30|USD|127333000|||12090000|9292000|7000000|16072000|-2849000|10184000|101257000|-20600000|-13226000||144165000|144165000||259098000|259098000|||261068000||-141452000||79012000|-14495000|101257000|WAT
2011-06-30|USD|97218000|||295000|27294000|8000000|18433000|10539000|18698000|100075000|-53007000|2523000||80641000|80641000||54083000|54083000|||55005000||-51750000||48054000|1320000|100075000|WAT
2011-03-31|USD|122761000|||1430000|-900000|16160000|16839000|-17730000|17353000|94489000|-121107000|-27250000||73179000|73179000||245018000|245018000|||242126000||-59096000||-11638000|13958000|94489000|WAT
2010-12-31|USD|134087000|||-3633000|16383000|17040000|15463000|22573000|1265000|126604000|-79078000|-1363000||51399000|51399000||525000|525000|||525000||22335000||45706000|-7940000|126604000|WAT
2010-09-30|USD|108942000|||28003000|10056000|6000000|26048000|7861000|10602000|94719000|-156765000|-18732000||65070000|65070000||46578000|46578000|||46578000||-57403000||-48092000|18463000|94719000|WAT
2010-06-30|USD|111672000|||18990000|17744000|7000000|11064000|6622000|9035000|84922000|-59485000|-21678000||74804000|74804000||55265000|55265000|||55265000||-64473000||13872000|-16637000|84922000|WAT
2010-03-31|USD|103155000|||12552000|31265000|14985000|10165000|6230000|16134000|75518000|-116187000|-18479000||105019000|105019000||213273000|213273000|||213273000||-96167000||-44099000|-12588000|75518000|WAT
2009-12-31|USD|119859000|||-21054000|-22973000|14700000|13397000|-4835000|-11796000|104123000|-114812000|-50353000||54165000|-368589000||15285000|15285000|||15285000||379529000||-49306000|-4000000|104123000|WAT
2009-09-30|USD|124570000|||23543000|-13387000|6000000|22645000|-13915000|35000|75936000|-63140000|-34052000||48327000|48327000||25399000|25399000|||25399000||-44123000||31972000|4594000|75936000|WAT
2009-06-30|USD|93146000|||||7000000|35598000||36376000|69907000|-139715000|8158000||172731000|||48861000|48861000|||||-45039000||-29708000|8703000|69907000|WAT
2009-03-31|USD|80688000|||||14411000|22156000||-17792000|73347000|-101361000|-14033000||-63846000|||94764000|94764000|||||-63846000||-40369000|-5663000|73347000|WAT
2008-12-31|USD|112218000|||||12806000|19987000||63124000|99353000|-24810000|-531898000||448554000|||||||||-26446000||-464078000|-19588000|99353000|WAT
2008-09-30|USD|102742000|||||13678000|16504000||-8822000|71503000|-19486000|-7979000||-56718000|||||||||-56718000||61919000|-13358000|71503000|WAT
2008-06-30|USD|107360000|||||25040000|18272000||-15099000|83148000|63107000|-16728000|||||||||||-77578000||||83148000|WAT
