fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2025-01-31|USD|1112000000|31000000||1159000000|717000000|80000000|86000000|551000000||94000000|-727000000|-154000000||103000000|103000000||||||0||-23000000||||94000000|WDAY
2024-10-31|USD|406000000|84000000||-137000000|154000000|134000000|49000000|114000000||193000000|-450000000|-282000000||158000000|158000000||||||0||-158000000||||193000000|WDAY
2024-07-31|USD|571000000|28000000||68000000|175000000|109000000|55000000|157000000||132000000|-346000000|-347000000||312000000|312000000||||||0||-206000000||||132000000|WDAY
2024-04-30|USD|372000000|78000000||-708000000|-448000000|99000000|81000000|-509000000||107000000|-258000000|-367000000||128000000|128000000||||||0||-128000000||||107000000|WDAY
2024-01-31|USD|995645000|32740000||982875000|582695000|88844000|47635000|414647000|327647000|1188495000|-480672000|-66686000||139667000|139667000||||||0||-139667000||||1188495000|WDAY
2023-10-31|USD|451000000|80322000||-149217000|-29436000|82190000|60648000|-37719000|-37719000|113709000|-172000000|-150000000||145000000|144686000||||||0|0|-144686000||||114000000|WDAY
2023-07-31|USD|425000000|25399000||118086000|226449000|121371000|65119000|183387000|183387000|78660000|-385000000|-49000000||139000000|138647000||||||0|0|-138647000||-8675000||79000000|WDAY
2023-04-30|USD|277000000|83539000||-625744000|-419708000|119396000|68598000|-473315000|-473315000|136000|-713000000|-2000000||0|0||||||0|0|0||-438820000||0|WDAY
2023-01-31|USD|694452000|25484000||914130000|630645000|158917000|77329000|518608000|518607999|-125697000|-380127000|-7895000||74666000|74666000||||||0|0|-7694000||||-125697000|WDAY
2022-10-31|USD|408668000|79757000||1964000|-7768000|162411000|59546000|-61885000|-61885000|-74721000|-168063000|-1149073000||0|0||||||0|0|710000||||-74721000|WDAY
2022-07-31|USD|114358000|19538000||84201000|399468000|165537000|168843000|324841000||-64158000|-486995000|83087000||0|0||||||0|0|83302000||-289550000||-64158000|WDAY
2022-04-30|USD|439717000|28599000||-326964000|-397238000|159447000|58770000|-462964000||-102006000|-1470741000|2277702000|||||||||2978077000|0|990000||1246678000||-102173000|WDAY
2022-01-31|USD|615149000|37996000||776292000|501991000|158747000|81365000|379190000||-73253000|-439519000|62484000|||||||||0|0|71947000||238114000||-73253000|WDAY
2021-10-31|USD|384654000|25639000||-35000000|25955000|154124000|33339000|-6649000||43412000|-166859000|-7523000|||||||||0|0|1894000||210272000||43412000|WDAY
2021-07-31|USD|198473000|22380000||84978000|283876000|151380000|87852000|227511000||105936000|-139332000|66298000|||||||||0|0|75844000||125439000||105736000|WDAY
2021-04-30|USD|452428000|35753000||-236669000|-330283000|146460000|241219000|-392119000||-48522000|-861716000|-11008000|||||||||0|0|-1357000||-420296000||-46522000|WDAY
2021-01-31|USD|553746000|27907000||601022000|354153000|148328000|52431000|286903000||-73311000|-298973000|60844000|||||||||0|0|70506000||-73311000||-71707000|WDAY
2020-10-31|USD|293802000|30672000||83000|69848000|143962000|79269000|53923000||-24340000|-462666000|-5906000|||||||||0|0|3650000||-174770000||-24340000|WDAY
2020-07-31|USD|157210000|30733000||-53080000|160294000|144706000|68319000|109316000||-28016000|-202638000|70780000|||||||||250000000|0|70940000||25352000||-28016000|WDAY
2020-04-30|USD|263683000|25395000||-242593000|-292819000|141354000|62427000|-290902000||-158368000|-277347000|499331000|||||||||497795000|0|3577000||485667000||-158368000|WDAY
2020-01-31|USD|297114000|23899000||432840000|348754000|227015000|147578000|262280000||-127958000|-541381000|62209000|||||||||0|0|62353000||-127958000||-127958000|WDAY
2019-10-31|USD|258002000|21463000||38899000|24755000|107527000|55163000|-2197000||-115729000|32559000|1602000|||||||||0|0|1780000||292163000||-115729000|WDAY
2019-07-31|USD|100319000|22262000||-16000|103323000|103303000|75576000|73437000||-120712000|-320745000|57951000|||||||||0|0|58085000||-162475000||-120712000|WDAY
2019-04-30|USD|209163000|3537000||-96192000|-133787000|73467000|65535000|-157379000|16296000|-116275000|-67355000|3362000|||||||||0|0|3455000||145170000||-116275000|WDAY
2019-01-31|USD|250513000|2172000||377564000|290714000|41655000|44872000|215092000|-18847000|-104361000|-202426000|49409000|||||||||0|0|49503000||-104361000|181000|-104361000|WDAY
2018-10-31|USD|114296000|634000||71127000|48590000|88507000|55427000|9379000|57911000|-153331000|-1268079000|2704000|||||||||0|0|2767000||-1151292000|-213000|-153331000|WDAY
2018-07-31|USD|57616000|1492000||58973000|134147000|70490000|53346000|104758000|-20628000|-86156000|912307000|-311378000|||||||||38686000|0|38686000||658383000|-162000|-86156000|WDAY
2018-04-30|USD|184233000|1733000||-102474000|-164584000|67139000|48862000|-168702000|20115000|-74410000|-284586000|2554000|||||||||2611000|0|2611000||-98219000|-420000|-74410000|WDAY
2018-01-31|USD|126548000|171000||295600000|262175000|63321000|36059000|174076000|-47883000|-89100000|-361978000|32497000|||||||||0|0|32555000||-89100000|490000|-89100000|WDAY
2017-10-31|USD|144031000|669000||58258000|11530000|56776000|36356000|-19070000|47816000|-85546000|-595458000|1039314000|||||||||1132101000|80805000|82779000||587565000|-322000|-85546000|WDAY
