fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|403000000|14000000||215000000|175000000|5000000|116000000|139000000|36000000|594000000|123000000|-1000000|0||||||||||0||||594000000|WDC
2024-09-30|USD|34000000|132000000||25000000|368000000|5000000|96000000|292000000|76000000|493000000|-45000000|-102000000|150000000||||||||||0||||493000000|WDC
2024-06-30|USD|366000000|95000000||593000000|493000000|574000000|116000000|366000000|127000000|39000000|-58000000|-319000000|500000000||||||||||40000000||||39000000|WDC
2024-03-31|USD|58000000|17000000||-123000000|276000000|5000000|97000000|277000000|-1000000|135000000|7000000|-645000000|300000000||||||||||0||||135000000|WDC
2023-12-31|USD|-92000000|17000000||-230000000|-209000000|5000000|150000000|72000000|-281000000|-287000000|-60000000|597000000|1600000000||||40000000|40000000|||||38000000||||-287000000|WDC
2023-09-30|USD|-626000000|142000000||-252000000|-348000000|4000000|124000000|-147000000|-201000000|-685000000|84000000|554000000|600000000|0|0||||||0||-3000000||||-685000000|WDC
2023-06-30|USD|-68000000|55000000||127000000|-274000000|832000000|119000000|7000000|-281000000|-715000000|-142000000|19000000|0|0|0||1087000000|1087000000|||0||43000000||-191000000||-715000000|WDC
2023-03-31|USD|-381000000|12000000||-294000000|-108000000|4000000|124000000|-314000000|206000000|-572000000|-138000000|868000000|0|0|0||868000000|868000000|||0||883000000||349000000||-571000000|WDC
2022-12-31|USD|35000000|12000000||-465000000|-606000000|2000000|258000000|-517000000|-89000000|-446000000|-258000000|38000000|0||||43000000|43000000|||||0||-185000000||-451000000|WDC
2022-09-30|USD|6000000|120000000||-77000000|-158000000|3000000|320000000|-382000000|224000000|27000000|-224000000|-50000000|0|0|0||||||0||0||-268000000||47000000|WDC
2022-06-30|USD|295000000|-13000000||115000000|427000000|939000000|280000000|450000000|-23000000|301000000|-370000000|-95000000|-150000000||||||||||60000000||-170000000||301000000|WDC
2022-03-31|USD|398000000|13000000||-284000000|-375000000|13000000|291000000|-390000000|15000000|25000000|-253000000|-167000000|||||||||||2000000||-22000000||25000000|WDC
2021-12-31|USD|666000000|12000000||231000000|401000000|11000000|306000000|298000000|103000000|564000000|-257000000|-1167000000||0|0||||||0||58000000||552000000||564000000|WDC
2021-09-30|USD|521000000|111000000||-97000000|115000000|10000000|245000000|188000000|-73000000|610000000|-312000000|-289000000|||||||||||2000000||-80000000||610000000|WDC
2021-06-30|USD|994000000|0||252000000|286000000|1222000000|326000000|353000000|-67000000|622000000|-203000000|-155000000||0|||0||||||63000000||636000000||622000000|WDC
2021-03-31|USD|116000000|12000000||-33000000|180000000|10000000|244000000|72000000|108000000|197000000|-126000000|-212000000|||||0||||||8000000||185000000||197000000|WDC
2020-12-31|USD|425000000|14000000||62000000|-44000000|10000000|239000000|-264000000|220000000|62000000|-270000000|-197000000|||||0||||||62000000||48000000||62000000|WDC
2020-09-30|USD|363000000|116000000||73000000|3000000|10000000|337000000|-282000000|285000000|-60000000|-166000000|-253000000|||||0||||||1000000||-56000000||-60000000|WDC
2020-06-30|USD|172000000|4000000||-77000000|380000000|1576000000|215000000|401000000|-21000000|148000000|86000000|-154000000||0|0||150000000|150000000|||||62000000||104000000||148000000|WDC
2020-03-31|USD|142000000|12000000||-2000000|163000000|10000000|127000000|187000000|-24000000|153000000|32000000|-369000000||0|||149000000|149000000|||||7000000||153000000||17000000|WDC
2019-12-31|USD|257000000|13000000||99000000|184000000|10000000|160000000|344000000|-160000000|50000000|126000000|-493000000||0|||149000000|149000000|||||46000000||50000000||-139000000|WDC
