fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|729000000|158900000||-35500000|31100000|340500000|796300000||94100000|238600000|-802400000|131500000|-164400000|0|0||264000000|264000000||12800000|598200000||12800000||||240400000|WEC
2024-06-30|USD|1037400000|222600000||131200000|57600000|336600000|693900000||87200000|210000000|-814600000|-36000000|-1813200000|1200000|1200000||263700000|263700000||19000000|2074200000||19000000||||211600000|WEC
2024-03-31|USD|863600000|162600000||-274600000|-203500000|333400000|444500000||-166600000|622600000|-436200000|-476500000|552800000|2000000|2000000||263500000|263500000||19200000|0||20900000||||622600000|WEC
2023-12-31|USD|480000000|231800000||91800000|92600000|324500000|763400000||25300000|218500000|-786500000|330300000|471100000|5900000|5900000||246100000|246100000||0|120000000||-2600000||||218800000|WEC
2023-09-30|USD|784100000|123900000||132000000|25100000|320300000|655800000||146100000|315600000|-670300000|-112500000|458400000|1200000|1200000||246000000|246000000||0|600000000||-500000||||316300000|WEC
2023-06-30|USD|958200000|209000000||-25500000|90600000|313900000|574300000|468800000|80300000|290000000|-833500000|-112600000|-171200000|2600000|2600000||246000000|246000000||0|350000000||-1200000||12100000||290000000|WEC
2023-03-31|USD|796100000|113000000||-404800000|-291200000|305500000|499400000|60700000|-293600000|507600000|-1267900000|417600000|-385400000|6900000|6900000||246100000|246100000||0|1100000000||-6000000||-54200000||507800000|WEC
2022-12-31|USD|1200000|183900000||97700000|106200000|284600000|1015400000|-493000000|-117500000|252200000|-656500000|721500000|390300000|900000|900000||229400000|229400000|||599300000||-400000||66200000||253000000|WEC
2022-09-30|USD|296900000|79500000||20800000|288000000|280300000|671900000|114600000|352400000|301700000|-1048400000|762600000|-372300000|19900000|19900000||229500000|229500000|||1400000000||-9800000||11100000||302300000|WEC
2022-06-30|USD|685800000|171600000||134200000|253600000|279600000|645300000|210600000|203400000|287800000|-599300000|-101200000|179100000|25000000|25000000||229400000|229400000|||0||-13800000||584000000||287800000|WEC
2022-03-31|USD|1076800000|71900000||-4300000|-340700000|278100000|383500000|-174300000|-267000000|568000000|-338200000|-706500000|-447000000|23400000|23400000||229600000|229600000|||0||-11600000||32100000||566200000|WEC
2021-12-31|USD|26000000|225200000||17300000|49400000|275100000|744800000|-411600000|-9900000|223800000|-623100000|575400000|388100000|17400000|17400000||213600000|213600000|||1365000000||-8200000||-21700000||224500000|WEC
2021-09-30|USD|780500000|74700000||194500000|103700000|271600000|617800000|92400000|193000000|288700000|-614100000|-156900000|84400000|4400000|4400000||213700000|213700000|||0||-1900000||560300000||290300000|WEC
2021-06-30|USD|831000000|166600000||81700000|127200000|266200000|539500000|220400000|99200000|275700000|-533300000|-287600000|-155900000|4700000|4700000||213800000|213800000|||418800000||-1900000||541900000||276300000|WEC
2021-03-31|USD|395200000|80900000||-183800000|-195300000|261400000|470600000|-150400000|-175100000|510300000|-541300000|163100000|-196500000|6600000|6600000||213700000|213700000|||600000000||-5400000||17000000||510400000|WEC
2020-12-31|USD|246300000|272900000||99700000|71300000|249300000|1255600000|-246200000|-44800000|239600000|-1243700000|1008800000|1005900000|42500000|42500000||199500000|199500000|||1563600000||-22000000||370500000||370500000|WEC
2020-09-30|USD|570100000|83500000||53300000|38700000|245000000|581500000|46900000|105700000|267100000|-556900000|-14400000|-440500000|6400000|6400000||199500000|199500000|||700000000||-3400000||547100000||267100000|WEC
2020-06-30|USD|689100000|169500000||22300000|79500000|242500000|541100000|218900000|76600000|242100000|-543200000|-149200000|384300000|9900000|9900000||199500000|199500000|||110000000||-5600000||516600000||241900000|WEC
2020-03-31|USD|690500000|89500000||-277800000|-224100000|239100000|496100000|-3500000|-158700000|452600000|-463000000|-244100000|-3600000|40400000|40400000||199500000|199500000|||0||-24400000||-16600000||452800000|WEC
2019-12-31|USD|504800000|223600000||274300000|74100000|236200000|-1511500000|-262000000|-43400000|244200000|-760400000|271300000|144400000|1900000|1900000||186100000|186100000|||575000000||-1000000||363100000||363100000|WEC
2019-09-30|USD|549500000|76300000||83700000|41500000|233800000|656300000|92300000|131900000|234300000|-668100000|94500000|-576300000|31900000|31900000||186100000|186100000|||970000000||-15900000||498400000||234600000|WEC
2019-06-30|USD|555500000|190700000||-128100000|236400000|229900000|496400000|392200000|131300000|235800000|-459800000|-94100000|117500000|35600000|35600000||186100000|186100000|||0||-18100000||515100000||236000000|WEC
2019-03-31|USD|735700000|70500000||-149700000|-343400000|226400000|358800000|-124300000|-218300000|420400000|-606600000|-186100000|-294900000|70700000|70700000||186200000|186200000|||350000000||-38100000||-57000000||420400000|WEC
2018-12-31|USD|437300000|227200000||71700000|62500000|217700000|-1429100000|-288600000|-60200000|206200000|-664400000|333000000|-348200000|30400000|30400000||174300000|174300000|||1140000000||-15200000||289800000||289800000|WEC
2018-09-30|USD|494800000|66600000||56200000|107300000|212800000|575000000|76600000|141600000|232600000|-723200000|216600000|418300000|22200000|22200000||174300000|174300000|||0||-13400000||474100000||233500000|WEC
2018-06-30|USD|619400000|151500000||-42600000|3500000|206700000|475900000|295600000|90400000|231300000|-561000000|-78100000|169700000|4000000|4000000||174500000|174500000|||600000000||-1000000||488700000||231300000|WEC
