fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|1218000000|||599000000|514000000|565000000|3793000000|536000000|3000000|517000000|-1070000000|-850000000|454000000|0|0||643000000|579000000||2000000|0||2000000||||486000000|WMB
2024-09-30|USD|1243000000|||-130000000|-66000000|566000000|682000000|-97000000|3000000|741000000|-737000000|201000000|-628000000|0|0||627000000|579000000||3000000|1494000000||3000000||||706000000|WMB
2024-06-30|USD|1279000000|||232000000|78000000|540000000|579000000|44000000|37000000|426000000|-620000000|-1271000000|628000000|0|0||645000000|579000000||0|1000000||0||||401000000|WMB
2024-03-31|USD|1234000000|||-527000000|-357000000|548000000|544000000|-314000000|-34000000|662000000|-2436000000|-281000000|-723000000|0|0||643000000|579000000||5000000|2099000000||5000000||||632000000|WMB
2023-12-31|USD|1813000000|||158000000|157000000|529000000|2468000000|206000000|16000000|1168000000|-1260000000|-477000000|724000000|0|0||583000000|544000000||-2000000|1000000||-2000000||||1138000000|WMB
2023-09-30|USD|1234000000|||106000000|169000000|521000000|690000000|128000000|12000000|684000000|-343000000|632000000|0|0|0||606000000|544000000||4000000|1251000000||4000000||||654000000|WMB
2023-06-30|USD|1377000000|||43000000|-196000000|515000000|610000000|-154000000|-14000000|494000000|-649000000|-654000000|0|56000000|56000000||603000000|545000000||1000000|1000000||-55000000||74000000||460000000|WMB
2023-03-31|USD|1514000000|||-1335000000|-1292000000|506000000|545000000|-1269000000|-27000000|957000000|-1639000000|450000000|-352000000|74000000|74000000||600000000|546000000||3000000|1502000000||-71000000||325000000||927000000|WMB
2022-12-31|USD|1219000000|||-291000000|66000000|505000000|2151000000|61000000|-42000000|697000000|-840000000|-1086000000|345000000|0|0||581000000|518000000||1000000|3000000||1000000||||669000000|WMB
2022-09-30|USD|1490000000|||244000000|-1000000|500000000|841000000|-125000000|141000000|621000000|-883000000|119000000|-1037000000|9000000|9000000||564000000|518000000||5000000|1747000000||5000000||||600000000|WMB
2022-06-30|USD|1098000000|||953000000|921000000|506000000|315000000|794000000|189000000|407000000|-1292000000|-277000000|1037000000|0|0||575000000|517000000||11000000|2000000||11000000||913000000||400000000|WMB
2022-03-31|USD|1082000000|||-287000000|-110000000|498000000|291000000|3000000|-178000000|392000000|-360000000|-1798000000|0|0|0||555000000|518000000||37000000|3000000||37000000||-1076000000||380000000|WMB
2021-12-31|USD|1139000000|||64000000|15000000|454000000|898000000|7000000|27000000|632000000|-357000000|684000000|0||||550000000|498000000||3000000|1257000000||3000000||1466000000||622000000|WMB
2021-09-30|USD|834000000|||529000000|553000000|487000000|272000000|488000000|54000000|173000000|-408000000|-1413000000|0||||538000000|498000000||3000000|0||3000000||660000000||165000000|WMB
2021-06-30|USD|1057000000|||186000000|91000000|463000000|425000000|-9000000|50000000|322000000|-443000000|-539000000|0||||539000000|498000000||0|1000000||0||785000000||304000000|WMB
2021-03-31|USD|915000000|||-78000000|73000000|438000000|260000000|59000000|8000000|435000000|-257000000|326000000|0||||552000000|498000000||3000000|897000000||3000000||984000000||426000000|WMB
2020-12-31|USD|1114000000|||47000000|-64000000|436000000|345000000|-16000000|-5000000|130000000|-476000000|-566000000|-40000000||||523000000|485000000||0|1000000||0||72000000||116000000|WMB
2020-09-30|USD|452000000||||129000000|426000000|325000000|103000000|24000000|323000000|-412000000|-1103000000|40000000||||534000000|485000000||3000000|2000000||3000000||749000000||309000000|WMB
2020-06-30|USD|1143000000||||43000000|430000000|307000000|-18000000|28000000|315000000|-341000000|-69000000|0||||540000000|486000000||0|2194000000||0||733000000||303000000|WMB
2020-03-31|USD|787000000|||-305000000|-106000000|429000000|306000000|-67000000|-19000000|-570000000|-329000000|-347000000|0||||529000000|485000000||6000000|1702000000||6000000||111000000||-517000000|WMB
2019-12-31|USD|991000000|1162000000|||96000000|439000000|1206000000|125000000|2000000|-66000000|-483000000|-466000000|0||||498000000|460000000||0|31000000||0||42000000||124000000|WMB
2019-09-30|USD|858000000|10000000|||-19000000|435000000|786000000|-10000000|-3000000|242000000|-920000000|-497000000|0||||479000000|461000000||4000000|16000000||4000000||-559000000||221000000|WMB
2019-06-30|USD|1069000000|||153000000|-45000000|424000000|497000000|-52000000|-3000000|324000000|-166000000|-140000000|-1018000000||||488000000|461000000||0|12000000||0||763000000||310000000|WMB
2019-03-31|USD|775000000|||-181000000|-92000000|416000000|422000000|-97000000|-1000000|214000000|-1258000000|358000000|1014000000||||501000000|460000000||6000000|708000000||6000000||-125000000||195000000|WMB
2018-12-31|USD|962000000|||68000000|27000000|435000000|512000000|111000000|-23000000|-546000000|258000000|-1094000000|-823000000||||451000000|412000000||0|181000000||0||126000000||-571000000|WMB
2018-09-30|USD|746000000|||-61000000|33000000|425000000|769000000|46000000|6000000|200000000|-1314000000|335000000|821000000||||607000000|411000000||4000000|1566000000||4000000||-233000000||129000000|WMB
2018-06-30|USD|891000000|||286000000|169000000|434000000|933000000|117000000|-7000000|269000000|-871000000|-1037000000|0||||473000000|282000000||1000000|131000000||1000000||-1017000000||135000000|WMB
2018-03-31|USD|694000000|||-363000000|-194000000|431000000|957000000|-238000000|40000000|270000000|-798000000|497000000|0||||446000000|281000000||10000000|2048000000||10000000||393000000||152000000|WMB
2017-12-31|USD|858000000|||140000000|185000000|428000000|1114000000|206000000|-31000000|1622000000|-562000000|-569000000|0||||434000000|248000000||1000000|320000000||1000000||-273000000||1687000000|WMB
2017-09-30|USD|705000000|||34000000|70000000|433000000|644000000|83000000|-7000000|125000000|1430000000|-2881000000|0||||437000000|248000000||5000000|370000000||5000000||-746000000||33000000|WMB
