fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|1931000000|2173000000|242000000|89000000|586000000|150000000||1587000000||-165000000|8000000|173000000|2173000000|101000000||21000000|513000000|57000000||457000000|455000000|586000000|707000000|456000000|AEE
2024-06-30|USD|1488000000|1693000000|205000000|69000000|361000000|131000000||1332000000||-165000000|13000000|165000000|1693000000|103000000||20000000|297000000|39000000|165000000|260000000|256000000|361000000|482000000|258000000|AEE
2024-03-31|USD|1579000000|1816000000|237000000|72000000|371000000|135000000||1445000000||-154000000|8000000|154000000|1816000000|89000000||18000000|305000000|44000000|154000000|262000000|260000000|371000000|477000000|261000000|AEE
2023-12-31|USD|-7000000|1618000000|1625000000|1451000000|264000000|150000000||1354000000||-153000000|9000000|153000000|1618000000|87000000||12000000|197000000|39000000|153000000|159000000|156000000|264000000|362000000|158000000|AEE
2023-09-30|USD|1821000000|2060000000|239000000|87000000|614000000|147000000||1446000000||-152000000|152000000|152000000|2060000000|101000000||20000000|562000000|69000000|152000000|494000000|492000000|614000000|734000000|493000000|AEE
2023-06-30|USD|1567000000|1760000000|193000000|65000000|329000000|124000000||1431000000||-134000000|134000000|134000000|1760000000|82000000||17000000|275000000|38000000|134000000|239000000|236000000|329000000|426000000|237000000|AEE
2023-03-31|USD|1832000000|2062000000|230000000|71000000|351000000|127000000||1711000000||-126000000|1000000|127000000|2062000000|78000000||19000000|301000000|37000000|127000000|265000000|263000000|351000000|447000000|264000000|AEE
2022-12-31|USD|575000000|2046000000|1471000000|1355000000|276000000|148000000||1770000000||-124000000|6000000|130000000|2046000000|46000000||19000000|191000000|28000000|130000000|166000000|148000000|276000000|340000000|163000000|AEE
2022-09-30|USD|2073000000|2306000000|233000000|83000000|599000000|144000000||1707000000||-120000000|6000000|126000000|2306000000|58000000||18000000|530000000|78000000|126000000|453000000|452000000|599000000|674000000|452000000|AEE
2022-06-30|USD|1524000000|1726000000|202000000|67000000|309000000|129000000||1417000000||-120000000|6000000|126000000|1726000000|62000000||6000000|243000000|36000000|126000000|209000000|207000000|309000000|375000000|207000000|AEE
2022-03-31|USD|1623000000|1879000000|256000000|79000000|331000000|142000000||1548000000||-98000000|6000000|104000000|1879000000|60000000||22000000|286000000|34000000|104000000|253000000|253000000|331000000|412000000|252000000|AEE
2021-12-31|USD|159000000|1545000000|1386000000|1208000000|197000000|142000000||1348000000||-87000000|6000000|93000000|1545000000|51000000||21000000|154000000|29000000|93000000|126000000|138000000|197000000|268000000|125000000|AEE
2021-09-30|USD|1587000000|1811000000|224000000|81000000|534000000|142000000||1277000000||-87000000|7000000|94000000|1811000000|56000000||17000000|495000000|70000000|94000000|426000000|426000000|534000000|606000000|425000000|AEE
2021-06-30|USD|1282000000|1472000000|190000000|62000000|286000000|122000000||1186000000||-90000000|6000000|96000000|1472000000|49000000||321000000|238000000|31000000|96000000|208000000|206000000|286000000|655000000|207000000|AEE
2021-03-31|USD|1357000000|1566000000|209000000|70000000|316000000|128000000||1250000000||-94000000|6000000|100000000|1566000000|46000000||295000000|260000000|27000000|100000000|235000000|234000000|316000000|655000000|233000000|AEE
2020-12-31|USD|-44000000|1328000000|1275000000|1131000000|211000000|132000000||1117000000||-102000000|6000000|108000000|1328000000|34000000||0|136000000|21000000|108000000|116000000|129000000|211000000|244000000|115000000|AEE
2020-09-30|USD|1323000000|1628000000|203000000|71000000|494000000|128000000||1134000000||-103000000|7000000|110000000|1628000000|48000000||23000000|430000000|63000000|110000000|369000000|368000000|494000000|563000000|367000000|AEE
2020-06-30|USD|1119000000|1398000000|185000000|62000000|354000000|119000000||1044000000||-102000000|6000000|108000000|1398000000|48000000||22000000|293000000|50000000|108000000|244000000|243000000|354000000|423000000|243000000|AEE
2020-03-31|USD|1134000000|1440000000|222000000|65000000|241000000|125000000||1199000000||-87000000|6000000|93000000|1440000000|21000000||23000000|167000000|21000000|93000000|148000000|147000000|241000000|283000000|146000000|AEE
