fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|7177000000|7177000000|9963000000||7177000000|1335000000||1453000000|-44000000|-109000000|18000000|109000000|6126000000|||990000000|1497000000|599000000|13000000|947000000|-479000000|1606000000|2536000000|898000000|AIG
2024-09-30|USD|-2278000000|6751000000|9029000000|1346000000|-3762000000|1346000000||1483000000|-45000000|-112000000|61000000|112000000|5869000000|||856000000|627000000|168000000|0|481000000|2302000000|739000000|1505000000|459000000|AIG
2024-06-30|USD|-2410000000|6560000000|8970000000|1610000000|-4431000000|1610000000||2036000000|-37000000|-125000000|73000000|125000000|5606000000|||838000000|-3835000000|142000000|126000000|475000000|2717000000|-3710000000|1455000000|-3977000000|AIG
2024-03-31|USD|-4524000000|6763000000|17102000000|2014000000|-6671000000|2014000000||2154000000|-222000000|-260000000|649000000|260000000|7793000000|||913000000|1667000000|451000000|260000000|1216000000|457000000|1927000000|2964000000|1216000000|AIG
2023-12-31|USD|-5602000000|6526000000|15428000000|4893000000|-7943000000|2134000000||2340000000|-196000000|-271000000|474000000|271000000|8354000000|||969000000|-780000000|-873000000|213000000|93000000|6413000000|-509000000|-106000000|93000000|AIG
2023-09-30|USD|-574000000|7267000000|13348000000|2117000000|-2830000000|1311000000||2249000000|-181000000|-280000000|-142000000|138000000|7077000000|||971000000|2848000000|399000000|301000000|2027000000|-1459000000|3128000000|2747000000|2027000000|AIG
2023-06-30|USD|-3981000000|7436000000|17199000000|2268000000|-6414000000|1494000000||2421000000|-203000000|-278000000|-149000000|129000000|8720000000|||122085|1669000000|45000000|278000000|1493000000|13000000|1947000000|1691000000|1493000000|AIG
2023-03-31|USD|-3665000000|10984000000|14649000000|1980000000|-5780000000|1980000000||2108000000|-205000000|-307000000|567000000|307000000|8183000000|||41584|-114000000|-144000000|307000000|30000000|3317000000|193000000|-87000000|30000000|AIG
2022-12-31|USD|290000000|13832000000|11296000000|9195000000|-2583000000|2750000000||2867000000|-172000000|-314000000|734000000|314000000|9046000000|||54880|791000000|190000000|318000000|271000000|1089000000|1105000000|1586000000|601000000|AIG
2022-09-30|USD|-963000000|13998000000|15565000000|2093000000|-3210000000|2075000000||2240000000|-151000000|-282000000|282000000|282000000|7740000000|||27081|3565000000|817000000|282000000|2709000000|-4841000000|3847000000|5010000000|2748000000|AIG
2022-06-30|USD|901000000|13663000000|13540000000|2223000000|-1506000000|2206000000||2398000000|-173000000|-266000000|266000000|266000000|6579000000|||86065|3599000000|845000000|565000000|3037000000|-8865000000|3865000000|-1139000000|2754000000|AIG
2022-03-31|USD|2248000000|14944000000|13560000000|2181000000|67000000|2164000000||2181000000|-155000000|-263000000|453000000|263000000|7922000000|||60459|5327000000|1154000000|263000000|4253000000|-7926000000|5590000000|7149000000|4173000000|AIG
2021-12-31|USD|-4530000000|14087000000|18617000000|-29069000000|-6782000000|2244000000||2252000000|-146000000|-297000000|297000000|297000000|9362000000|||71391|4688000000|942000000|537000000|3739000000|2926000000|4985000000|6028000000|3746000000|AIG
2021-09-30|USD|-3479000000|12835000000|16314000000|2240000000|-5719000000|2240000000||2240000000|-141000000|-328000000|435000000|328000000|7875000000|||54000|2106000000|439000000|379000000|1660000000|64000000|2434000000|3654000000|1667000000|AIG
2021-06-30|USD|-5406000000|10681000000|16087000000|2218000000|-7624000000|2218000000||2218000000|-115000000|-338000000|503000000|338000000|7680000000|||55806|96000000|-3000000|444000000|91000000|3842000000|434000000|1381000000|99000000|AIG
2021-03-31|USD|-57000000|14454000000|14511000000|2088000000|-2145000000|2088000000||2088000000|-120000000|-342000000|414000000|342000000|6694000000|||55213|4674000000|798000000|334000000|3869000000|-3169000000|5016000000|6439000000|3876000000|AIG
2020-12-31|USD|-6491000000|9676000000|16167000000|-25735000000|-8482800000|2165000000||1991800000|-138000000|-358000000|489000000|358000000|5163000000|||55131|-595000000|-542000000|355000000|-60000000|2480000000|-237000000|660000000|-53000000|AIG
2020-09-30|USD|-5106000000|10221000000|15327000000|1991000000|-7097000000|1991000000||1991000000|-133000000|-379000000|379000000|379000000|6190000000|||52750|362000000|74000000|377000000|276000000|2097000000|741000000|1404000000|288000000|AIG
2020-06-30|USD|-7424000000|9396000000|16820000000|2087000000|-9511000000|2087000000||2087000000|-139000000|-365000000|498000000|365000000|6883000000|||51116|-9824000000|-1896000000|365000000|-7935000000|2235000000|-9459000000|-8777000000|-7928000000|AIG
2020-03-31|USD|-3148000000|14443000000|17591000000|2153000000|-5301000000|2153000000||2153000000|-148000000|-355000000|513000000|355000000|8731000000|||47300|2653000000|904000000|372000000|1742000000|-4227000000|3008000000|4886000000|1749000000|AIG
2019-12-31|USD|11771000000|11815000000|44000000|-28328000000|11727000000|2157000000||44000000|-144000000|-360000000|519000000|360000000|7271000000|||46467|1145000000|216000000|379000000|873000000|296000000|1505000000|2678000000|929000000|AIG
2019-09-30|USD|-5300000000|12914000000|18214000000|2187000000|-7487000000|2187000000||2187000000|-135000000|-348000000|495000000|348000000|7880000000|||44646|943000000|287000000|348000000|648000000|1280000000|1291000000|2467000000|656000000|AIG
2019-06-30|USD|-3575000000|12561000000|16136000000|2140000000|-5715000000|2140000000||2140000000|-132000000|-360000000|518000000|360000000|7620000000|||40963|1555000000|446000000|375000000|1103000000|3972000000|1915000000|3273000000|1109000000|AIG
2019-03-31|USD|-5159000000|12456000000|17615000000|2053000000|-7212000000|2053000000||2053000000|-114000000|-349000000|349000000|349000000|7963000000|||40374|871000000|217000000|347000000|654000000|4195000000|1220000000|2519000000|654000000|AIG
2018-12-31|USD|12424000000|12560000000|136000000|-25600000000|12288000000|2383000000||136000000|-128000000|-407000000||407000000|-3000000|||1549000000|-759000000|-137000000|3000000|-620000000|-1499000000|-352000000|1197000000|-622000000|AIG
2018-09-30|USD|-9537000000|11486000000|21023000000|2325000000|-11862000000|2325000000||2325000000|-115000000|-326000000||326000000|7645000000|||1029000000|-1566000000|-307000000|327000000|-1220000000|-2025000000|-1240000000|-211000000|-1259000000|AIG
2018-06-30|USD|-4000000000|11631000000|15631000000|2323000000|-6323000000|2323000000||2323000000|-126000000|-299000000||299000000|8153000000|||1402000000|1258000000|321000000|304000000|937000000|-1053000000|1557000000|2959000000|937000000|AIG
2018-03-31|USD|-4142000000|11712000000|15854000000|2271000000|-6413000000|2271000000||2271000000|-124000000|-277000000||277000000|7863000000|||1382000000|1215000000|277000000|281000000|939000000|-1731000000|1492000000|2874000000|938000000|AIG
2017-12-31|USD|12481000000|12635000000|154000000|-28194000000|12327000000|2333000000||154000000|-130000000|-288000000||288000000|-1000000|||1068000000|884000000|7544000000|1000000|-6657000000|-7134000000|1172000000|2240000000|-6660000000|AIG
2017-09-30|USD|-12859000000|11751000000|24610000000|2149000000|-15008000000|2149000000||2149000000|-136000000|-290000000||290000000|8720000000|||804000000|-2830000000|-1091000000|291000000|-1738000000|-762000000|-2540000000|-1736000000|-1739000000|AIG
2017-06-30|USD|-4293000000|12502000000|16795000000|2182000000|-6475000000|2182000000||2182000000|-128000000|-292000000||292000000|8119000000|||990000000|1687000000|557000000|288000000|1122000000|2311000000|1979000000|2969000000|1130000000|AIG
