fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|16506000000|16506000000|2267000000||16506000000|52000000||2710000000|-86000000|-101000000||101000000|58186000000|||70000000|2487000000|559000000||16506000000|786000000|16506000000|16576000000|1928000000|ALL
2024-09-30|USD|14491000000|16627000000|2136000000||12175000000|26000000||2316000000|-80000000|-104000000||104000000|139000000|||71000000|1444000000|254000000||11841000000|2460000000|12175000000|12246000000|1190000000|ALL
2024-06-30|USD|13630000000|15714000000|2084000000||11528000000|9000000||2102000000|-76000000|-98000000||98000000|3000000|||70000000|414000000|83000000||11369000000|188000000|11528000000|11598000000|331000000|ALL
2024-03-31|USD|13241000000|15259000000|2018000000|1885000000|11277000000|2000000||1964000000|-73000000|-97000000||97000000|62000000|||69000000|1484000000|266000000|97000000|10774000000|1034000000|1581000000|1650000000|1218000000|ALL
2023-12-31|USD|14832000000|14832000000|2090000000|7137000000|14832000000|47000000||2048000000|-86000000|-107000000||107000000|52589000000|||83000000|1829000000|340000000|107000000|1489000000|3351000000|1936000000|2019000000|1489000000|ALL
2023-09-30|USD|12486000000|14497000000|2011000000|1771000000|10545000000|149000000||1941000000|-82000000|-88000000||88000000|-3000000|||83000000|-22000000|-17000000|88000000|-5000000|-659000000|66000000|149000000|-5000000|ALL
2023-06-30|USD|12081000000|13979000000|1898000000||10186000000|40000000||1895000000|-71000000|-98000000||98000000|16000000|||82000000|-1725000000|-373000000|98000000|-1352000000|-1592000000|-1627000000|-1545000000|-1352000000|ALL
2023-03-31|USD|11934000000|13786000000|1852000000||10110000000|53000000||1824000000|-75000000|-86000000||86000000|146000000|||81000000|-405000000|-85000000|86000000|-320000000|394000000|-319000000|-238000000|-320000000|ALL
2022-12-31|USD|13647000000|13648000000|1948000000|7446000000|13647000000|25000000||2058000000|-75000000|-84000000||84000000|48083000000|||89000000|-419000000|-120000000|84000000|-299000000|119000000|-335000000|-246000000|-299000000|ALL
2022-09-30|USD|11422000000|13208000000|1786000000|1890000000|9476000000|79000000||1946000000|-64000000|-85000000||85000000|14000000|||90000000|-895000000|-236000000|85000000|-659000000|-1486000000|-810000000|-720000000|-659000000|ALL
