fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|626000000|3241000000|2976000000|2615000000|297000000|295000000|27000000|388000000|9000000|-72000000|9000000|86000147|3241000000|-1000000||42000000|221000000|58000000|81000000|167000000|35000000|297000000|339000000|163000000|AMCR
2024-09-30|USD|659000000|3355000000|3060000000|2694000000|312000000|315000000|28000000|394000000|11000000|-75000000|11000000|86000000|3355000000|-1000000||45000000|234000000|43000000|86000000|193000000|205000000|312000000|357000000|191000000|AMCR
2024-06-30|USD|754000000|3452000000|3673000000|2781000000|395000000|329000000|26000000|913000000|7000000|-85000000|7000000|85000000|3537000000|1000000||452000000|313000000|56000000|85000000|265000000|105000000|398000000|850000000|257000000|AMCR
2024-03-31|USD|692000000|3322000000|3125000000|2719000000|307000000|330000000|25000000|431000000|10000000|-89000000|10000000|89000000|3411000000|2000000||46000000|227000000|40000000|89000000|189000000|146000000|316000000|362000000|187000000|AMCR
2023-12-31|USD|621000000|3162000000|3000000000|2630000000|242000000|299000000|28000000|398000000|11000000|-89000000|11000000|89000000|3251000000|1000000||47000000|162000000|28000000|89000000|136000000|235000000|251000000|298000000|134000000|AMCR
2023-09-30|USD|645000000|3351000000|3176000000|2798000000|270000000|302000000|27000000|405000000|10000000|-85000000|10000000|85000000|3436000000|-1000000||47000000|191000000|39000000|85000000|154000000|86000000|276000000|323000000|152000000|AMCR
2023-06-30|USD|722000000|3609000000|3860000000|2951000000|325000000|329000000|25000000|933000000|-4000000|-66000000|4000000|66000000|3675000000|-3000000||446000000|248000000|68000000|66000000|184000000|175000000|314000000|760000000|180000000|AMCR
2023-03-31|USD|673000000|3581000000|3354000000|2994000000|282000000|317000000|27000000|387000000|15000000|-86000000|15000000|86000000|3667000000|2000000||43000000|211000000|34000000|86000000|179000000|221000000|297000000|340000000|177000000|AMCR
2022-12-31|USD|662000000|3563000000|3321000000|2980000000|559000000|298000000|24000000|365000000|11000000|-79000000|11000000|79000000|3642000000|3000000||43000000|492000000|33000000|79000000|461000000|606000000|571000000|614000000|459000000|AMCR
2022-09-30|USD|668000000|3670000000|3390000000|3044000000|342000000|302000000|25000000|371000000|9000000|-59000000|9000000|59000000|3729000000|0||44000000|290000000|58000000|59000000|234000000|64000000|349000000|393000000|232000000|AMCR
2022-06-30|USD|794000000|3879000000|90000000|3115000000|252000000|342000000|24000000|90000000|9000000|-44000000|9000000|44000000|3923000000|-1000000||445000000|213000000|104000000|44000000|112000000|36000000|257000000|702000000|109000000|AMCR
2022-03-31|USD|731000000|3672000000|3366000000|2977000000|369000000|326000000|24000000|413000000|5000000|-36000000|5000000|36000000|3708000000|5000000||45000000|341000000|72000000|36000000|271000000|347000000|377000000|422000000|269000000|AMCR
2021-12-31|USD|645000000|3468000000|3232000000|2862000000|322000000|303000000|23000000|402000000|5000000|-39000000|5000000|39000000|3507000000|2000000||45000000|286000000|61000000|39000000|229000000|202000000|325000000|370000000|225000000|AMCR
2021-09-30|USD|650000000|3391000000|3137000000|2770000000|296000000|313000000|25000000|392000000|5000000|-40000000|5000000|40000000|3431000000|5000000||46000000|265000000|63000000|40000000|203000000|106000000|305000000|351000000|202000000|AMCR
2021-06-30|USD|745000000|3422000000|3537000000|2709000000|365000000|330000000|26000000|847000000|4000000|-40000000|4000000|40000000|3462000000|4000000||442000000|329000000|74000000|40000000|259000000|388000000|369000000|811000000|255000000|AMCR
2021-03-31|USD|682000000|3171000000|2870000000|2525000000|373000000|325000000|25000000|370000000|3000000|-36000000|3000000|36000000|3207000000|1000000||44000000|338000000|71000000|36000000|270000000|252000000|374000000|418000000|267000000|AMCR
2020-12-31|USD|651000000|3066000000|2828000000|2452000000|307000000|308000000|23000000|399000000|4000000|-37000000|4000000|37000000|3103000000|3000000||45000000|274000000|55000000|37000000|222000000|354000000|311000000|356000000|219000000|AMCR
2020-09-30|USD|654000000|3051000000|2843000000|2443000000|276000000|329000000|26000000|418000000|3000000|-40000000|3000000|40000000|3091000000|3000000||48000000|259000000|61000000|40000000|200000000|228000000|299000000|347000000|198000000|AMCR
2020-06-30|USD|719500000|3142700000|2423200000|2423000000|310000000|351000000|23000000|958500000|3900000|-49100000|-100000|49000000|3163200000|-2000000||445300000|243100000|64000000|49100000|177000000|188000000|292100000|737400000|179100000|AMCR
2020-03-31|USD|652000000|3141000000|2489000000|2489000000|271000000|354000000|25000000|445900000|5300000|-45800000|200000|46000000|3141000000|6000000||47700000|237000000|56000000|45800000|183000000|-175000000|283000000|330700000|181000000|AMCR
2019-12-31|USD|617000000|3043100000|2426100000|2426000000|272000000|309000000|23000000|401500000|6300000|-52300000|-300000|52000000|3043100000|4000000||45600000|231000000|45000000|52300000|188000000|257000000|283000000|328600000|186000000|AMCR
