fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|172500000|1589200000|1416700000|1145800000|210700000|232800000||270900000|3800000|-32800000|3800000|36600000|1589200000|-1900000||38100000|176000000|33600000|36600000|142400000|93900000|210700000|250700000|142400000|BR
2024-09-30|USD|97800000|1422900000|1325100000|1075000000|134400000|213400000||250100000|3600000|-32300000|3600000|35900000|1422900000|-1900000||36600000|100300000|20500000|35900000|79700000|109000000|134400000|172800000|79800000|BR
2024-06-30|USD|192700000|2058800000|1866100000|1253100000|441400000|249800000||613000000|2700000|-33000000|2700000|35700000|1944300000|1800000||314700000|410200000|87000000|35700000|208700000|305100000|441400000|760600000|323200000|BR
2024-03-31|USD|224500000|1688300000|1463800000|1187300000|302900000|236200000||266600000|2800000|-38200000|2800000|38200000|1726500000|-900000||33300000|266600000|52900000|38200000|251900000|250100000|302900000|338100000|213700000|BR
2023-12-31|USD|52200000|1365000000|1312800000|1057200000|124400000|223400000||255600000|3700000|-40000000|3700000|40000000|1405000000|-400000||32200000|87700000|17400000|40000000|110300000|21300000|124400000|159900000|70300000|BR
2023-09-30|USD|74300000|1394700000|1320400000|1075300000|148400000|207300000||245100000|2900000|-36400000|33400000|36400000|1431100000|-2100000||32200000|112900000|22000000|36400000|127200000|74600000|148400000|181500000|90900000|BR
2023-06-30|USD|297100000|1799900000|1502800000|1159100000|454200000|225700000||343700000|3100000|-39100000|3100000|39100000|1839000000|-700000||118200000|417500000|93400000|39100000|363200000|323500000|454200000|574800000|324100000|BR
2023-03-31|USD|169600000|1605400000|1435800000|1137700000|286800000|221200000||298100000|1800000|-40300000|38500000|40300000|1645700000|1800000||76900000|250100000|51600000|40300000|238800000|275400000|286800000|367300000|198500000|BR
2022-12-31|USD|-6200000|1256600000|1262800000|988200000|107900000|196800000||274600000|2100000|-36300000|34100000|36300000|1292900000|-1900000||77800000|71900000|14400000|36300000|93700000|-54300000|107900000|186000000|57500000|BR
2022-09-30|USD|-20100000|1255300000|1275400000|990400000|87500000|205300000||285000000|1200000|-28000000|26900000|28000000|1283300000|-5200000||79700000|55400000|5000000|28000000|78500000|27600000|87500000|163100000|50400000|BR
2022-06-30|USD|168300000|1701300000|1533000000|1146800000|341700000|234400000||386200000|900000|-21600000|900000|21600000|1722900000|-2300000||121800000|318800000|70700000|21600000|269600000|171300000|341700000|462200000|248100000|BR
