fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|683000000|4455000000|3772000000|2756000000|-316000000|340000000|170000000|1198000000|18000000|-3000000|40000000|43000000|6882000000||160000000|18000000|-338000000|67000000|21000000|22000000|-617000000|-316000000|-277000000|-405000000|BWA
2024-09-30|USD|636000000|6891000000|3195000000|2813000000|270000000|340000000|190000000|574000000|17000000|-4000000|20000000|24000000|6895000000||168000000|17000000|247000000|13000000|21000000|242000000|364000000|270000000|288000000|234000000|BWA
2024-06-30|USD|685000000|7198000000|3304000000|2918000000|297000000|341000000|189000000|572000000|9000000|-8000000|9000000|17000000|7206000000||143000000|17000000|272000000|-31000000|17000000|315000000|248000000|297000000|306000000|303000000|BWA
2024-03-31|USD|644000000|7185000000|3319000000|2951000000|295000000|329000000|187000000|552000000|10000000|-5000000|10000000|15000000|7190000000||133000000|17000000|268000000|62000000|15000000|213000000|151000000|295000000|300000000|206000000|BWA
2023-12-31|USD|659000000|3492000000|3291000000|2863000000|281000000|353000000|176000000|592000000|9000000|-7000000|26000000|33000000|28000000||139000000|16000000|213000000|59000000|-28000000|149000000|241000000|281000000|262000000|154000000|BWA
2023-09-30|USD|652000000|3669000000|3378000000|2970000000|272000000|330000000|192000000|590000000|12000000|19000000|40000000|21000000|3650000000||55000000|17000000|183000000|133000000|-7000000|87000000|33000000|272000000|221000000|50000000|BWA
2023-06-30|USD|680000000|4504000000|4113000000|2991000000|333000000|334000000|183000000|664000000|9000000|-12000000|9000000|21000000|4525000000|-40000000|162000000|24000000|310000000|30000000|12000000|228000000|130000000|383000000|355000000|204000000|BWA
2023-03-31|USD|577000000|4160000000|3847000000|2806000000|274000000|299000000|166000000|608000000|10000000|-10000000|10000000|20000000|4180000000|-11000000|125000000|24000000|304000000|67000000|10000000|168000000|269000000|340000000|348000000|217000000|BWA
2022-12-31|USD|1371000000|4151000000|3803000000|5112000000|630000000|659000000|252000000|730000000|10000000|-11000000|27000000|38000000|4106000000|36000000|264000000|23000000|370000000|115000000|10000000|172000000|457000000|630000000|431000000|254000000|BWA
2022-09-30|USD|607000000|4033000000|3675000000|2619000000|265000000|325000000|178000000|637000000|6000000|-12000000|6000000|18000000|4051000000|11000000|45000000|24000000|341000000|68000000|12000000|173000000|11000000|265000000|383000000|275000000|BWA
2022-06-30|USD|712000000|3738000000|3486000000|3047000000|272000000|394000000|207000000|655000000|6000000|-21000000|6000000|21000000|3759000000|22000000|158000000|27000000|273000000|57000000|15000000|231000000|-36000000|272000000|321000000|216000000|BWA
2022-03-31|USD|750000000|3883000000|3541000000|3124000000|352000000|388000000|191000000|593000000|4000000|-19000000|4000000|19000000|3898000000|-31000000|157000000|23000000|291000000|91000000|15000000|224000000|187000000|352000000|333000000|200000000|BWA
2021-12-31|USD|625000000|3665000000|2934000000|3030000000|178000000|376000000|174000000|115000000|3000000|-9000000|24000000|33000000|3626000000|-26000000|164000000|-497000000|130000000|1000000|18000000|154000000|324000000|178000000|-334000000|129000000|BWA
2021-09-30|USD|650000000|3420000000|3149000000|2766000000|253000000|343000000|184000000|577000000|3000000|-21000000|3000000|21000000|3416000000|-46000000|170000000|195000000|175000000|79000000|18000000|117000000|23000000|253000000|391000000|96000000|BWA
2021-06-30|USD|762000000|3781000000|3410000000|2996000000|317000000|364000000|166000000|599000000|3000000|-42000000|27000000|42000000|3778000000|15000000|175000000|195000000|275000000|28000000|39000000|274000000|310000000|317000000|512000000|247000000|BWA
2021-03-31|USD|818000000|4012000000|3782000000|3191000000|403000000|377000000|183000000|785000000|3000000|-21000000|278000000|21000000|4009000000|-257000000|175000000|195000000|107000000|42000000|18000000|94000000|-20000000|403000000|323000000|65000000|BWA
2020-12-31|USD|772000000|3927000000|3857000000|3154000000|214000000|350000000|179000000|912000000|4000000|-55000000|-53000000|2000000|3909000000|400000000||229000000|569000000|211000000|11000000|385000000|437000000|214000000|800000000|358000000|BWA
2020-09-30|USD|517000000|2538000000|2239000000|2017000000|284000000|204000000|100000000|324000000|3000000|-1000000|14000000|1000000|2534000000|3000000||115000000|254000000|143000000|20000000|129000000|168000000|284000000|370000000|111000000|BWA
2020-06-30|USD|174000000|1427000000|1489000000|1252000000|-78000000|184000000|88000000|326000000|3000000|-1000000|3000000|1000000|1426000000|2000000||112000000|-104000000|-6000000|18000000|-84000000|-84000000|-78000000|9000000|-98000000|BWA
2020-03-31|USD|447000000|2279000000|1832000000|1832000000|198000000|213000000|109000000|458000000|2000000|-4000000|2000000|4000000|2279000000|7000000||112000000|178000000|49000000|12000000|137000000|55000000|198000000|294000000|129000000|BWA
2019-12-31|USD|545000000|2559000000|2014000000|2014000000|478000000|205000000|94000000|236000000|3000000|-30000000|3000000|3000000|-7619000000|10000000||115000000|458000000|238000000|12000000|237000000|272000000|478000000|576000000|220000000|BWA
2019-09-30|USD|524000000|2492000000|1968000000|1968000000|276000000|230000000|102000000|346000000|4000000|-4000000|4000000|4000000|2492000000|11000000||110000000|260000000|66000000|15000000|214000000|85000000|276000000|374000000|194000000|BWA
2019-06-30|USD|513000000|2551000000|2038000000|2038000000|285000000|212000000|113000000|338000000|2000000|-4000000|2000000|4000000|2551000000|11000000||107000000|245000000|73000000|14000000|191000000|177000000|285000000|356000000|172000000|BWA
2019-03-31|USD|519000000|2566000000|2047000000|2047000000|264000000|226000000|104000000|465000000|3000000|-5000000|2000000|5000000|2566000000|12000000||107000000|251000000|91000000|14000000|180000000|159000000|264000000|363000000|160000000|BWA
2018-12-31|USD|544000000|2574000000|2030000000|2030000000|266000000|226000000|103000000|254700000|2000000|-5700000||5700000|19400000|12500000||105000000|249000000|19000000|14000000|247600000|179000000|266000000|359700000|230000000|BWA
2018-09-30|USD|515000000|2478000000|1963000000|1963000000|278000000|230000000|108000000|344200000|1500000|-5500000||5500000||16700000||108000000|271000000|67000000|14000000|231100000|163000000|278000000|384500000|204000000|BWA
2018-06-30|USD|580000000|2694000000|2114000000|2114000000|313000000|237000000|112000000|379600000|1400000|-5400000||5400000||14400000||109000000|302000000|30000000|15000000|297300000|134000000|313000000|416400000|272000000|BWA
2018-03-31|USD|591000000|2784000000|2193000000|2193000000|333000000|253000000|117000000|561900000|1500000|-5700000||5700000||11700000||109000000|320000000|95000000|16000000|247000000|285000000|333000000|434700000|225000000|BWA
2017-12-31|USD|564800000|2586400000|2021600000|2021600000|207800000|240000000|105200000|359700000|1600000|-5500000||5500000||14300000||-262000000|192200000|338400000|16900000|-132000000|-90500000|207800000|-64300000|-146200000|BWA
2017-09-30|USD|521600000|2416200000|1894600000|1894600000|274600000|225000000|101500000|346000000|1300000|-5000000||5000000||15700000||104900000|264300000|79400000|17600000|209000000|245600000|274600000|374200000|184900000|BWA
2017-06-30|USD|512900000|2389700000|1876800000|1876800000|298100000|215100000|104900000|319900000|1400000|-4900000||4900000||15800000||99800000|288200000|76200000|18000000|235500000|279800000|298100000|392900000|212000000|BWA
2017-03-31|USD|516300000|2407000000|1890700000|1890700000|291500000|219000000|96400000|412500000|1500000|-4300000||4300000||11200000||97300000|275500000|86300000|18000000|209300000|237100000|291500000|377100000|189200000|BWA
2016-12-31|USD|501000000|2264900000|1979900000|1762400000|293000000|217100000|84300000|242500000|1600000|-3700000||3700000|-20600000|12900000||-250800000|274600000|92400000|19500000|-281500000|32100000|293000000|27500000|182200000|BWA
2016-09-30|USD|471100000|2216800000|2066500000|1743100000|151500000|209700000|88600000|412000000|1600000|-3300000||3300000||14000000||97800000|133300000|49000000|22400000|105500000|106100000|151500000|234400000|84300000|BWA
2016-06-30|USD|496700000|2330600000|2061200000|1832500000|269400000|202300000|85000000|313700000|1500000|-3400000||3400000||11600000||99000000|248600000|84200000|21400000|185500000|111400000|269400000|351000000|164400000|BWA
2016-03-31|USD|464300000|2268600000|1804300000|1804300000|264200000|188400000|85300000|380300000|1600000|-3700000||3700000||10700000||94400000|244500000|80400000|21300000|182300000|233500000|264200000|342600000|164100000|BWA
2015-12-31|USD|446900000|2123100000|1676200000|1676200000|200500000|178400000|76700000|220700000|2200000|-4100000||4100000||13900000||-217100000|186500000|61200000|17800000|135400000|91800000|200500000|-26500000|125300000|BWA
2015-09-30|USD|398200000|1884000000|1485800000|1485800000|237100000|148000000|75200000|236400000|2000000|-4700000||4700000||10700000||78300000|224300000|66900000|15000000|174600000|120200000|237100000|307300000|157400000|BWA
2015-06-30|USD|429000000|2031900000|1602900000|1602900000|242500000|167400000|80100000|267400000|1600000|-3900000||3900000||12700000||80900000|228300000|80200000|17600000|168500000|225500000|242500000|313100000|148100000|BWA
2015-03-31|USD|429000000|1984200000|1555200000|1555200000|259600000|168200000|75400000|328400000|1700000|-3800000||3800000||10200000||77100000|251000000|72100000|10000000|196200000|-54400000|259600000|331900000|178900000|BWA
2014-12-31|USD|413300000|1991900000|1578600000|1578600000|212200000|169400000|78800000|187200000|1200000|-3000000||3000000||12700000||76900000|207200000|67300000|10200000|147400000|-43800000|212200000|287100000|139900000|BWA
2014-09-30|USD|424500000|2032100000|1607600000|1607600000|237700000|174500000|85300000|272900000|1400000|-3500000||3500000||16200000||74900000|238500000|71900000|9000000|187800000|-14700000|237700000|316900000|166600000|BWA
