fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|6040000000|16106000000|10066000000|10402000000|3147000000|1669000000|533000000|2206000000|108000000|-17000000|108000000|125000000|-158000000|76000000||44000000|3106000000|642000000||2463000000|2977000000|3147000000|3191000000|2464000000|CAT
2024-06-30|USD|6539000000|16689000000|10150000000|10454000000|3482000000|1652000000|535000000|2381000000|118000000|-19000000|118000000|137000000|42000000|155000000||43000000|3517000000|836000000||2681000000|2544000000|3482000000|3525000000|2681000000|CAT
2024-03-31|USD|6137000000|15799000000|9662000000|9922000000|3519000000|1577000000|520000000|2027000000|136000000|-7000000|136000000|143000000|55000000|156000000||44000000|3544000000|688000000||2854000000|2583000000|3519000000|3563000000|2856000000|CAT
2023-12-31|USD|6054000000|17070000000|11016000000|11304000000|3134000000|1756000000|554000000|2341000000|170000000|44000000|170000000|126000000|-81000000|241000000||44000000|3263000000|587000000||2673000000|3088000000|3134000000|3178000000|2676000000|CAT
2023-09-30|USD|6227000000|16810000000|10583000000|10863000000|3449000000|1624000000|554000000|2162000000|135000000|-129000000|129000000|129000000|17000000|195000000||44000000|3528000000|734000000||2793000000|2508000000|3449000000|3493000000|2794000000|CAT
2023-06-30|USD|6253000000|17318000000|11065000000|11310000000|3652000000|1528000000|528000000|2046000000|96000000|-127000000|127000000|127000000|40000000|127000000||64000000|3674000000|752000000||2924000000|2722000000|3652000000|3716000000|2922000000|CAT
2023-03-31|USD|5759000000|15862000000|10103000000|10320000000|2731000000|1463000000|472000000|3094000000|93000000|-129000000|129000000|129000000|-658000000|32000000||66000000|2651000000|708000000||1942000000|2654000000|2731000000|2797000000|1943000000|CAT
2022-12-31|USD|4983000000|16597000000|11614000000|11802000000|1680000000|1479000000|401000000|2981000000|69000000|-117000000|117000000|117000000|-301000000|536000000||71000000|2098000000|644000000||1454000000|2350000000|1680000000|1751000000|1454000000|CAT
2022-09-30|USD|4792000000|14994000000|10202000000|10353000000|2425000000|1401000000|476000000|1891000000|52000000|-109000000|109000000|109000000|134000000|242000000||70000000|2568000000|527000000||2040000000|1187000000|2425000000|2495000000|2041000000|CAT
2022-06-30|USD|4272000000|14247000000|9975000000|10095000000|1944000000|1425000000|480000000|1895000000|25000000|-108000000|94000000|108000000|224000000|260000000||71000000|2100000000|427000000||1673000000|884000000|1944000000|2015000000|1673000000|CAT
2022-03-31|USD|4030000000|13589000000|9559000000|9665000000|1855000000|1346000000|457000000|1776000000|21000000|-109000000|53000000|109000000|47000000|253000000||72000000|2006000000|469000000||1537000000|1380000000|1855000000|1927000000|1537000000|CAT
2021-12-31|USD|3795000000|13798000000|10003000000|10106000000|1611000000|1422000000|439000000|1785000000|16000000|-112000000|112000000|112000000|0|1063000000||74000000|2549000000|429000000||2120000000|2007000000|1611000000|1685000000|2120000000|CAT
2021-09-30|USD|3780000000|12397000000|8617000000|8728000000|1664000000|1340000000|427000000|1757000000|20000000|-114000000|114000000|114000000|47000000|225000000||75000000|1794000000|368000000||1428000000|1140000000|1664000000|1739000000|1426000000|CAT
2021-06-30|USD|4008000000|12889000000|8881000000|8997000000|1789000000|1364000000|446000000|1787000000|21000000|-120000000|120000000|120000000|-32000000|201000000||76000000|1883000000|470000000||1414000000|1549000000|1789000000|1865000000|1413000000|CAT
2021-03-31|USD|3875000000|11887000000|8012000000|8137000000|1814000000|1239000000|374000000|1629000000|23000000|-142000000|142000000|142000000|95000000|325000000||77000000|2005000000|475000000||1531000000|1128000000|1814000000|1891000000|1530000000|CAT
2020-12-31|USD|2786000000|11235000000|7784000000|7912000000|1380000000|1216000000|374000000|1600000000|21000000|-130000000|130000000|130000000|-71000000|-309000000||75000000|2953000000|167000000||2786000000|1340000000|1380000000|1455000000|2786000000|CAT
2020-09-30|USD|2309000000|9881000000|6919000000|7056000000|985000000|1126000000|344000000|1535000000|21000000|-136000000|149000000|136000000|-43000000|14000000||78000000|855000000|187000000||671000000|1035000000|985000000|1063000000|668000000|CAT
2020-06-30|USD|2197000000|9997000000|7113000000|7262000000|784000000|1179000000|341000000|1626000000|27000000|-135000000|75000000|135000000|-4000000|29000000||78000000|685000000|227000000||459000000|655000000|784000000|862000000|458000000|CAT
2020-03-31|USD|2648000000|10635000000|7266000000|7441000000|1404000000|1121000000|356000000|1469000000|43000000|-113000000|203000000|113000000|-75000000|222000000||80000000|1517000000|425000000||1093000000|647000000|1404000000|1484000000|1092000000|CAT
2019-12-31|USD|3269000000|13144000000|9117000000|9300000000|1850000000|1283000000|386000000|11294000000|46000000|-112000000|93000000|112000000|-33000000|-373000000||80000000|3545000000|276000000||3269000000|1314000000|1850000000|1930000000|3269000000|CAT
