fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|532000000|1055700000|523700000|642800000|307400000|53300000||224600000|1000000|-1400000|11400000|12800000|1055700000|2000000|8600000|20700000|309000000|90500000|12800000|218500000|223200000|307400000|342500000|218500000|CBOE
2024-06-30|USD|513800000|974000000|460200000|492000000|210100000|56500000||303700000|14200000|-12800000|4600000|12800000|974000000|-13100000|8000000|21300000|203000000|62600000|12800000|140400000|139900000|210100000|237100000|140400000|CBOE
2024-03-31|USD|502100000|957200000|455100000|492400000|282400000|52200000||219700000|14000000|-13000000|4100000|13000000|957200000|4600000|8600000|26200000|292100000|82600000|13000000|209500000|209200000|282400000|331300000|209500000|CBOE
2023-12-31|USD|499000000|968700000|469700000|507700000|294000000|58700000||205000000|31200000|-13200000|3700000|13200000|969000000|-36500000|7600000|28200000|287500000|75500000|13200000|212000000|211700000|294000000|328900000|212000000|CBOE
2023-09-30|USD|480500000|908800000|428300000|428300000|271200000|57100000||209300000|3500000|-15400000|3500000|15400000|908800000|500000|8500000|28200000|270100000|61900000|15400000|208200000|207300000|271200000|313700000|208200000|CBOE
2023-06-30|USD|467100000|907800000|440700000|440700000|244800000|64000000||222300000|2800000|-16700000|2800000|16700000|907800000|1600000|8400000|29300000|241800000|74000000|16700000|167800000|167000000|244800000|287800000|167800000|CBOE
2023-03-31|USD|471400000|988200000|516800000|516800000|247900000|70600000||223500000|2000000|-17100000|2000000|17100000|989100000|100000|8500000|30900000|248200000|74800000|17100000|173400000|172400000|247900000|296200000|173400000|CBOE
2022-12-31|USD|457100000|1004700000|547600000|547600000|250500000|59500000||206600000|1400000|-17100000|1400000|17100000|1004700000|1000000|9500000|33300000|235800000|76100000|17100000|159700000|159100000|250500000|286200000|159700000|CBOE
2022-09-30|USD|442400000|993500000|551100000|551100000|236800000|52700000||205600000|800000|-16100000|800000|16100000|993500000|7500000|8600000|30600000|229000000|78800000|16100000|150200000|149800000|236800000|275700000|150200000|CBOE
2022-06-30|USD|424100000|985800000|561700000|561700000|-237400000|55800000||661500000|500000|-15100000|500000|15100000|985800000|-4800000|8600000|29800000|-256800000|-72300000|15100000|-184500000|-184600000|-237400000|-211900000|-184500000|CBOE
2022-03-31|USD|418100000|974500000|556400000|637600000|239700000|54500000||178400000|900000|-11700000|900000|11700000|974400000|-4000000|8600000|30600000|224900000|115300000|11700000|109600000|109600000|239700000|267200000|109600000|CBOE
2021-12-31|USD|390500000|866400000|475900000|550400000|220600000|47900000||169900000|400000|-11500000|400000|11500000|866000000|700000|8700000|31300000|210200000|44300000|11500000|165900000|165900000|220600000|253000000|165900000|CBOE
2021-09-30|USD|369500000|816800000|447300000|521300000|190700000|52000000||178800000|0|-11700000||11700000|816800000|-5200000|9200000|31800000|173800000|53400000|11700000|120400000|120300000|190700000|217300000|120400000|CBOE
2021-06-30|USD|350600000|800800000|450200000|517900000|190000000|49500000||160600000|100000|-12400000|100000|12400000|800800000|1500000|8200000|30600000|179200000|73700000|12400000|105500000|105500000|190000000|222200000|105500000|CBOE
2021-03-31|USD|365500000|1010800000|645300000|717600000|204600000|49800000||160900000|100000|-12400000|100000|12400000|1010800000|600000|7400000|32900000|192900000|55700000|12400000|137200000|137200000|204600000|238200000|137200000|CBOE
2020-12-31|USD|307100000|844200000|537100000|594600000|134800000|41900000||172300000|200000|-13700000|200000|13700000|844200000|1600000|7500000|31300000|122900000|35600000|13700000|134800000|87300000|134800000|167900000|87300000|CBOE
2020-09-30|USD|292000000|792700000|500700000|559900000|139300000|39800000||152700000|100000|-9600000|100000|9600000|792700000|33600000|6900000|30900000|163400000|53500000|9600000|109900000|109900000|139300000|203900000|109900000|CBOE
2020-06-30|USD|296900000|868700000|571800000|626700000|161700000|33500000||135200000|100000|-7400000|100000|7400000|868700000|2200000|6200000|30100000|156600000|43000000|7400000|113600000|114400000|161700000|194100000|113600000|CBOE
2020-03-31|USD|358300000|921500000|563200000|616500000|226400000|39200000||131900000|700000|-8000000|700000|8000000|921500000|-1600000|6200000|32500000|217500000|60100000|8000000|157400000|157400000|226400000|258000000|157400000|CBOE
2019-12-31|USD|280300000|598600000|318300000|367300000|119200000|35300000||161100000|300000|-8100000|300000|8100000|594200000|2800000|6300000|33500000|114200000|27900000|8100000|119200000|86300000|119200000|155800000|86300000|CBOE
2019-09-30|USD|294000000|675400000|381400000|431100000|147400000|36100000||146600000|600000|-8800000|600000|8800000|675400000|1700000|5900000|33400000|141000000|35000000|8800000|105900000|106000000|147400000|183200000|106000000|CBOE
2019-06-30|USD|283200000|620600000|337400000|389600000|125200000|40300000||158000000|500000|-10500000|500000|10500000|620600000|4400000|6100000|34200000|123400000|35100000|10500000|84500000|88300000|125200000|168100000|88300000|CBOE
2019-03-31|USD|279400000|601500000|322100000|370200000|145400000|35600000||134000000|500000|-10400000|500000|10400000|602200000|-8800000|6200000|37500000|128000000|32600000|10400000|95200000|95400000|145400000|175900000|95400000|CBOE
2018-12-31|USD|334400000|747700000|413300000|474100000|176500000|41600000||157900000|-100000|-9600000||9600000|747700000|8900000|5900000|39400000|176100000|37300000|9600000|176500000|138400000|176500000|225100000|138800000|CBOE
2018-09-30|USD|270500000|575900000|305400000|357200000|126100000|41500000||144400000|1100000|-10700000||10700000|575900000|-200000|6200000|38800000|116600000|30600000|10700000|85700000|86000000|126100000|166100000|86000000|CBOE
2018-06-30|USD|283500000|667500000|384000000|441400000|129100000|92300000||154400000|900000|-10200000||10200000|667500000|0|6100000|39700000|120100000|36800000|10200000|83000000|82900000|129100000|170000000|83300000|CBOE
2018-03-31|USD|328500000|777700000|449200000|508100000|167700000|92900000||160800000|400000|-10000000||10000000|777700000|1300000|6900000|42100000|159700000|41300000|10000000|118100000|118300000|167700000|211800000|118400000|CBOE
2017-12-31|USD|265600000|620700000|355100000|408300000|108700000|86000000||156900000|100000|-10500000||10500000|620700000|5800000|8100000|43000000|104400000|-153000000|10500000|108700000|257100000|108700000|157900000|257400000|CBOE
2017-09-30|USD|269700000|611400000|341700000|392100000|119300000|84500000||150400000|500000|-11000000||11000000|611400000|-2900000|7900000|42800000|106100000|45600000|11000000|60300000|80900000|119300000|159900000|60500000|CBOE
2017-06-30|USD|266900000|640800000|373900000|423900000|117800000|84300000||149100000|0|-12500000||12500000|640800000|800000|8700000|42700000|106400000|38100000|12500000|68000000|95700000|117800000|161600000|68300000|CBOE
2017-03-31|USD|193400000|356200000|162800000|210600000|26100000|73500000||167300000|600000|-8500000||8500000|356200000|100000|6400000|14400000|18600000|3100000|8500000|15200000|18500000|26100000|41500000|15500000|CBOE
2016-12-31|USD|143000000|175080000|47800000|20104000|74900000|78658000||99978000|5063000|-5500000||5500000|0|5500000|6100000|10066000|75200000|29800000|5515000|75102000|45483000|74900000|90766000|45400000|CBOE
2016-09-30|USD|136200000|168700000|32500000|19399000|65800000|59265000||70400000|1557000|-200000||200000|-7000|1800000|6000000|10200000|67700000|26900000|177000|40451000|40730000|65800000|78100000|40800000|CBOE
2016-06-30|USD|144100000|173100000|29000000|19336000|78000000|52843000||66100000|5657000|||28000|-1000|5800000|6000000|12260000|84100000|32900000|28000|50931000|51241000|78000000|90260000|51200000|CBOE
2016-03-31|USD|143100000|170500000|27400000|19114000|79500000|50458000||63600000|707000|||27000|-1000|300000|11500000|11851000|80700000|31300000|27000|49176000|49429000|79500000|91351000|49400000|CBOE
2015-12-31|USD|311703000|155946000|-126502000|17830000|75895000|57640000||80051000|3515000|||27000|0|3774000||12203000|79640000|29261000|27000|75895000|50416000|75895000|88098000|50379000|CBOE
2015-09-30|USD|102976000|187035000|84059000|21840000|101110000|49825000||85925000|68000|||16000|-225000|341000||12394000|101451000|33935000|16000|67516000|67530000|101110000|113504000|67516000|CBOE
