fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|1784000000|9036000000|7252000000|7252000000|368000000|1237000000||220000000||-64000000|-62000000|2000000|8850000000|12000000||178000000|292000000|67000000|2000000|245000000|361000000|368000000|472000000|225000000|CBRE
2024-06-30|USD|1598000000|8391000000|6793000000|6954000000|246000000|1191000000||163300000||-63000000|-62000000|1000000|8245000000|6000000||161000000|162200000|32200000|1000000|141800000|104000000|246000000|324200000|130000000|CBRE
2024-03-31|USD|1460000000|7935000000|6475000000|6633000000|204000000|1111000000||132000000||-36000000|-34000000|2000000|7815000000|9000000||158000000|97000000|-29000000|2000000|148000000|45000000|204000000|257000000|126000000|CBRE
2023-12-31|USD|1857708000|8949975000|7092267000|7249229000|503766000|1206000000||213041000||-39397000|-36284000|3113000|8779586000|39286000||156962000|613160000|136009000|3113000|494829000|597056000|503766000|773235000|477151000|CBRE
2023-09-30|USD|1471222000|7868000000|6397000000|6396824000|269000000|1058043000||155019000||-38000000|-36624000|1582000|7729834000|14000000||149000000|221104000|31000000|1582000|200945000|76000000|269435000|371847000|191000000|CBRE
2023-06-30|USD|1540367000|7720000000|6179000000|6179496000|306000000|1088812000||190831000||-43000000|-41838000|1144000|7599488000|6000000||155000000|256807000|55400000|1144000|206153000|225000000|306429000|412338000|201000000|CBRE
2023-03-31|USD|1404701000|7411000000|6006000000|6006413000|37000000|1208904000||298313000||-28000000|-27253000|1161000|7309286000|2000000||162000000|144928000|28000000|1161000|125072000|146000000|37365000|307580000|117000000|CBRE
2022-12-31|USD|1695669000|8194489000|6498820000|6498820000|243676000|1314329000||21900000||-17698000|-15560000|2138000|8031134000|1665000||159561000|55642000|-25470000|2136000|-43800000|321415000|243676000|217341000|81112000|CBRE
2022-09-30|USD|1595056000|7529546000|5934490000|5934490000|374350000|1080316000||178631000||-19957000|-16827000|3130000|7376632000|7844000||142136000|589306000|142667000|1862000|451680000|175125000|374350000|734572000|446639000|CBRE
2022-06-30|USD|1717294000|7771278000|6053984000|6053984000|516937000|1188819000||234478000||-18518000|-16774000|1744000|7604491000|-6909000||162359000|608084000|120762000|1744000|489916000|237193000|516937000|772187000|487322000|CBRE
2022-03-31|USD|1580739000|7332933000|5752194000|5752194000|376952000|1065996000||142385000||-12826000|-11163000|1663000|7176545000|-14464000||149032000|388559000|-3738000|1663000|396271000|331516000|376952000|539254000|392297000|CBRE
2021-12-31|USD|1965962000|8550217000|6584255000|6584255000|592236000|4074184000||306453000||-15436000|-12201000|3235000|8262823000|181139000||162144000|916219000|224227000|3235000|692874000|705509000|592236000|1081598000|691992000|CBRE
2021-09-30|USD|1539380000|6798327000|5258947000|5258947000|409665000|1025681000||138775000||-11038000|-9275000|1763000|6630575000|7693000||122564000|569250000|133507000|1763000|436629000|346131000|409665000|693577000|435743000|CBRE
2021-06-30|USD|1441854000|6458613000|5016759000|5016759000|366482000|957216000||127219000||-13772000|-12064000|1708000|6296591000|12045000||119085000|576082000|133445000|1708000|443442000|460608000|366482000|696875000|442637000|CBRE
2021-03-31|USD|1219333000|5938879000|4719546000|4719546000|269084000|828327000||50764000||-10106000|-8497000|1609000|5804128000|2732000||122078000|342529000|76327000|1609000|268977000|213393000|269084000|466216000|266202000|CBRE
2020-12-31|USD|1539671000|6910501000|5370830000|5370830000|443896000|2516139000||91136000||-15958000|62115000|78073000|6633828000|4420000||143825000|408819000|95054000|153665000|443896000|515438000|443896000|630717000|313765000|CBRE
2020-09-30|USD|1080563000|5645142000|4564579000|4564579000|211408000|794227000||128250000||-17829000|-16279000|1550000|5487176000|7947000||127725000|233232000|49100000|1550000|184840000|291250000|211408000|362507000|184132000|CBRE
2020-06-30|USD|981847000|5381384000|4399537000|4399537000|94165000|770806000||116620000||-17950000|-16369000|1581000|5252241000|5220000||116384000|100700000|18803000|1581000|82112000|94419000|94165000|218665000|81897000|CBRE
