fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|670000000|1986000000|1316000000|3022000000|30000000|349000000||550000000||1412000000|2462000000|1050000000|574000000||||508000000|107000000||401000000|-268000000|30000000|494000000|401000000|CFG
2024-09-30|USD|642000000|1901000000|1259000000|6770000|100000000|294000000||458000000||1369000000|2539000000|1170000000|532000000|||129000000|470000000|88000000||382000000|1591000000|100000000|599000000|382000000|CFG
2024-06-30|USD|662000000|1963000000|1301000000|15010000|54000000|327000000||515000000||1410000000|2575000000|1165000000|553000000|||143000000|480000000|88000000||392000000|421000000|54000000|623000000|392000000|CFG
2024-03-31|USD|601000000|1959000000|1358000000|24200000|-30000000|341000000||539000000||1442000000|2610000000|1168000000|517000000|||102000000|430000000|96000000|1168000000|334000000|-72000000|1598000000|532000000|334000000|CFG
2023-12-31|USD|376000000|1988000000|1612000000|11160000|-563000000|358000000||822000000||1488000000|2676000000|1188000000|500000000|||126000000|205000000|16000000|1188000000|189000000|1674000000|1393000000|375000000|189000000|CFG
2023-09-30|USD|721000000|2014000000|1293000000|25450000|144000000|315000000||491000000||1522000000|2595000000|1073000000|492000000|||122000000|549000000|119000000|1073000000|430000000|-250000000|1622000000|549000000|430000000|CFG
2023-06-30|USD|788000000|2094000000|1306000000|1630000|124000000|369000000||566000000||1588000000|2531000000|943000000|506000000|||122085|612000000|134000000|943000000|478000000|-142000000|1555000000|1555000000|478000000|CFG
2023-03-31|USD|832000000|2128000000|1296000000||202000000|371000000||535000000||1643000000|2402000000|759000000|485000000|||41584|664000000|153000000|759000000|511000000|1128000000|1423000000|1423000000|511000000|CFG
2022-12-31|USD|960000000|2200000000|1240000000|5490000|364000000|343000000||508000000||1695000000|2252000000|557000000|505000000|||12000000|828000000|175000000|557000000|653000000|916000000|1385000000|1397000000|653000000|CFG
2022-09-30|USD|936000000|2177000000|1241000000|18630000|344000000|332000000||509000000||1665000000|1969000000|304000000|512000000|||12000000|813000000|177000000|304000000|636000000|-969000000|1117000000|1129000000|636000000|CFG
2022-06-30|USD|694000000|1999000000|1305000000|19600000|102000000|339000000||504000000||1505000000|1626000000|121000000|494000000|||12000000|478000000|114000000|121000000|364000000|-596000000|599000000|611000000|364000000|CFG
2022-03-31|USD|536000000|1645000000|1109000000||51000000|311000000||421000000||1147000000|1213000000|66000000|498000000|||5000000|536000000|116000000|66000000|420000000|-1173000000|602000000|607000000|420000000|CFG
2021-12-31|USD|684000000|1720000000|1036000000|-1000000|190000000|302000000||421000000||1126000000|1202000000|76000000|594000000|||4000000|684000000|154000000|76000000|530000000|373000000|760000000|764000000|530000000|CFG
2021-09-30|USD|681000000|1659000000|978000000||212000000|253000000||377000000||1145000000|1222000000|77000000|514000000|||2000000|681000000|151000000|77000000|530000000|403000000|758000000|760000000|530000000|CFG
2021-06-30|USD|831000000|1609000000|778000000||426000000|250000000||343000000||1124000000|1211000000|87000000|485000000|||2000000|831000000|183000000|87000000|648000000|678000000|918000000|920000000|648000000|CFG
