fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|-6951000000|63694000000|70645000000|47565000000|2576000000|3590000000||4113000000||-376000000||380000000|11349000000|-376000000||436000000|1106000000|367000000|380000000|825000000|1018000000|2576000000|1922000000|739000000|CI
2024-06-30|USD|-7103000000|60523000000|67626000000|44492000000|2412000000|3684000000||4104000000||-375000000||378000000|11454000000|-375000000||420000000|1908000000|360000000|378000000|1629000000|1430000000|2412000000|2706000000|1548000000|CI
2024-03-31|USD|-7184000000|57255000000|64439000000|41431000000|2256000000|3705000000||4147000000||-369000000||369000000|11584000000|-322000000||423000000|14000000|291000000|369000000|-212000000|-737000000|2256000000|806000000|-277000000|CI
2023-12-31|USD|-252000000|51114000000|252000000|35261000000|2060000000|4062000000||252000000||-356000000||356000000|9697000000|-360000000||492000000|-1423000000|-919000000|356000000|-504000000|1284000000|2060000000|-575000000|-504000000|CI
2023-09-30|USD|-6687000000|49048000000|55735000000|33639000000|2240000000|3788000000||4263000000||-353000000|379000000|353000000|10977000000|-365000000||454000000|1799000000|391000000|353000000|1449000000|1167000000|2240000000|2606000000|1408000000|CI
2023-06-30|USD|-6813000000|48586000000|55399000000|33442000000|2221000000|3434000000||3889000000||-350000000|337000000|350000000|11039000000|-363000000||455000000|1834000000|374000000|350000000|1510000000|1351000000|2221000000|2639000000|1460000000|CI
2023-03-31|USD|-7031000000|46517000000|53548000000|31459000000|2015000000|3538000000||3997000000||-345000000|358000000|345000000|11025000000|-358000000||459000000|1562000000|295000000|345000000|1306000000|1156000000|2015000000|2366000000|1267000000|CI
2022-12-31|USD|-6619000000|45751000000|52370000000|32094000000|1713000000|3496000000||4046000000||-355000000|324000000|355000000|9474000000|-324000000||490000000|1297000000|128000000|355000000|1198000000|1906000000|1713000000|2142000000|1169000000|CI
2022-09-30|USD|-5613000000|45281000000|50893000000|31777000000|2142000000|3151000000||1873000000||-317000000|304000000|317000000|11321000000|-304000000||460000000|3470000000|713000000|317000000|2778000000|2772000000|2142000000|4247000000|2757000000|CI
2022-06-30|USD|-5833000000|45478000000|51313000000|31150000000|2371000000|3264000000||3779000000||-316000000|301000000|316000000|10426000000|-301000000||501000000|1970000000|411000000|316000000|1572000000|714000000|2371000000|2787000000|1559000000|CI
