fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|1730000000|1856000000|126000000|1000000|424000000|125000000||125000000||-195000000||195000000|1849000000|15000000||334000000|245000000|52000000||193000000|193000000|424000000|774000000|193000000|CNP
2024-03-31|USD|2475000000|2620000000|145000000|1000000|616000000|144000000||144000000||-204000000||204000000|2594000000|14000000||363000000|428000000|78000000||350000000|354000000|616000000|976000000|350000000|CNP
2023-12-31|USD|1866000000|2182000000|316000000|1000000|321000000|130000000||347000000||-201000000||201000000|2051000000|-2000000||359000000|117000000|-75000000|212000000|192000000|1280000000|321000000|677000000|192000000|CNP
2023-09-30|USD|1732000000|1860000000|128000000|1000000|518000000|127000000||127000000||-183000000|181000000|183000000|1864000000|13000000||374000000|350000000|68000000|176000000|282000000|285000000|518000000|905000000|282000000|CNP
2023-06-30|USD|1688000000|1875000000|187000000|57000000|380000000|130000000||130000000||-167000000|164000000|167000000|1872000000|13000000||122085|217000000|99000000|165000000|118000000|118000000|380000000|742000000|118000000|CNP
2023-03-31|USD|2601000000|2779000000|178000000|40000000|541000000|138000000||138000000||-150000000|151000000|150000000|2761000000|13000000||41584|403000000|78000000|148000000|325000000|324000000|541000000|873000000|325000000|CNP
2022-12-31|USD|2296000000|2711000000|415000000|61000000|354000000|142000000||70000000||-138000000|137000000|138000000|3652000000|-51000000||54880|166000000|32000000|136000000|134000000|160000000|354000000|617000000|134000000|CNP
2022-09-30|USD|1732000000|1903000000|171000000|52000000|384000000|119000000||119000000||-119000000|115000000|119000000|1906000000|8000000||27081|277000000|75000000|116000000|202000000|204000000|384000000|721000000|202000000|CNP
2022-06-30|USD|1753000000|1944000000|191000000|56000000|351000000|135000000||135000000||-110000000|106000000|110000000|1959000000|-1000000||86065|244000000|54000000|106000000|190000000|167000000|351000000|677000000|190000000|CNP
2022-03-31|USD|2581000000|2763000000|182000000|35000000|477000000|147000000||147000000||-157000000|68000000|157000000|2788000000|18000000||60459|730000000|199000000|153000000|531000000|533000000|477000000|813000000|531000000|CNP
