fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|1131000000|1395000000|264000000|177000000|326000000|84000000||93000000|11000000|-18000000|16000000|1000000|1344000000|||499000000|308000000|11000000|29000000|297000000|298000000|326000000|835000000|297000000|CTRA
2024-09-30|USD|1119000000|1359000000|240000000|165000000|327000000|75000000||81000000|16000000|-8000000|21000000|-4000000|1362000000|||480000000|319000000|67000000|24000000|252000000|252000000|327000000|818000000|252000000|CTRA
2024-06-30|USD|1043000000|1271000000|228000000|160000000|296000000|68000000||72000000|19000000|-15000000|25000000|-5000000|1272000000|||447000000|281000000|61000000|34000000|220000000|220000000|296000000|762000000|220000000|CTRA
2024-03-31|USD|1199000000|1433000000|234000000|156000000|440000000|75000000||84000000|16000000|-19000000|21000000|19000000|1432000000|||432000000|437000000|85000000|19000000|352000000|352000000|456000000|888000000|352000000|CTRA
2023-12-31|USD|1352000000|1596000000|244000000|161000000|577000000|78000000||89000000|15000000|-23000000|21000000|23000000|1697000000|||456000000|569000000|153000000|23000000|416000000|414000000|592000000|1048000000|416000000|CTRA
2023-09-30|USD|1140000000|1356000000|216000000|137000000|424000000|79000000||77000000|10000000|-17000000|10000000|17000000|1363000000|||421000000|417000000|94000000|17000000|323000000|322000000|434000000|847000000|323000000|CTRA
2023-06-30|USD|997000000|1185000000|188000000|130000000|276000000|58000000||63000000|10000000|-16000000|10000000|16000000|1185000000|10000000||395000000|270000000|61000000|16000000|209000000|209000000|286000000|684000000|209000000|CTRA
2023-03-31|USD|1557000000|1777000000|220000000|134000000|877000000|76000000||85000000|12000000|-17000000|12000000|17000000|1920000000|12000000||383000000|872000000|195000000|17000000|677000000|677000000|889000000|1260000000|677000000|CTRA
2022-12-31|USD|2049000000|2280000000|231000000|126000000|1295000000|95000000||111000000|6000000|-11000000|36000000|47000000|1819000000|||1275000000|1288000000|256000000|18000000|1032000000|1044000000|1335000000|2561000000|1032000000|CTRA
2022-09-30|USD|2295000000|2520000000|225000000|118000000|1506000000|107000000||117000000|3000000|-17000000|3000000|20000000|2546000000|26000000||432000000|1515000000|319000000|3000000|1196000000|1197000000|1535000000|1938000000|1196000000|CTRA
2022-06-30|USD|2369000000|2572000000|203000000|116000000|1609000000|87000000||97000000|1000000|-21000000|1000000|22000000|2569000000|||414000000|1588000000|359000000|22000000|1229000000|1229000000|1610000000|2026000000|1229000000|CTRA
2022-03-31|USD|1446000000|1679000000|233000000|100000000|799000000|107000000||137000000||-21000000||21000000|1681000000|||389000000|778000000|170000000|-10000000|608000000|612000000|799000000|1188000000|608000000|CTRA
2021-12-31|USD|1533385000|2225000000|690872000|101616000|1238000000|152710000||600538000||-24000000|7000000|31000000|2000982000|139000||410000000|1214000000|276000000|-12132000|938468000|937468000|1245000000|1677000000|938000000|CTRA
2021-09-30|USD|353944000|440000000|86452000|21354000|97000000|65098000||68912000||-13000000|-3000000|10000000|440580000|-47000||97289000|84000000|20000000|10000000|62714000|62577000|94000000|192898000|64000000|CTRA
2021-06-30|USD|285476000|324000000|39191000|16154000|54000000|23037000||25385000||-13000000|-12291000|709000|324687000|-46000||91549000|41000000|11000000|709000|30464000|30326000|54000000|145391000|30000000|CTRA
2021-03-31|USD|412524000|460000000|47156000|16876000|175000000|29155000||32836000||-12000000|-11285000|715000|459751000|-46000||94148000|163000000|37000000|715000|126354000|126217000|175000000|269469000|126000000|CTRA
2020-12-31|USD|456778000|456778000|267874000|18539000|162892000|24534000||254437000||-10857000|35909000|46766000|517830000|171000||96497000|152730000|21053000|727000|162892000|131677000|162892000|259683000|131677000|CTRA
2020-09-30|USD|246582000|291041000|44459000|20197000|-7533000|24262000||28131000||-14389000|-13656000|733000|291072000|-57000||99649000|-21979000|-7018000|733000|-14961000|-15105000|-7533000|92028000|-14961000|CTRA
2020-06-30|USD|291759000|332348000|40589000|17423000|53716000|23166000||27986000||-14543000|-13792000|751000|288133000|-48000||94622000|39125000|8751000|751000|30374000|30374000|53716000|148531000|30374000|CTRA
2020-03-31|USD|334783000|386457000|51674000|17244000|86401000|33429000||36549000||-14211000|-13461000|750000|386528000|-66000||100135000|72124000|18214000|750000|53910000|53774000|86401000|186399000|53910000|CTRA
2019-12-31|USD|461368000|461368000|44791000|21350000|222209000|22500000||308463000||-14698000|-13951000|747000|542140000|-570000||106439000|207191000|60321000|747000|291511000|143870000|222209000|222063000|146870000|CTRA
2019-09-30|USD|391539000|429111000|37572000|19181000|129777000|18391000||303230000||-13554000|-12799000|755000|429147000|-143000||110889000|116080000|25722000|755000|90358000|90221000|129777000|240487000|90358000|CTRA
2019-06-30|USD|493135000|534117000|40982000|18093000|250805000|22889000||286962000||-14567000|-13192000|1375000|534117000|-143000||96147000|236095000|55086000|1375000|181009000|180873000|250805000|250662000|181009000|CTRA
2019-03-31|USD|591262000|641681000|50419000|18334000|352959000|31090000||290906000||-12181000|-11092000|1089000|640181000|-144000||92258000|340634000|77871000|1089000|262763000|262626000|352959000|354315000|262763000|CTRA
2018-12-31|USD|668110000|716301000|48191000|16889000|340678000|30628000||376292000||-15624000|-14514000|1110000|759283000|-116000||129269000|324938000|49893000|1110000|275045000|277405000|340678000|342038000|275045000|CTRA
