fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-06-30|USD|1489000000|3957000000|2468000000||745000000|744000000||744000000||3524000000|4971000000|1447000000|1014000000|||82000000|2070000000|540000000|1447000000|1530000000|1525000000|3517000000|3599000000|1530000000|DFS
2024-03-31|USD|-919000000|2887000000|3806000000||-1756000000|725000000||837000000||3487000000|4948000000|1461000000|723000000|||96000000|404000000|96000000|1461000000|308000000|140000000|1865000000|1961000000|308000000|DFS
2023-12-31|USD|-1268000000|2416000000|3684000000||-2139000000|1124000000||871000000||3468000000|4868000000|1400000000|728000000|||-280000000|512000000|124000000|1400000000|388000000|736000000|1912000000|1632000000|388000000|DFS
2023-09-30|USD|-703000000|2453000000|3156000000||-1438000000|735000000||735000000||3322000000|4610000000|1288000000|722000000|||106000000|888000000|205000000|1288000000|683000000|580000000|2176000000|2282000000|683000000|DFS
2023-06-30|USD|-24000000|2685000000|2709000000||-678000000|654000000||654000000||3177000000|4290000000|1113000000|701000000|||119000000|1190000000|268000000|1113000000|901000000|666000000|2303000000|2422000000|901000000|DFS
2023-03-31|USD|257000000|2742000000|2485000000||-536000000|634000000||793000000||3132000000|4077000000|945000000|610000000|||129000000|1257000000|289000000|945000000|976000000|1072000000|2202000000|2331000000|968000000|DFS
2022-12-31|USD|568000000|2946000000|2378000000||-107000000|989000000||675000000||3067000000|3856000000|789000000|698000000|||-344000000|1367000000|324000000|789000000|1033000000|1057000000|2156000000|1812000000|1043000000|DFS
2022-09-30|USD|608000000|2769000000|2161000000||-55000000|663000000||663000000||2843000000|3357000000|514000000|625000000|||145000000|1327000000|314000000|514000000|1006000000|911000000|1841000000|1986000000|1013000000|DFS
2022-06-30|USD|922000000|2694000000|1772000000||334000000|588000000||588000000||2610000000|2915000000|305000000|603000000|||140000000|1441000000|338000000|305000000|1111000000|1065000000|1746000000|1886000000|1103000000|DFS
2022-03-31|USD|1468000000|2752000000|1284000000||638000000|518000000||830000000||2479000000|2736000000|257000000|423000000|||139000000|1618000000|376000000|257000000|1242000000|1123000000|1875000000|2014000000|1242000000|DFS
2021-12-31|USD|1102000000|2677000000|1575000000||265000000|889000000||837000000||2483000000|2742000000|259000000|453000000|||-301000000|1361000000|294000000|259000000|1067000000|1041000000|1620000000|1319000000|1067000000|DFS
2021-09-30|USD|1220000000|2595000000|1375000000||617000000|552000000||603000000||2405000000|2674000000|269000000|372000000|||139000000|1402000000|311000000|269000000|1091000000|1062000000|1671000000|1810000000|1091000000|DFS
2021-06-30|USD|2093000000|3450000000|1357000000||1564000000|529000000||529000000||2299000000|2589000000|290000000|1280000000|||129000000|2222000000|524000000|290000000|1698000000|1666000000|2512000000|2641000000|1698000000|DFS
2021-03-31|USD|2449000000|3165000000|716000000||1851000000|469000000||598000000||2330000000|2646000000|316000000|465000000|||119000000|2079000000|486000000|316000000|1593000000|1541000000|2395000000|2514000000|1593000000|DFS
2020-12-31|USD|484000000|2293000000|1809000000||484000000|764000000||604000000||2377000000|2760000000|383000000|447000000|||-264000000|1015000000|216000000|383000000|799000000|751000000|1398000000|1134000000|799000000|DFS
2020-09-30|USD|215000000|1970000000|1755000000||-213000000|428000000||428000000||2265000000|2681000000|416000000|449000000|||116000000|959000000|188000000|416000000|771000000|742000000|1375000000|1491000000|771000000|DFS
2020-06-30|USD|-2502000000|621000000|3123000000||-2956000000|454000000||454000000||2190000000|2672000000|482000000|472000000|||123000000|-461000000|-93000000|482000000|-368000000|-380000000|21000000|144000000|-368000000|DFS
2020-03-31|USD|-1861000000|1105000000|2966000000||-2529000000|568000000||668000000||2398000000|2982000000|584000000|490000000|||123000000|-78000000|-17000000|584000000|-61000000|192000000|506000000|629000000|-61000000|DFS
2019-12-31|USD|88000000|2108000000|2020000000|113000000|88000000|784000000||560000000||2424000000|3039000000|615000000|520000000|||-231000000|924000000|216000000|615000000|708000000|663000000|1539000000|1308000000|708000000|DFS
2019-09-30|USD|245000000|2151000000|1906000000|96000000|-296000000|541000000||541000000||2402000000|3040000000|638000000|498000000|||113000000|994000000|224000000|638000000|770000000|779000000|1632000000|1745000000|770000000|DFS
2019-06-30|USD|282000000|2147000000|1865000000|101000000|-252000000|534000000||534000000||2332000000|2977000000|645000000|520000000|||103000000|987000000|234000000|645000000|753000000|806000000|1632000000|1735000000|753000000|DFS
2019-03-31|USD|211000000|2044000000|1833000000|99000000|-387000000|489000000||598000000||2305000000|2937000000|632000000|458000000|||99000000|930000000|204000000|632000000|726000000|746000000|1562000000|1661000000|726000000|DFS
2018-12-31|USD|97000000|2007000000|1910000000|93000000|97000000|750000000||511000000||2302000000|2907000000|605000000|505000000|||-251000000|897000000|210000000|605000000|687000000|691000000|1502000000|1251000000|687000000|DFS
2018-09-30|USD|301000000|2058000000|1757000000|89000000|-198000000|499000000||499000000||2223000000|2781000000|558000000|501000000|||110000000|967000000|247000000|558000000|720000000|722000000|1525000000|1635000000|720000000|DFS
2018-06-30|USD|205000000|1931000000|1726000000|86000000|-690000000|895000000||895000000||2129000000|2636000000|507000000|474000000|||109000000|877000000|208000000|507000000|669000000|675000000|1384000000|1493000000|669000000|DFS
2018-03-31|USD|160000000|1879000000|1719000000|1874000000|-811000000|853000000||971000000||2100000000|2569000000|469000000|475000000|||107000000|856000000|190000000|469000000|666000000|679000000|1325000000|1432000000|666000000|DFS
2017-12-31|USD|220000000|1935000000|1715000000|1833000000|220000000|1050000000||850000000||2120000000|2556000000|436000000|494000000|||-213000000|899000000|512000000|436000000|387000000|383000000|1335000000|1122000000|387000000|DFS
2017-09-30|USD|273000000|1895000000|1622000000|1739000000|-567000000|840000000||840000000||2050000000|2476000000|426000000|475000000|||101000000|903000000|301000000|426000000|602000000|604000000|1329000000|1430000000|602000000|DFS
2017-06-30|USD|263000000|1815000000|1552000000|1656000000|-552000000|815000000||815000000||1938000000|2338000000|400000000|481000000|||95000000|867000000|321000000|400000000|546000000|551000000|1267000000|1362000000|546000000|DFS
2017-03-31|USD|310000000|1781000000|1471000000|1569000000|-580000000|783000000||890000000||1892000000|2278000000|386000000|447000000|||93000000|868000000|304000000|386000000|564000000|570000000|1254000000|1347000000|564000000|DFS
2016-12-31|USD|305000000|1780000000|1475000000|1567000000|305000000|921000000||753000000||1892000000|2258000000|366000000|466000000|||-185000000|883000000|320000000|366000000|563000000|567000000|1249000000|1064000000|563000000|DFS
2016-09-30|USD|532000000|1872000000|1340000000|1432000000|-254000000|786000000||786000000||1825000000|2184000000|359000000|476000000|||86000000|961000000|322000000|359000000|639000000|648000000|1320000000|1406000000|639000000|DFS
2016-06-30|USD|501000000|1819000000|1318000000|1380000000|-299000000|800000000||800000000||1751000000|2090000000|339000000|465000000|||92000000|898000000|282000000|339000000|616000000|614000000|1237000000|1329000000|616000000|DFS
2016-03-31|USD|504000000|1814000000|1310000000|1358000000|-372000000|779000000||876000000||1750000000|2084000000|334000000|474000000|||84000000|914000000|339000000|334000000|575000000|563000000|1248000000|1332000000|575000000|DFS
2015-12-31|USD|304000000|1721000000|1417000000|1437000000|304000000|948000000||751000000||1732000000|2061000000|329000000|473000000|||-210000000|788000000|288000000|329000000|500000000|520000000|1117000000|907000000|500000000|DFS
2015-09-30|USD|649000000|1863000000|1214000000|1242000000|-124000000|773000000||773000000||1685000000|2008000000|323000000|503000000|||98000000|974000000|362000000|323000000|612000000|592000000|1297000000|1395000000|612000000|DFS
2015-06-30|USD|643000000|1876000000|1233000000|1248000000|-171000000|791000000||814000000||1636000000|1947000000|311000000|539000000|||98000000|942000000|343000000|311000000|599000000|600000000|1253000000|1351000000|599000000|DFS
2015-03-31|USD|524000000|1787000000|1263000000|1305000000|-287000000|752000000||811000000||1629000000|1929000000|300000000|542000000|||95000000|908000000|322000000|300000000|586000000|563000000|1208000000|1303000000|586000000|DFS
2014-12-31|USD|191000000|1580000000|1389000000|1465000000|191000000|893000000||817000000||1672000000|1974000000|302000000|365000000|||-103000000|648000000|244000000|302000000|404000000|336000000|950000000|847000000|404000000|DFS
2014-09-30|USD|660000000|1841000000|1181000000|1302000000|-63000000|723000000||723000000||1638000000|1926000000|288000000|552000000|||61000000|1009000000|365000000|288000000|644000000|646000000|1297000000|1358000000|644000000|DFS
2014-06-30|USD|655000000|1812000000|1157000000|1276000000|-35000000|556000000||964000000||1589000000|1863000000|274000000|583000000|||59000000|1015000000|371000000|274000000|644000000|642000000|1289000000|1348000000|644000000|DFS
2014-03-31|USD|750000000|1806000000|1056000000|1180000000|11000000|560000000||1009000000||1563000000|1833000000|270000000|515000000|||61000000|1022000000|391000000|270000000|624000000|629000000|1292000000|1353000000|631000000|DFS
2013-12-31|USD|23000000|1215000000|1192000000|1323000000|25000000|590000000||271000000||1569000000|1842000000|273000000|560000000|||-99000000|937000000|335000000|273000000|602000000|643000000|1210000000|1111000000|602000000|DFS
