fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|830810000|1435862000|605052000|662689000|144322000|126816000||1291540000||-104742000||104742000|139014000|44517000||455355000|194497000|4928000||147710000|-335349000|299239000|754594000|189569000|DLR
2024-09-30|USD|853615000|1431214000|577599000|656361000|168286000|117602000||1262928000||-123803000||123803000|-556000|37756000||459997000|63620000|12427000||167129000|282390000|187423000|647420000|51193000|DLR
2024-06-30|USD|642708000|1356749000|714041000|1032618999|9889000|120395000||1346860000||-114756000||114756000|173709000|62261000||425343000|95212000|14992000|-109535000|15715000|45346000|209968000|635311000|80220000|DLR
2024-03-31|USD|784831000|1331143000|546312000|1023891000|149367000|115210000||1181776000||-109535000||109535000|276717000|9709000||431102000|303921000|22413000|110605000|120655000|181307000|413456000|844558000|281508000|DLR
2023-12-31|USD|827002000|1369639000|542637000|1067631000|134041000|116799000||1235598000||-113638000||113638000|-103000|50269000||420475000|49034000|20724000|113638000|133632000|159478000|162672000|583147000|28310000|DLR
2023-09-30|USD|758098000|1402432000|644334000|679823000|58226000|110721000||1344206000||-110767000|105748000|110767000|810688000|24812000||420613000|750846000|17228000|110767000|46017000|592390000|861613000|1282226000|733618000|DLR
2023-06-30|USD|824078000|1366267000|542189000|646414000|154860000|109616000||1211407000||-111116000|112987000|111116000|89946000|-6930000||432573000|134357000|16173000|111116000|136816000|27310000|245473000|678046000|118184000|DLR
2023-03-31|USD|805605000|1338723000|533118000|611649000|177334000|111920000||1161389000||-102220000|87043000|102220000|0|280000||421198000|90180000|21454000|102220000|171057000|12877000|192400000|613598000|68726000|DLR
2022-12-31|USD|679546000|1233107000|553561000|533023000|120980000|120431000||1112127000||-86882000|137888000|86882000|-6000|-22894000||430130000|-13775000|-17676000|86882000|87649000|270907000|73107000|503237000|3901000|DLR
2022-09-30|USD|705932000|1192083000|486151000|517590000|157381000|97447000||1034702000||-76502000|15752000|76502000|173990000|15752000||388704000|256651000|19576000|76502000|141303000|-150168000|333153000|721857000|237075000|DLR
2022-06-30|USD|656579000|1139322000|482743000|468715000|170372000|105776000||968950000||-69023000|13008000|69023000|0|13008000||376967000|79833000|16406000|69023000|132886000|-223291000|148856000|525823000|63427000|DLR
2022-03-31|USD|646677000|1127322000|480645000|482119000|141235000|98513000||986087000||-66725000|3051000|66725000|-48365000|3051000||382132000|86525000|13244000|117860000|192000000|58317000|153250000|535382000|73281000|DLR
2021-12-31|USD|609285000|1111167000|501882000|461856000|131497000|104708000||979670000||-71762000|83825000|71762000|1046685000|-4349000||378883000|1071771000|3961000|72087000|115474000|1037234000|1143533000|1522416000|1067810000|DLR
2021-09-30|USD|665641000|1133136000|467495000|462243000|184365000|98460000||948771000||-71417000|33480000|71417000|-635000|-2947000||369035000|147984000|13709000|71417000|208593000|-9017000|219401000|588436000|134275000|DLR
2021-06-30|USD|626715000|1093188000|466473000|426012000|185628000|97492000||907560000||-75014000|10124000|75014000|499000|10124000||368981000|168836000|47582000|75014000|200313000|230770000|243850000|612831000|121254000|DLR
2021-03-31|USD|620664000|1090391000|469727000|410784000|192519000|99994000||897872000||-75653000|105870000|75653000|315574000|-7186000||369733000|393467000|7547000|94000000|154755000|173227000|469120000|838853000|385920000|DLR
2020-12-31|USD|1062609000|1062609000|462103000|416901000|160263000|102188000||902346000||-77848000|49540000|77848000|-47893000|-2747000||359915000|61013000|3322000|127424000|1062609000|329102000|138861000|498776000|57691000|DLR
2020-09-30|USD|560992000|1024668000|463676000|398412000|144403000|91352000||880265000||-89499000|87207000|89499000|-42597000|4348000||365842000|15915000|16053000|142506000|130642000|234587000|105414000|471256000|-138000|DLR
2020-06-30|USD|549539000|992995000|443456000|377718000|152811000|94291000||840184000||-79874000|22163000|79874000|0|22163000||349165000|86321000|11490000|79874000|155852000|160704000|166195000|515360000|74831000|DLR
2020-03-31|USD|468342000|823337000|354995000|307831000|100049000|63538000||723288000||-85800000|3542000|85800000|304169000|-3542000||291457000|231196000|7182000|86432000|10329000|-132287000|316996000|608453000|224014000|DLR
2019-12-31|USD|787463000|787463000|325396000|296702000|138933000|54670000||648530000||-80880000|10734000|80880000|267651000|10734000||275008000|334553000|-1731000|80880000|787463000|316940000|415433000|690441000|336284000|DLR
2019-09-30|USD|469763000|806466000|336703000|297686000|164767000|49985000||641699000||-84574000|16842000|84574000|-5366000|16842000||286718000|71323000|4826000|89940000|157514000|87484000|155897000|442615000|66497000|DLR
2019-06-30|USD|457252000|800797000|343545000|293514000|148972000|52983000||651825000||-86051000|16980000|86051000|-20905000|16980000||290562000|64802000|4634000|106956000|168280000|62303000|150853000|441415000|60168000|DLR
2019-03-31|USD|444648000|814515000|369867000|292269000|141543000|53459000||672972000||-101552000|70891000|101552000|54611000|21444000||311486000|121078000|4266000|114438000|167938000|140759000|222630000|534116000|116812000|DLR
