fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|565854000|1443914000|878060000|878060000|273652000|292202000||319927000|4725000|-55852000|4725000|60577000|-1026000|||26758000|220993000|51549000|6490000|169444000|166889000|281570000|308328000|169444000|DPZ
2024-09-08|USD|423747000|1080119000|656372000|656372000|198831000|224916000||245846000|4339000|||44726000|-174000|||20756000|184616000|37692000|943000|146924000|147522000|229342000|250098000|146924000|DPZ
2024-06-16|USD|437031000|1097736000|660705000|660705000|196103000|240903000||261514000|4219000|||44721000|-262000|||20349000|166999000|25021000|973000|141978000|141495000|211720000|232069000|141978000|DPZ
2024-03-31|USD|421870000|1084647000|662777000|662777000|210413000|211324000||231408000|3739000|-45846000|3739000|45846000|-223000|||19869000|149607000|23783000|45846000|125824000|124699000|195453000|215322000|125824000|DPZ
2023-12-31|USD|539045000|1402972000|863927000|863927000|257201000|281844000||308367000|4048000|-60200000|4048000|60200000|-752000|||25641000|205495000|48203000|60200000|157292000|158522000|265695000|291336000|157292000|DPZ
2023-09-10|USD|398169000|1027361000|629192000|629192000|189432000|208737000||227150000|2707000|-44796000||44796000|-145000|||18268000|175574000|27898000|44796000|147676000|146346000|220370000|238638000|147676000|DPZ
2023-06-18|USD|404656000|1024627000|619971000|619971000|195403000|209253000||227941000|2537000|-44932000||44932000|-127000|||18561000|138044000|28664000|44932000|109380000|110758000|182976000|201537000|109380000|DPZ
2023-03-31|USD|385547000|1024398000|638851000|638851000|177483000|207915000||227081000|2391000|-46547000|44156000|46547000|-424000|2391000||18170000|133327000|28557000|46547000|104770000|104319000|179874000|198044000|104770000|DPZ
2022-12-31|USD|511867000|1392231000|880364000|880364000|248818000|284222000||287438000|2061000|-61094000|2061000|61094000|19835000|2061000||24225000|189785000|31483000|61094000|158302000|157451000|250879000|275104000|158302000|DPZ
2022-09-11|USD|381850000|1068596000|686746000|686746000|176452000|205398000||224358000|833000|-45437000||45437000|-27000|||18933000|131848000|31344000|45437000|100504000|100551000|177285000|196218000|100504000|DPZ
2022-06-19|USD|386265000|1065182000|678917000|678917000|178114000|208151000||226521000|219000|-44851000||44851000|-253000|||18117000|133482000|30989000|44851000|102493000|100809000|178333000|196450000|102493000|DPZ
2022-03-31|USD|368624000|1011149000|642525000|642525000|164541000|204083000||224716000|49000|-46872000|49000|46872000|-195000|49000||18976000|117718000|26754000|46872000|90964000|91578000|164590000|183566000|90964000|DPZ
2021-12-31|USD|506201000|1343213000|837012000|837012000|222688000|283513000||307040000|207000|-60984000|207000|60984000|-696000|207000||22704000|196169000|40484000|60984000|155685000|155277000|257153000|279857000|155685000|DPZ
2021-09-12|USD|385200000|997990000|612790000|612790000|180280000|204920000||221535000|48000|-45523000||45523000|-37000|||16578000|134805000|14403000|45523000|120402000|119998000|180328000|196906000|120402000|DPZ
2021-06-20|USD|407690000|1032472000|624782000|624782000|190902000|216788000||234259000|68000|-45877000|68000|45877000|-295000|68000||17176000|145093000|28474000|45877000|116619000|116849000|190970000|208146000|116619000|DPZ
2021-03-31|USD|389151000|983698000|594547000|594547000|186538000|202613000||219419000|22000|-39422000|22000|39422000|-161000|22000||16465000|149638000|31877000|39422000|117761000|117947000|189060000|205525000|117761000|DPZ
2020-12-31|USD|535264000|1356567000|821303000|821303000|244044000|291220000||314132000|-115000|-54364000|115000|54364000|-1392000|-115000||20922000|189565000|37668000|54364000|151897000|152895000|243929000|264851000|151897000|DPZ
2020-09-06|USD|361981000|967719000|605738000|605738000|162181000|199800000||216113000|197000|-38605000||38605000|-986000|||15327000|123773000|24644000|38605000|99129000|100242000|162378000|177705000|99129000|DPZ
