fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|-633000000|121000000|754000000|-4460000000|555000000|123000000||754000000|34000000|-214000000|34000000|248000000|133000000|-19000000||423000000|322000000|30000000|248000000|292000000|308000000|555000000|993000000|292000000|DTE
2024-09-30|USD|22000000|141000000|119000000|1832000000|517000000|119000000||119000000|48000000|-204000000|48000000|252000000|112000000|43000000||438000000|356000000|-121000000|252000000|477000000|465000000|517000000|1046000000|477000000|DTE
2024-06-30|USD|20000000|143000000|123000000|2229000000|502000000|123000000||123000000|36000000|-197000000|36000000|233000000|122000000|53000000||436000000|358000000|36000000|233000000|322000000|334000000|502000000|938000000|322000000|DTE
2024-03-31|USD|-338000000|2000000|122000000|2661000000|517000000|122000000||122000000|18000000|-218000000|18000000|218000000|-20000000|17000000||435000000|334000000|21000000|218000000|313000000|338000000|552000000|951000000|313000000|DTE
2023-12-31|USD|-721000000|144000000|684000000|2178000000|656000000|112000000||684000000|12000000|-208000000|12000000|208000000|149000000|22000000||437000000|482000000|63000000|208000000|419000000|396000000|690000000|1087000000|419000000|DTE
2023-09-30|USD|-212000000|103000000|115000000|1844000000|538000000|114000000||114000000|15000000|-200000000|182000000|200000000|78000000|2000000||416000000|354000000|22000000|200000000|332000000|345000000|554000000|938000000|332000000|DTE
2023-06-30|USD|-241000000|70000000|119000000|1775000000|397000000|114000000||114000000|13000000|-192000000|13000000|192000000|53000000|22000000||122085|235000000|34000000|192000000|201000000|209000000|427000000|843000000|201000000|DTE
2023-03-31|USD|-191000000|125000000|125000000|2621000000|652000000|122000000||122000000|17000000|-191000000|170000000|191000000|103000000|20000000||41584|495000000|50000000|191000000|445000000|442000000|686000000|1061000000|445000000|DTE
2022-12-31|USD|-786000000|4476000000|631000000|3532000000|462000000|108000000||619000000|20000000|-189000000|20000000|189000000|8000000|13000000||54880|294000000|29000000|189000000|265000000|301000000|483000000|874000000|265000000|DTE
2022-09-30|USD|-128000000|5251000000|106000000|4225000000|545000000|111000000||111000000|10000000|-171000000|161000000|171000000|119000000|4000000||27081|393000000|6000000|171000000|387000000|393000000|564000000|943000000|387000000|DTE
2022-06-30|USD|-309000000|4924000000|110000000|4265000000|183000000|115000000||115000000|8000000|-161000000|8000000|161000000|-63000000|-20000000||86065|15000000|-22000000|161000000|37000000|42000000|176000000|542000000|37000000|DTE
2022-03-31|USD|-459000000|4577000000|140000000|3538000000|558000000|123000000||123000000|8000000|-154000000|8000000|154000000|-170000000|-5000000||60459|410000000|16000000|154000000|394000000|397000000|564000000|914000000|394000000|DTE
