fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|593800000|994200000|706800000|400400000|152000000|306400000|135400000|441800000|32000000|27300000|32000000|3700000|994200000|25400000||55300000|177400000|42800000|4700000|134600000|236000000|152000000|237400000|134600000|DXCM
2024-06-30|USD|626700000|1004300000|710300000|377600000|158000000|332700000|136000000|468700000|36200000|31400000|36200000|3800000|1004300000|29800000||52100000|187800000|44300000|4800000|143500000|142800000|158000000|244700000|143500000|DXCM
2024-03-31|USD|561900000|916400000|678400000|359100000|101100000|319300000|141500000|460800000|36300000|-4600000|36300000|4600000|921000000|31400000||52500000|132500000|-13900000|4600000|146400000|125800000|137100000|189600000|146400000|DXCM
2023-12-31|USD|656600000|1030800000|696100000|377900000|216900000|308800000|136100000|439700000|33800000|-4900000|33800000|4900000|1035700000|30300000||9400000|246200000|-10100000|4900000|256300000|275200000|251100000|260500000|256300000|DXCM
2023-09-30|USD|623300000|970100000|638100000|351700000|205500000|286400000|131400000|417800000|41500000|-4900000|41500000|4900000|975000000|34900000||1700000|240400000|119700000|4900000|120700000|114400000|245300000|247000000|120700000|DXCM
2023-06-30|USD|546400000|865400000|623900000|324900000|128100000|299000000|119300000|418300000|37400000|-5900000|37100000|5900000|871300000|31200000||1700000|159300000|43400000|5900000|115900000|93100000|165200000|166900000|115900000|DXCM
2023-03-31|USD|462600000|736900000|575300000|278900000|47200000|296400000|119000000|415400000|22300000|-4600000|21900000|4600000|741500000|17300000||1800000|64500000|15900000|4600000|48600000|53700000|69100000|70900000|48600000|DXCM
2022-12-31|USD|541300000|808300000|608400000|273900000|125400000|297800000|116300000|415900000|13400000|-4700000|12500000|4700000|813000000|26400000||7400000|133200000|41400000|4700000|91800000|121300000|137900000|145300000|91800000|DXCM
2022-09-30|USD|494200000|765000000|511800000|275400000|147500000|234600000|110300000|346700000|5700000|-4600000|3300000|4600000|769600000|-1300000||1800000|146200000|45000000|4600000|101200000|83100000|150800000|152600000|101200000|DXCM
2022-06-30|USD|449500000|691500000|497500000|246700000|77000000|248900000|121700000|372500000||-4700000|3000000|4700000|696200000|3000000||1900000|75300000|24400000|4700000|50900000|34000000|80000000|81900000|50900000|DXCM
2022-03-31|USD|398100000|624400000|451600000|230700000|41300000|218900000|135900000|356800000||-4600000||4600000|629000000|-800000||2000000|36100000|-61200000|4600000|97300000|90700000|40700000|42700000|97300000|DXCM
2021-12-31|USD|472600000|659400000|464800000|225600000|600000|233700000|149800000|472000000||-25200000|-20500000|4700000|684600000|-1000000||1800000|6400000|11700000|25900000|-19400000|-6200000|11100000|12900000|-5300000|DXCM
2021-09-30|USD|446900000|624300000|403100000|203300000|118300000|198500000|128800000|328600000||-25100000|-20500000|4600000|649400000|-1700000||1300000|112000000|24700000|25900000|70900000|85900000|116600000|117900000|87300000|DXCM
2021-06-30|USD|417100000|569900000|365000000|178000000|101000000|186500000|129100000|316100000||-25200000|-20400000|4800000|595100000|900000||500000|97100000|18700000|25200000|62900000|78300000|101900000|102400000|78400000|DXCM
2021-03-31|USD|343900000|480200000|349700000|161100000|45900000|188600000|109400000|298000000||-24800000|-20100000|4700000|505000000|100000||500000|41300000|-15200000|24800000|40300000|56200000|46000000|46500000|56500000|DXCM
2020-12-31|USD|399100000|532100000|347700000|169800000|104000000|173400000|119200000|295100000||-24600000|-67000000|-42400000|556700000|1900000||20400000|154200000|-257100000|24600000|355200000|411700000|111800000|126300000|411300000|DXCM
2020-09-30|USD|340400000|476000000|319100000|160500000|94100000|158600000|87700000|246300000||-24400000|5900000|24400000|500400000|5900000||18400000|75100000|2900000|24900000|72200000|71500000|99500000|118400000|72200000|DXCM
2020-06-30|USD|284100000|426100000|304100000|167700000|67800000|136400000|79900000|216300000||-20300000|4100000|20300000|446400000|4100000||15300000|46200000|-100000|25700000|46300000|46100000|66500000|71900000|46300000|DXCM
2020-03-31|USD|256500000|389700000|298400000|148600000|33600000|149800000|73100000|222900000||-15400000|4200000|15400000|405100000|4200000||13000000|22400000|2500000|15400000|19900000|21300000|37800000|50800000|19900000|DXCM
2019-12-31|USD|309300000|462800000|290800000|153500000|101500000|129000000|78800000|207800000||-15300000|8100000|15300000|462800000|8100000||300000|94300000|1600000|15300000|101500000|94000000|109600000|109900000|92700000|DXCM
2019-09-30|USD|246900000|381200000|273900000|149400000|56000000|124200000|66700000|190900000||-15100000|4900000|15100000|396300000|4900000||300000|45800000|0|15100000|45800000|44800000|60900000|61200000|45800000|DXCM
2019-06-30|USD|206500000|321400000|268400000|129900000|-800000|138300000|69000000|207300000||-15000000|6500000|15000000|336400000|6500000||200000|-9300000|1200000|15000000|-10500000|-10100000|5700000|5900000|-10500000|DXCM
2019-03-31|USD|168800000|261400000|235900000|111700000|-14400000|124200000|59000000|183200000|6900000|-14900000|6900000|14900000|276300000|6900000||300000|-26600000|300000|14900000|-26900000|-26800000|-11700000|-11400000|-26900000|DXCM
