fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|1427000000|1883000000|456000000|456000000|377000000|427000000|606000000|1050000000||28000000|43000000|14000000||28000000|51000000|16000000|405000000|112000000|15000000|293000000|345000000|377000000|435000000|293000000|EA
2024-09-30|USD|1569000000|2025000000|456000000|456000000|384000000|469000000|648000000|1185000000||-14000000||14000000||15000000|51000000|17000000|399000000|105000000|14000000|294000000|239000000|413000000|430000000|294000000|EA
2024-06-30|USD|1397000000|1660000000|263000000|280000000|364000000|385000000|629000000|1033000000||-15000000||15000000||30000000|51000000|17000000|394000000|114000000|15000000|280000000|292000000|409000000|426000000|280000000|EA
2024-03-31|USD|1422000000|1779000000|357000000|400000000|234000000|419000000|638000000|1188000000||-14000000|37000000|14000000||26000000|50000000|72000000|260000000|78000000|14000000|182000000|194000000|274000000|346000000|182000000|EA
2023-12-31|USD|1416000000|1945000000|529000000|529000000|365000000|446000000|584000000|1051000000||-15000000|32000000|15000000||17000000|48000000|21000000|382000000|92000000|15000000|290000000|240000000|397000000|418000000|290000000|EA
2023-09-30|USD|1458000000|1914000000|456000000|456000000|377000000|453000000|602000000|1081000000||-14000000||14000000||14000000|49000000|24000000|391000000|-8000000|14000000|399000000|440000000|405000000|429000000|399000000|EA
2023-06-30|USD|1556000000|1924000000|368000000|368000000|542000000|392000000|596000000|1014000000||-15000000||15000000||14000000|49000000|25000000|556000000|154000000|15000000|402000000|394000000|571000000|596000000|402000000|EA
2023-03-31|USD|1426000000|1874000000|448000000|448000000|175000000|479000000|635000000|1251000000||-15000000||15000000||6000000|58000000|26000000|181000000|193000000|15000000|-12000000|-42000000|196000000|222000000|-12000000|EA
2022-12-31|USD|1313000000|1881000000|568000000|568000000|289000000|418000000|556000000|1024000000||-14000000|7000000|14000000||-7000000|46000000|50000000|282000000|78000000|14000000|204000000|30000000|296000000|346000000|204000000|EA
2022-09-30|USD|1442000000|1904000000|462000000|462000000|427000000|407000000|565000000|1015000000||-15000000||15000000||0|45000000|43000000|427000000|128000000|15000000|299000000|365000000|442000000|485000000|299000000|EA
2022-06-30|USD|1453000000|1767000000|314000000|314000000|441000000|401000000|572000000|1012000000||-14000000||14000000||-5000000|44000000|39000000|436000000|125000000|14000000|311000000|367000000|450000000|489000000|311000000|EA
2022-03-31|USD|1406000000|1825000000|419000000|419000000|365000000|410000000|579000000|1041000000||-15000000||15000000||-9000000|42000000|52000000|356000000|131000000|15000000|225000000|367000000|371000000|423000000|225000000|EA
2021-12-31|USD|1158000000|1789000000|631000000|631000000|102000000|456000000|539000000|1056000000||-14000000||14000000||-11000000|41000000|61000000|91000000|25000000|14000000|66000000|367000000|105000000|166000000|66000000|EA
2021-09-30|USD|1332000000|1826000000|494000000|494000000|340000000|409000000|553000000|992000000||-15000000||15000000||-14000000|39000000|30000000|326000000|32000000|15000000|294000000|327000000|341000000|371000000|294000000|EA
2021-06-30|USD|1236000000|1551000000|315000000|315000000|322000000|359000000|515000000|914000000||-14000000||14000000||-14000000|40000000|40000000|308000000|104000000|14000000|204000000|219000000|322000000|362000000|204000000|EA
