fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|205500000|1441800000|1236300000|645200000|247100000|380400000||594100000||-56300000||56300000|1441800000|3000000||169100000|192400000|51100000|56300000|142700000|220100000|247100000|416200000|141300000|EFX
2024-06-30|USD|282200000|1430500000|1148300000|630900000|282200000|352600000||521800000||-57300000||57300000|1430500000|-300000||164800000|223300000|59400000|57300000|165200000|134700000|282200000|447000000|163900000|EFX
2024-03-31|USD|165000000|1329700000|1164700000|627700000|224700000|372600000||541700000||-59700000||59700000|1389400000|1600000||164400000|165400000|40500000|59700000|126100000|26100000|225100000|389500000|124900000|EFX
2023-12-31|USD|143600000|1262600000|1119000000|581600000|245100000|343400000||540000000||-60300000||60300000|1322900000|-2000000||156400000|180700000|48300000|60300000|134500000|267100000|241000000|397400000|132400000|EFX
2023-09-30|USD|183600000|1256300000|1072700000|585200000|246400000|333100000||491100000||-62800000|62800000|62800000|1319100000|7100000||154400000|188600000|26400000|62800000|164300000|41600000|251400000|405800000|162200000|EFX
2023-06-30|USD|176200000|1256900000|1080700000|588000000|236900000|343100000||494400000||-60700000|60700000|60700000|1317600000|15900000||149600000|191000000|52700000|60700000|139400000|153300000|251700000|401300000|138300000|EFX
2023-03-31|USD|147800000|1244400000|1096600000|580400000|205400000|366100000||519800000||-57600000|57600000|57600000|1302000000|4400000||150100000|151100000|38700000|57600000|113500000|125300000|208700000|358800000|112400000|EFX
2022-12-31|USD|119700000|1141600000|1021900000|539200000|176000000|340400000||486800000||-54500000|54600000|54500000|1196100000|19900000||142300000|140500000|32300000|54500000|109100000|230700000|195000000|337300000|108200000|EFX
2022-09-30|USD|195800000|1197200000|1001400000|542500000|242900000|318000000||460300000||-47100000|47100000|47100000|1244300000|23900000||140900000|218500000|52800000|47100000|166900000|-16600000|265600000|406500000|165700000|EFX
2022-06-30|USD|263000000|1275100000|1012100000|542100000|304600000|330200000||471800000||-41600000|41600000|41600000|1316700000|1800000||139800000|264000000|63400000|41600000|201400000|4000000|305600000|445400000|200600000|EFX
