fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|1412500000|1811400000|398900000|785000000|627500000|116600000||398900000||-143900000||143900000|1779300000|3100000||282300000|485600000|20000000|143900000|468600000|466900000|629500000|911800000|465600000|EVRG
2024-06-30|USD|1054800000|1447500000|392700000|976800000|358100000|112600000||392700000||-143600000||143600000|1403200000|-1600000||280100000|214400000|7400000|143600000|210100000|208400000|358000000|638100000|207000000|EVRG
2024-03-31|USD|940800000|1331000000|390200000|680600000|260200000|114100000||389100000||-133200000||133200000|1274600000|-1000000||276100000|130000000|7300000|133200000|125800000|124000000|263200000|539300000|122700000|EVRG
2023-12-31|USD|740300000|1187900000|447600000|906600000|180600000|118400000||455600000||-132200000||132200000|1160300000|-13500000||270400000|41600000|-16400000|132200000|61100000|58900000|173800000|444200000|58000000|EVRG
2023-09-30|USD|1292900000|1669300000|376400000|807000000|485900000|103100000||376400000||-136800000||136800000|1634200000|6500000||273300000|360400000|8800000|136800000|354600000|353000000|497200000|770500000|351600000|EVRG
2023-06-30|USD|984400000|1354200000|369800000|647800000|336600000|100400000||369800000||-133700000||133700000|1311700000|-18400000||269400000|189900000|10800000|133700000|182200000|180400000|323600000|593000000|179100000|EVRG
2023-03-31|USD|931000000|1296800000|365800000|651700000|279300000|102400000||362500000||-123100000||123100000|1261800000|-9100000||263400000|155000000|12400000|123100000|145700000|143900000|278100000|541500000|142600000|EVRG
2022-12-31|USD|892200000|1279600000|387400000|820200000|100200000|114000000||398600000||-110600000||110600000|1313000000|-23200000||235100000|-28100000|-35600000|110600000|10600000|12800000|82500000|317600000|7500000|EVRG
2022-09-30|USD|1569200000|1909100000|339900000|990800000|578400000|100700000||339900000||-102300000||102300000|1846700000|-10500000||233200000|477700000|49500000|102300000|431200000|429600000|580000000|813200000|428200000|EVRG
2022-06-30|USD|1114100000|1446500000|332400000|778600000|335500000|100300000||332400000||-99300000||99300000|1346700000|-17000000||232100000|216600000|22100000|99300000|197600000|195900000|315900000|548000000|194500000|EVRG
2022-03-31|USD|893000000|1223900000|330900000|639900000|253100000|101900000||326800000||-91800000||91800000|1167400000|-16700000||229000000|134000000|11500000|91800000|125600000|123900000|225800000|454800000|122500000|EVRG
2021-12-31|USD|744700000|1122100000|377400000|662500000|141200000|107100000||397800000||-91200000||91200000|1078500000|-19100000||226900000|71000000|17600000|91200000|56500000|54700000|162200000|389100000|53400000|EVRG
2021-09-30|USD|1295300000|1616500000|321200000|694600000|600700000|96200000||321200000||-93600000||93600000|1580100000|-8200000||225000000|506600000|57200000|93600000|452500000|450700000|600200000|825200000|449400000|EVRG
2021-06-30|USD|913100000|1236200000|323100000|617800000|295300000|97900000||323100000||-93800000||93800000|1208100000|-4100000||225200000|204900000|19600000|93800000|188300000|186700000|298700000|523900000|185300000|EVRG
2021-03-31|USD|1297700000|1611900000|314200000|980000000|317700000|94900000||319000000||-94000000||94000000|1462400000|-9700000||219300000|214600000|23000000|94000000|194600000|193000000|308600000|527900000|191600000|EVRG
2020-12-31|USD|1094400000|1094400000|335700000|629400000|153000000|105500000||345100000||-93400000||93400000|1066100000|-6200000||222000000|59400000|8400000|93400000|153000000|50000000|152800000|374800000|51000000|EVRG
2020-09-30|USD|1208600000|1517600000|309000000|686900000|521700000|91000000||309000000||-94800000||94800000|1483500000|-13000000||218000000|414500000|50000000|94800000|367500000|365900000|509300000|727300000|364500000|EVRG
2020-06-30|USD|872200000|1184700000|312500000|600500000|271700000|90900000||312500000||-99500000||99500000|1146100000|-7300000||221600000|167100000|33700000|99500000|136300000|132300000|266600000|488200000|133400000|EVRG
2020-03-31|USD|805900000|1116700000|310800000|608400000|197500000|92300000||313500000||-96200000|97000000|96200000|1085900000|-20400000||218500000|79500000|10100000|96200000|72200000|70700000|175700000|394200000|69400000|EVRG
2019-12-31|USD|1131600000|1131600000|348300000|660100000|165800000|104600000||348300000||-96700000|93300000|96700000|1073800000|-9900000||216600000|61700000|-2200000|96700000|165800000|64600000|158400000|375000000|63900000|EVRG
2019-09-30|USD|1270000000|1577600000|307600000|731300000|538700000|91500000||307600000||-90800000|89000000|90800000|1566300000|-16900000||216100000|432300000|65500000|90800000|370900000|345100000|523100000|739200000|366800000|EVRG
2019-06-30|USD|914700000|1221700000|307000000|643000000|271700000|91600000||307000000||-95400000|92800000|95400000|1194400000|-12000000||215400000|164100000|24400000|95400000|144600000|123900000|259500000|474900000|139700000|EVRG
2019-03-31|USD|910000000|1216900000|306900000|700400000|209600000|93300000||306900000||-91100000|87900000|91100000|1185100000|-11200000||213600000|108800000|9300000|91100000|103400000|89300000|199900000|413500000|99500000|EVRG
2018-12-31|USD|1199800000|1199800000|140400000|756900000|150100000|114800000||334800000||-88300000||88300000|1172600000|-13300000||207200000|49200000|30700000|88300000|150100000|15500000|137500000|344700000|18500000|EVRG
2018-09-30|USD|2720800000|1582500000|339600000|58400000|533100000|87300000||281200000||-89100000||89100000|1567000000|-29200000||193900000|419100000|64100000|89100000|357600000|355000000|508200000|702100000|355000000|EVRG
2018-06-30|USD|562700000|893400000|272300000|68400000|126900000|75900000||203900000||-58400000||58400000|883100000|-12100000||128000000|56800000|-45000000|58400000|104400000|101800000|115200000|243200000|101800000|EVRG
2018-03-31|USD|257110000|600200000|343094000|343094000|123500000|9900000||133580000||||43800000||||89600000|69700000|9200000||62904000|60500000|113500000|203100000|60500000|EVRG
2017-12-31|USD|320117000|594800000|274664000|274664000|122300000|180937000||202835000||||42800000||||94400000|72400000|38600000||175828000||115200000|209600000|33800000|EVRG
2017-09-30|USD|462089000|794300000|332238000|332238000|264900000|551000||202113000||||43400000||||94600000|214100000|55800000||84685000||257500000|352100000|158300000|EVRG
2017-06-30|USD|348610000|609300000|260711000|260711000|160200000|57279000||193498000||||43700000||||94000000|108000000|35900000||76039000||151700000|245700000|72100000|EVRG
2017-03-31|USD|316847000|572600000|255727000|255727000|131400000|||190498000||||41095000||||96694000|84393000|20911000||||131400000|219027000|59700000|EVRG
