fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|615769000|824804000|209035000|226545000|302739000|39750000||39750000|34947000|-118913000|34947000|11005000|113930000|||195046000|204067000|10857000|11005000|189215000|169309000|302739000|410118000|193210000|EXR
2024-06-30|USD|613761000|810663000|196902000|411342000|304761000|39901000||39901000|31226000|-116760000|31226000|10853000|113563000|||194809000|195716000|9844000|10853000|195412000|184922000|304761000|401378000|185872000|EXR
2024-03-31|USD|595021000|799539000|204518000|419989000|335828000|43722000||240688000|23573000|-132887000|23573000|132887000|111495000|||196966000|219854000|6742000|132887000|224074000|223868000|352741000|549707000|213112000|EXR
2023-12-31|USD|602735000|797774000|195039000|16233000|333468000|72192000||332099000|22250000|-129665000|22250000|129665000|100792000|||259907000|220455000|4321000|129665000|227407000|188657000|350120000|610027000|216134000|EXR
2023-09-30|USD|562840000|748034000|185194000|15043000|299792000|37406000||37406000|22092000|-122899000|22092000|122899000|97147000|||152338000|195294000|6944000|122899000|198856000|186197000|318193000|470531000|188350000|EXR
2023-06-30|USD|396749000|511386000|114637000|124119000|273339000|34842000||34842000|21077000|-86372000|21077000|86372000|70639000|34331000||79086000|208396000|5986000|86372000|215312000|214394000|294768000|373854000|202410000|EXR
2023-03-31|USD|385884000|503050000|117166000|126255000|263542000|34763000||113253000|19438000|-80099000|19438000|80099000|69088000|29743000||78490000|200612000|4308000|80099000|208878000|182587000|280711000|359201000|196304000|EXR
2022-12-31|USD|393747000|506718000|112971000|121182000|269570000|55248000||152983000|17248000|142231000|215153000|72922000|68622000|||97652000|209669000|5409000|-142231000|178051000|204537000|269570000|165090000|204260000|EXR
2022-09-30|USD|384325000|498902000|114577000|125347000|269857000|32275000||32275000|18125000|-56245000|18125000|56245000|70115000|29274000||71423000|227479000|6760000|56245000|236126000|243685000|283724000|355147000|220719000|EXR
2022-06-30|USD|370736000|474988000|104252000|111789000|275665000|31251000||32716000|15060000|-47466000|15060000|47466000|66944000|25250000||69067000|237745000|5615000|47466000|247834000|251228000|285211000|354278000|232130000|EXR
