fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|2113000000|6790000000|4677000000|4677000000|1938000000|117000000||306000000||-72000000|101000000|173000000|6680000000|97000000||600000000|1263000000|737000000|173000000|1236000000|527000000|1938000000|2635000000|526000000|FCX
2024-06-30|USD|2240000000|6624000000|4384000000|4384000000|2049000000|123000000||284000000||-88000000|93000000|181000000|6398000000|69000000||509000000|1370000000|754000000|181000000|1280000000|616000000|2049000000|2627000000|616000000|FCX
2024-03-31|USD|1882000000|6321000000|4439000000|4439000000|1634000000|144000000||368000000||-89000000|86000000|175000000|6211000000|129000000||595000000|985000000|512000000|175000000|1162000000|473000000|1634000000|2358000000|473000000|FCX
2023-12-31|USD|1956000000|5905000000|3949000000|3956000000|1722000000|120000000||488000000||-97000000||176000000|5816000000|103000000||589000000|1112000000|724000000|-606000000|-896000000|431000000|1722000000|2208000000|388000000|FCX
2023-09-30|USD|1738000000|5824000000|4086000000|4081000000|1492000000|118000000||326000000||-96000000|69000000|165000000|5869000000|71000000||533000000|962000000|508000000|160000000|964000000|455000000|1492000000|2096000000|454000000|FCX
2023-06-30|USD|1641000000|5737000000|4096000000|4095000000|1410000000|115000000||325000000||-171000000|63000000|234000000|5932000000|24000000||571000000|882000000|539000000|229000000|731000000|344000000|1410000000|1981000000|343000000|FCX
2023-03-31|USD|1825000000|5389000000|3564000000|3564000000|1601000000|126000000||284000000||-151000000|56000000|207000000|5116000000|88000000||487000000|1162000000|499000000|207000000|1049000000|664000000|1601000000|2088000000|663000000|FCX
2022-12-31|USD|1735000000|5758000000|4023000000|4037000000|1530000000|107000000||416000000||-137000000|137000000|137000000|5442000000|140000000||655000000|1254000000|557000000|-527000000|-34000000|762000000|1530000000|2185000000|697000000|FCX
2022-09-30|USD|1104000000|5003000000|3899000000|3874000000|962000000|98000000||225000000||-140000000|42000000|182000000|5329000000|25000000||533000000|719000000|315000000|162000000|560000000|405000000|962000000|1495000000|404000000|FCX
2022-06-30|USD|1888000000|5416000000|3528000000|3510000000|1736000000|100000000||263000000||-156000000|33000000|189000000|6177000000|11000000||516000000|1411000000|571000000|181000000|1038000000|841000000|1736000000|2252000000|840000000|FCX
