fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|625979000|771289000|430889000|140510000|205082000|279058000|130518000|420897000|||||766489000|3962000||22666000|209044000|42599000||166445000|163158000|205082000|239069000|166445000|FFIV
2024-09-30|USD|602954000|745274000|456098000|143720000|191025000|287978000|123951000|411929000|||||746674000|12489000||22929000|203514000|38218000||165296000|166641000|191025000|213954000|165296000|FFIV
2024-06-30|USD|559070000|695495000|408018000|136425000|163090000|271500000|124387000|395980000|||||695495000|8529000||35478000|171619000|27540000||144079000|142856000|163090000|198661000|144079000|FFIV
2024-03-31|USD|540241000|681354000|419187000|141113000|139960000|277984000|122207000|400281000|||||681354000|5974000||28018000|145934000|26913000||119021000|118655000|139960000|168068000|119021000|FFIV
2023-12-31|USD|556208000|705397000|408506000|136389000|164516000|263645000|119575000|391692000|||||692597000|9882000||38380000|174398000|36016000||138382000|140935000|164516000|212778000|138382000|FFIV
2023-09-30|USD|566010000|705474000|436499000|140964000|171741000|266435000|127834000|394269000||||7439000|706974000|3085000||38727000|174826000|22692000||152134000|150849000|171741000|201270000|152134000|FFIV
2023-06-30|USD|560959000|702642000|470308000|141683000|103569000|271977000|128765000|457390000|||||702642000|2896000||28356000|106465000|17489000||88976000|90017000|103569000|131925000|88976000|FFIV
2023-03-31|USD|547521000|703175000|455766000|155654000|106046000|300112000|141363000|441475000||||2737000|703175000|2737000||27345000|108783000|27347000||81436000|81678000|106046000|133391000|81436000|FFIV
2022-12-31|USD|545371000|719478000|466843000|155007000|91212000|303096000|142323000|454159000||||4702000|700378000|4702000||44952000|95914000|23512000||72402000|75359000|91212000|136164000|72402000|FFIV
2022-09-30|USD|552571000|707333000|490381000|147462000|107530000|306519000|138522000|445041000||||7813000|700033000|-7813000||27211000|99717000|10371000||89346000|87796000|107530000|137172000|89346000|FFIV
2022-06-30|USD|543755000|674488000|428287000|130733000|107464000|297554000|138737000|436291000||||6221000|674488000|-6221000||28600000|101243000|18224000||83019000|81021000|107464000|136064000|83019000|FFIV
2022-03-31|USD|507865000|634224000|423739000|126359000|74647000|297380000|135838000|433218000||||1934000|634224000|-1934000||29538000|72713000|16477000||56236000|54823000|74647000|143689000|56236000|FFIV
2021-12-31|USD|552027000|704600000|448853000|135073000|114151000|299696000|130271000|437876000|300000||||687100000|-2431000||30260000|111720000|18161000||93559000|92417000|114151000|160229000|93559000|FFIV
2021-09-30|USD|553319000|688297000|479633000|128678000|126364000|302255000|124700000|426955000|400000||||681997000|-2865000||30439000|123499000|12781000||110718000|109580000|126364000|156803000|110718000|FFIV
2021-06-30|USD|530611000|651515000|421820000|120904000|96412000|300916000|133283000|434199000|300000||||651515000|-2163000||28800000|94249000|4645000||89604000|89863000|96412000|82301000|89604000|FFIV
2021-03-31|USD|516702000|645287000|485158000|128585000|53501000|322748000|140453000|463201000|700000||||645287000|-1377000||28525000|52124000|8883000||43241000|41902000|53501000|146273000|43241000|FFIV
2020-12-31|USD|509638000|633717000|399551000|114979000|117748000|277699000|114191000|391890000|1100000||||624617000|-683000||27660000|117065000|29387000||87678000|88539000|117748000|145408000|87678000|FFIV
2020-09-30|USD|502849000|614816000|395903000|111967000|98613000|283936000|120300000|404236000|1100000||||614816000|-1090000||26520000|97523000|19860000||77663000|77663000|98613000|125133000|77663000|FFIV
2020-06-30|USD|477212000|583252000|379640000|106040000|87621000|273600000|115991000|389591000|2200000||||583252000|141000||26225000|87762000|17890000||69872000|74280000|87621000|109923000|69872000|FFIV
2020-03-31|USD|482211000|583449000|390723000|101238000|83698000|289485000|109028000|398513000|3300000||||583449000|-141000||24133000|83557000|22178000||61379000|56852000|83698000|146468000|61379000|FFIV
2019-12-31|USD|480663000|574905000|350965000|88642000|122335000|254523000|96005000|358328000|5600000||||569305000|5220000||18979000|127555000|29028000||98527000|99341000|122335000|156914000|98527000|FFIV
2019-09-30|USD|499470000|590388000|372862000|90918000|114714000|281944000|102812000|384756000|5100000||||590388000|3397000||21862000|118111000|23274000||94837000|94837000|114714000|136576000|94837000|FFIV
2019-06-30|USD|472627000|563394000|343760000|90767000|102740000|252993000|116894000|369887000|5800000||||563394000|4722000||18399000|107462000|21557000||85905000|87053000|102740000|161192000|85905000|FFIV
2019-03-31|USD|456717000|544895000|305788000|88178000|142793000|217610000|96314000|313924000|7500000||||544895000|7434000||14245000|150227000|34140000||116087000|118739000|142793000|172461000|116087000|FFIV
2018-12-31|USD|457056000|543770000|293516000|86714000|158216000|206802000|92038000|298840000|7000000||||543770000|7095000||14001000|165311000|34406000||130905000|131090000|158216000|172217000|130905000|FFIV
2018-09-30|USD|469269000|562709000|314039000|93440000|153592000|202173000|95078000|315677000|||||562709000|5667000||15410000|159259000|26378000||132881000|132881000|153592000|205854000|132881000|FFIV
2018-06-30|USD|451194000|542203000|296189000|91009000|151953000|205180000|94061000|299241000|||||542203000|2259000||14032000|154212000|31469000||122743000|121739000|151953000|157389000|122743000|FFIV
2018-03-31|USD|443659000|533304000|298891000|89645000|143357000|209246000|91056000|300302000|||||533304000|2790000||14869000|146147000|36511000||109636000|108134000|143357000|156866000|109636000|FFIV
2017-12-31|USD|435804000|523191000|295305000|87387000|141997000|207918000|85889000|293807000|||||523191000|2145000||15180000|144142000|55713000||88429000|86949000|141997000|157177000|88429000|FFIV
2017-09-30|USD|447457000|537998000|303159000|90541000|148835000|199900000|85479000|298622000||||||5027000||15545000|153862000|18119000||135743000|135743000|148835000|164514000|135743000|FFIV
