fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|1079925000|1791233000|1078393000|742636000|516081000|305091000|258753000|563844000||30377000|30377000||1791233000|5863000|38151000||516138000|80405000||435733000|339190000|516081000|516082000|435733000|GRMN
2024-09-30|USD|951599000|1604153000|899385000|634423000|437475000|264962000|249162000|514124000||28830000|28830000||1604153000|1814000|34453000|44255000|486250000|87139000||399111000|486410000|437475000|481730000|399111000|GRMN
2024-06-30|USD|862891000|1501843000|921493000|643780000|342027000|277713000|243151000|520864000||29286000|29286000||1501843000|-513000|33998000|44112000|365972000|65342000||300630000|284692000|342027000|386139000|300630000|GRMN
2024-03-31|USD|802139000|1383943000|840704000|579510000|298410000|261194000|242535000|503729000||25027000|25027000||1383943000|1321000|33892000|44825000|327040000|51079000||275961000|219519000|298410000|343235000|275961000|GRMN
2023-12-31|USD|864149000|1501724000|874055000|618352000|340454000|225190000|237245000|523695000||22841000|22841000||1501724000|254000|33864000|45338000|554243000|12116000||-12116000|637340000|340454000|385792000|542127000|GRMN
2023-09-30|USD|728569000|1265992000|750432000|548962000|270369000|236628000|221572000|458200000||19803000|19803000||1265992000|938000|33667000|44630000|279571000|22328000||257243000|211716000|270369000|326538000|257243000|GRMN
2023-06-30|USD|759442000|1331592000|765702000|561353000|284355000|250693000|224394000|475087000||18760000|18760000||1331592000|2064000|32864000|122085|315976000|28037000||287939000|259205000|284355000|317747000|287939000|GRMN
2023-03-31|USD|652794000|1155241000|728957000|494630000|196982000|234327000|221485000|455812000||15899000|15899000|32478000|1155241000|1203000|31952000|41584|221772000|19445000||202327000|230294000|196982000|232709000|202327000|GRMN
2022-12-31|USD|744970000|1351321000|796368000|561385000|267174000|204422000|215712000|477796000||14306000|14306000|14306000|1351321000|3861000|30738000|54880|329876000|36604000||293272000|385578000|267174000|222640000|293272000|GRMN
2022-09-30|USD|670499000|1110571000|659481000|469935000|239373000|189546000|208692000|431126000||10472000|10472000|10472000|1110571000|285000|29019000|27081|220267000|9419000||210848000|74621000|239373000|308734000|210848000|GRMN
2022-06-30|USD|728826000|1218394000|703218000|512007000|292740000|191211000|201518000|436086000||8495000|8495000|8495000|1218394000|170000|30002000|86065|278966000|21093000||257873000|176350000|292740000|356823000|257873000|GRMN
2022-03-31|USD|662479000|1170285000|700967000|510183000|228556000|190784000|209006000|433923000||7553000|7553000|7553000|1170285000|3261000|28984000|60459|235864000|24272000||211592000|104668000|228556000|273274000|211592000|GRMN
2021-12-31|USD|772105000|1391589000|619484000|619484000|315119000|174090000|221772000|456986000||7005000|7005000|7005000||-6282000||71391|293304000|7168000||-7168000|249215000|315120000|329761000|286136000|GRMN
2021-09-30|USD|695947000|1176959000|658541000|496026000|282670000|177647000|198925000|413277000||6897000|6897000|6897000|1176959000|833000|26496000|54000|275386000|16347000||259039000|247168000|282670000|336762000|259039000|GRMN
2021-06-30|USD|780851000|1319579000|711813000|546054000|371172000|180717000|186023000|409679000||7018000|7018000|7018000|1319579000|1195000|24788000|55806|372059000|55062000||316997000|343372000|371172000|416287000|316997000|GRMN
2021-03-31|USD|641556000|1063913000|588393000|430771000|249659000|171987000|188849000|391897000||7652000|7652000|7652000|-8414000|1484000|23988000|55213|250514000|30485000||220029000|176854000|249659000|294830000|220029000|GRMN
2020-12-31|USD|790983000|1351405000|754128000|560421000|371267000|212253000|146329000|419717000||6744000|6744000|6744000|1351405000|828000|20980000|55131|391465000|57918000||790983000|397997000|371267000|395244000|333547000|GRMN
2020-09-30|USD|667983000|1119307000|583345000|441211000|317101000|142134000|174882000|350882000||7777000|7777000|7777000|1119307000|1726000|20111000|52750|336717000|23300000||313417000|342666000|317101000|306988000|313417000|GRMN
2020-06-30|USD|515430000|865374000|486453000|354437000|188389000|132016000|165740000|327041000||10455000|10455000|10455000|865374000|3241000|18832000|51116|198488000|14308000||184180000|242102000|188389000|222210000|184180000|GRMN
2020-03-31|USD|506940000|842531000|486354000|349168000|177482000|137186000|165392000|329458000||12026000|12026000|12026000|842531000|3550000|18198000|47300|177635000|16455000||161180000|137113000|177482000|221109000|161180000|GRMN
2019-12-31|USD|639456000|1102233000|627281000|462777000|276523000|138279000|162005000|362932000||13069000|13069000|13069000|1102233000|2051000|19418000|46467|287413000|-73379000||639456000|396075000|276523000|309313000|360792000|GRMN
2019-09-30|USD|567458000|918381000|491694000|366925000|261460000|124769000|148561000|305998000||12309000|12309000|12309000|918087000|294000|17977000|44646|257767000|29901000||227866000|213775000|261460000|304637000|227866000|GRMN
2019-06-30|USD|575365000|960662000|508213000|379475000|256221000|128738000|148883000|319144000||13735000|13735000|13735000|958253000|2409000|17694000|40963|275778000|52122000||223656000|239999000|256221000|279531000|223656000|GRMN
2019-03-31|USD|451698000|767001000|441133000|314352000|151383000|126781000|145919000|300315000|13704000|13704000|13704000|13704000|766137000|864000|16832000|40374|166265000|26092000||140173000|150081000|151383000|175080000|140173000|GRMN
2018-12-31|USD|549166000|932108000|530681000|382942000|222673000|125943000|145156000|326493000|14837000|||14837000|932108000|-1427000|16896000|24718000|231872000|41722000||549166000|193956000|222673000|226884000|190150000|GRMN
2018-09-30|USD|480747000|803143000|443933000|329264000|195959000|114669000|138979000|284788000|11089000|||11089000|803143000|1147000|16102000|23256000|201327000|17113000||184214000|179106000|195959000|226083000|184214000|GRMN
2018-06-30|USD|523270000|897099000|491682000|371182000|217508000|120500000|141713000|305762000|10995000|||10995000|897099000|4918000|15786000|25074000|236068000|45726000||190342000|135632000|217508000|239935000|190342000|GRMN
2018-03-31|USD|426535000|711703000|401402000|284337000|142202000|117065000|141957000|284333000|10227000|||10227000|831000|735000|16014000|23146000|153980000|24606000||129374000|137840000|142202000|164532000|129374000|GRMN
2017-12-31|USD|503482000|888496000|538723000|393837000|183339000|128882000|132551000|320143000|9994000|||9994000|897319000|-107000|15884000|22553000|184454000|41904000||499518000|152473000|183339000|188148000|142550000|GRMN
2017-09-30|USD|437523000|750136000|411206000|313721000|173648000|101794000|129632000|263875000|9207000|||9207000|8579000|-1520000|14453000|20868000|189914000|38840000||147413000|157299000|173648000|182079000|151074000|GRMN
2017-06-30|USD|484130000|816885000|452607000|347356000|209622000|105251000|127248000|274508000|9281000|||9281000|846596000|314000|14900000|21103000|234327000|57348000||477858000|184769000|209622000|209343000|176979000|GRMN
2017-03-31|USD|372806000|638546000|370755000|268704000|117028000|102051000|122202000|255778000|8444000|||8444000|-37505000|400000|14658000|21728000|88375000|-150029000||372123000|307919000|117028000|175570000|238404000|GRMN
2016-12-31|USD|470782000|860767000|518616000|408162000|168771000|114312000|128952000|310966000|9297000|||9297000|-990000|8741000|15469000|23798000|170602000|33997000||470782000|80726000|168771000|185262000|136605000|GRMN
2016-09-30|USD|405980000|704173000|413229000|316270000|159616000|96959000|116449000|246364000|8226000|||8226000|-19421000|-9851000|13670000|21033000|149765000|24711000||125054000|152223000|159616000|179037000|125054000|GRMN
2016-06-30|USD|462958000|806281000|452328000|348651000|200674000|103677000|114355000|262284000|8455000|||8455000|-5743000|3127000|13579000|21316000|203801000|42737000||161064000|174525000|200674000|227733000|161064000|GRMN
2016-03-31|USD|339850000|620318000|379800000|284190000|103803000|95610000|108204000|236047000|7428000|||7428000|-4877000|3744000|13078000|20193000|107547000|19455000||88092000|103657000|103803000|128835000|88092000|GRMN
2015-12-31|USD|413143000|781358000|479884000|368214000|145762000|104555000|106012000|267381000|7358000|||7358000|-9280000|-28722000|13375000|19977000|152543000|20160000||413143000|125104000|145762000|175027000|132383000|GRMN
2015-09-30|USD|362190000|712273000|411557000|317500000|125457000|94057000|105789000|236733000|6851000|||6851000|30573000|39434000|13021000|20253000|164891000|45592000||119299000|72075000|125457000|115137000|119299000|GRMN
2015-06-30|USD|419250000|773343000|452132000|354580000|166664000|97552000|109240000|252586000|7420000|||7420000|-487000|-39000|12635000|19266000|173558000|35805000||137753000|145253000|166664000|186417000|137753000|GRMN
2015-03-31|USD|344122000|541106000|344366000|241272000|111698000|98750000|106002000|232424000|8024000|||8024000|-44288000|738000|12280000|18864000|76196000|9403000||66793000|80797000|111698000|174826000|66793000|GRMN
2014-12-31|USD|430848000|803306000|484790000|372458000|176000000|99118000|101554000|254848000|6803000|||6803000|15531000|1127000|12573000|21450000|199897000|-10348000||430848000|165646000|176000000|160033000|210245000|GRMN
2014-09-30|USD|398246000|693580000|398669000|308037000|175504000|90632000|98998000|222742000|9344000|||9344000|-12703000|517000|12124000|18107000|172662000|319496000||-146834000|-172957000|175504000|206314000|-146834000|GRMN
2014-06-30|USD|444485000|757470000|425772000|333363000|218754000|92409000|98404000|225731000|9670000|||9670000|-20378000|674000|12064000|19046000|208720000|26737000||181983000|219974000|218754000|258178000|181983000|GRMN
2014-03-31|USD|330834000|596652000|342260000|252387000|120369000|89873000|96164000|210465000|9768000|||9768000|13431000|-484000|11672000|18412000|142467000|23649000||118818000|116079000|120369000|125967000|118818000|GRMN
2013-12-31|USD|394638000|759694000|477575000|365057000|172471000|94671000|92574000|222167000|9759000|||9759000|18023000|5051000|11636000|18335000|204540000|40954000||394638000|129845000|172471000|155213000|163586000|GRMN
2013-09-30|USD|352889000|642815000|377210000|290748000|151749000|86462000|88427000|201140000|8435000|||8435000|-822000|1438000|11500000|18550000|160800000|-26869000||187669000|194607000|151749000|171121000|187669000|GRMN
2013-06-30|USD|383640000|724014000|400962000|312923000|169886000|88039000|96232000|213754000|8179000|||8179000|27451000|1069000|12721000|20028000|206585000|34094000||172491000|107979000|169886000|162463000|172491000|GRMN
2013-03-31|USD|276133000|523573000|342093000|255824000|79926000|86269000|87689000|196207000|8898000|||8898000|-8384000|1158000|12619000|21891000|81634000|-7032000||88666000|79467000|79926000|110165000|88666000|GRMN
2012-12-31|USD|373853000|768548000|510158000|394694000|149759000|94027000|83263000|224095000|8830000|||8830000|-3548000|218000|12607000|27537000|154908000|25615000||373853000|146231000|149759000|181194000|129293000|GRMN
2012-09-30|USD|359055000|666012000|399723000|313321000|160062000|86402000|82489000|198993000|7987000|||7987000|-6364000|942000|12674000|11870000|162627000|22279000||140348000|166783000|160062000|177354000|140348000|GRMN
2012-06-30|USD|421813000|710383000|395587000|296341000|204006000|99246000|80303000|217807000|8620000|||8620000|-7771000|2581000|13561000|25661000|207436000|21532000||185904000|171416000|204006000|234857000|185904000|GRMN
2012-03-31|USD|283759000|554598000|362954000|272838000|90333000|90116000|79719000|193426000|9671000|||9671000|-1999000|1541000|13790000|25399000|99556000|12698000||86858000|109335000|90333000|116180000|86858000|GRMN
2011-12-31|USD|433787000|909643000|569241000|475857000|200089000|93384000|84654000|233698000|9494000|||9494000|-24737000|66000|14052000|34205000|185127000|19571000||433787000|178063000|200089000|224545000|165556000|GRMN
2011-09-30|USD|344331000|681886000|411413000|322662000|147334000|88751000|72936000|196997000|8464000|||8464000|14893000|4345000|13165000|22076000|175036000|24655000||150381000|95386000|147334000|150172000|150381000|GRMN
2011-06-30|USD|322100000|659488000|437895000|351999000|131591000|85896000|70515000|190509000|7639000|||7639000|-14611000|2453000|13554000|15832000|127072000|17595000||109477000|147788000|131591000|159581000|109477000|GRMN
2011-03-31|USD|238374000|518482000|339828000|269460000|74753000|73187000|70478000|163621000|7214000|||7214000|12140000|2819000|13839000|22422000|96926000|1444000||95482000|130848000|74753000|82216000|95482000|GRMN
2010-12-31|USD|379793000|837715000|534816000|457922000|184649000|79445000|71929000|195144000|6615000|||5369000|-33763000|169000|13732000|22425000|156423000|23517000||379793000|155940000|184649000|182510000|132906000|GRMN
2010-09-30|USD|344020000|727891000|412156000|348344000|166637000|66869000|69512000|177383000|5695000|||5695000|35527000|3057000|13009000|20671000|210916000|-68636000||279552000|310510000|166637000|148724000|279552000|GRMN
2010-06-30|USD|391652000|685160000|410765000|337113000|202043000|73832000|73337000|189609000|5791000|||5791000|-43605000|180000|13203000|29678000|164409000|29593000||134816000|135833000|202043000|275146000|134816000|GRMN
2010-03-31|USD|230909000|383725000|266003000|200158000|83348000|67678000|62483000|147561000|6879000|||6879000|-46537000|-37825000|13543000|21877000|45523000|8194000||37329000|51730000|83348000|149929000|37329000|GRMN
2009-12-31|USD|486760000|1048755000|642268000|572623000|292016000|70741000|71583000|194744000|6873000|||6873000|-10518000||16750000|30596000|292208000|13800000||278408000|302677000|292016000|351934000|278408000|GRMN
2009-09-30|USD|409742000|793006000|441327000|371512000|236883000|71499000|55507000|172859000|6360000|||6360000|11752000|19796000|13610000|23641000|256679000|41546000||215133000|215133000|236883000|247088000|215133000|GRMN
