fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|2743000000|3004000000|261000000|2683000000|110000000|234000000||288000000||-27000000||27000000||3000000|57000000|27000000|131000000|8000000||123000000|507000000|158000000|185000000|123000000|HII
2024-09-30|USD|2497000000|2749000000|252000000|2427000000|82000000|252000000||252000000||-23000000||23000000||9000000|54000000|28000000|112000000|11000000||101000000|104000000|135000000|163000000|101000000|HII
2024-06-30|USD|2722000000|2977000000|255000000|2545000000|189000000|255000000||255000000||-24000000||24000000||5000000|53000000|27000000|216000000|43000000|24000000|173000000|177000000|240000000|267000000|173000000|HII
2024-03-31|USD|2546000000|2805000000|259000000|2430000000|154000000|232000000||256000000||-21000000||21000000||7000000|53000000|27000000|184000000|31000000|21000000|153000000|156000000|205000000|232000000|153000000|HII
2023-12-31|USD|2834000000|3177000000|343000000|2686000000|312000000|311000000|35000000|384000000||-25000000||25000000||8000000|56000000|32000000|332000000|58000000|25000000|274000000|442000000|357000000|389000000|274000000|HII
2023-09-30|USD|2563000000|2816000000|253000000|2400000000|172000000|253000000||253000000||-22000000|22000000|22000000||2000000|53000000|32000000|189000000|41000000|22000000|148000000|150000000|211000000|243000000|148000000|HII
2023-06-30|USD|2549000000|2787000000|238000000|2398000000|156000000|238000000||238000000||-24000000|24000000|24000000||0|55000000|32000000|169000000|39000000|24000000|130000000|134000000|193000000|225000000|130000000|HII
2023-03-31|USD|2422000000|2674000000|252000000|2324000000|141000000|220000000||252000000||-24000000|24000000|24000000||9000000|55000000|32000000|163000000|34000000|24000000|129000000|132000000|187000000|219000000|129000000|HII
2022-12-31|USD|2541000000|2812000000|271000000|2473000000|105000000|236000000|40000000|311000000||-23000000|23000000|23000000||10000000|60000000|35000000|159000000|36000000|23000000|123000000|494000000|182000000|217000000|123000000|HII
2022-09-30|USD|2382000000|2626000000|244000000|2264000000|131000000|244000000||244000000||-27000000|27000000|27000000||-13000000|54000000|35000000|162000000|24000000|27000000|138000000|146000000|189000000|224000000|138000000|HII
2022-06-30|USD|2435000000|2662000000|227000000|2272000000|191000000|227000000||227000000||-26000000|26000000|26000000||-10000000|52000000|35000000|222000000|44000000|26000000|178000000|187000000|248000000|283000000|178000000|HII
2022-03-31|USD|2324000000|2576000000|252000000|2227000000|138000000|217000000||245000000||-26000000|26000000|26000000||-7000000|52000000|35000000|176000000|36000000|26000000|140000000|76000000|202000000|237000000|140000000|HII
2021-12-31|USD|2377000000|2677000000|300000000|2304000000|120000000|262000000||341000000||-26000000|26000000|26000000||7000000|53000000|38000000|147000000|27000000|26000000|120000000|667000000|173000000|211000000|120000000|HII
2021-09-30|USD|2090000000|2338000000|248000000|2007000000|118000000|226000000||248000000||-24000000|24000000|24000000||2000000|52000000|22000000|141000000|-6000000|24000000|147000000|178000000|165000000|187000000|147000000|HII
2021-06-30|USD|2014000000|2231000000|217000000|1909000000|128000000|204000000||217000000||-18000000|18000000|18000000||7000000|50000000|13000000|161000000|32000000|18000000|129000000|151000000|179000000|192000000|129000000|HII
2021-03-31|USD|2059000000|2278000000|219000000|1936000000|147000000|206000000||216000000||-21000000|21000000|21000000|3000000|1000000|52000000|13000000|173000000|25000000|21000000|148000000|172000000|194000000|207000000|148000000|HII
2020-12-31|USD|2757000000|2757000000|271000000|2210000000|305000000|256000000||303000000||-46000000|46000000|46000000||14000000|55000000|15000000|303000000|54000000|67000000|303000000|59000000|349000000|364000000|249000000|HII
2020-09-30|USD|2079000000|2314000000|235000000|1878000000|222000000|220000000||235000000||-27000000|27000000|27000000||2000000|44000000|15000000|226000000|4000000|27000000|222000000|241000000|253000000|268000000|222000000|HII
2020-06-30|USD|1798000000|2027000000|229000000|1763000000|57000000|214000000||229000000||-25000000|25000000|25000000||3000000|45000000|15000000|65000000|12000000|25000000|53000000|71000000|90000000|105000000|53000000|HII
2020-03-31|USD|2038000000|2263000000|225000000|1840000000|215000000|214000000||225000000||-16000000|16000000|16000000||-13000000|47000000|11000000|216000000|44000000|16000000|172000000|187000000|232000000|243000000|172000000|HII
2019-12-31|USD|2412000000|2412000000|265000000|1980000000|186000000|224000000||287000000||-18000000|18000000|18000000||0|54000000|12000000|172000000|23000000|18000000|172000000|-28000000|190000000|202000000|149000000|HII
2019-09-30|USD|1998000000|2219000000|221000000|1802000000|214000000|209000000||221000000||-18000000|18000000|18000000||-1000000|43000000|12000000|198000000|44000000|18000000|154000000|173000000|216000000|228000000|154000000|HII
2019-06-30|USD|1992000000|2188000000|196000000|1834000000|175000000|184000000||196000000||-18000000|18000000|18000000||5000000|42000000|12000000|164000000|36000000|18000000|128000000|146000000|182000000|194000000|128000000|HII
2019-03-31|USD|1898000000|2080000000|182000000|1752000000|161000000|171000000||180000000||-16000000|16000000|16000000||1000000|41000000|11000000|149000000|31000000|16000000|118000000|137000000|165000000|176000000|118000000|HII
2018-12-31|USD|2199000000|2199000000|270000000|1729000000|213000000|262000000|25000000|295000000||-14000000||14000000||2000000|38000000|8000000|219000000|7000000|14000000|219000000|-6000000|233000000|241000000|212000000|HII
2018-09-30|USD|1865000000|2083000000|218000000|1593000000|290000000|208000000||218000000||-14000000||14000000||0|44000000|10000000|295000000|66000000|14000000|229000000|244000000|309000000|319000000|229000000|HII
2018-06-30|USD|231000000|2020000000|1786000000|1568000000|257000000|209000000||218000000||-15000000||15000000||1000000|44000000|9000000|262000000|23000000|15000000|239000000|252000000|277000000|286000000|239000000|HII
2018-03-31|USD|165000000|1874000000|1696000000|1495000000|191000000|192000000||201000000||-15000000||15000000||1000000|41000000|9000000|195000000|39000000|15000000|156000000|171000000|210000000|219000000|156000000|HII
2017-12-31|USD|1996000000|1996000000|1780000000|1598000000|231000000|173000000|17000000|199000000||-41000000||41000000||1000000|42000000|10000000|187000000|123000000|63000000|187000000|113000000|228000000|238000000|64000000|HII
2017-09-30|USD|202000000|1863000000|1643000000|1498000000|241000000|135000000||145000000||-18000000||18000000||1000000|41000000|10000000|220000000|71000000|18000000|149000000|119000000|238000000|248000000|149000000|HII
2017-06-30|USD|210000000|1858000000|1631000000|1489000000|241000000|133000000||142000000||-17000000||17000000||-2000000|41000000|9000000|218000000|71000000|17000000|147000000|163000000|235000000|244000000|147000000|HII
2017-03-31|USD|133000000|1724000000|1573000000|1433000000|168000000|129000000||169000000||-18000000||18000000||1000000|41000000|11000000|147000000|28000000|18000000|119000000|135000000|165000000|176000000|119000000|HII
2016-12-31|USD|1922000000|1978000000|1674000000|1480000000|268000000|188000000|19000000|890500000||-18000000||18000000||-1000000|40000000|7000000|251000000|54000000|18000000|251000000|54000000|269000000|276000000|197000000|HII
2016-09-30|USD|145000000|1664000000|1519000000|1367000000|175000000|147000000||152000000||-19000000||19000000||1000000|40000000|5000000|157000000|50000000|19000000|107000000|120000000|176000000|181000000|107000000|HII
2016-06-30|USD|192000000|1682000000|1490000000|1333000000|217000000|151000000||157000000||-18000000||18000000||0|42000000|6000000|199000000|66000000|18000000|133000000|145000000|217000000|223000000|133000000|HII
2016-03-31|USD|174000000|1744000000|1570000000|1428000000|198000000|137000000||-535500000||-19000000||19000000||-2000000|41000000|5000000|177000000|41000000|19000000|136000000|148000000|196000000|201000000|136000000|HII
2015-12-31|USD|1862000000|1905000000|43000000|1550000000|144000000|196000000|19000000|43000000||-64000000||64000000|-48000000|2000000|38000000|7000000|80000000|30000000|112000000|80000000|31000000|144000000|151000000|50000000|HII
2015-09-30|USD|163000000|1775000000|1612000000|1456000000|200000000|150000000||156000000||-25000000||25000000|-4000000|-7000000|39000000|6000000|175000000|64000000|25000000|111000000|121000000|200000000|206000000|111000000|HII
2015-06-30|USD|236000000|1720000000|1484000000|1246000000|269000000|173000000||88000000||-25000000||25000000||2000000|38000000|6000000|244000000|88000000|25000000|156000000|169000000|269000000|275000000|156000000|HII
2015-03-31|USD|125000000|1547000000|1422000000|1265000000|156000000|150000000||-520500000||-23000000||23000000||-2000000|39000000|7000000|133000000|46000000|23000000|87000000|100000000|156000000|163000000|87000000|HII
2014-12-31|USD|1927000000|1927000000|1783000000|1520000000|144000000|217000000|18000000|198000000||-66000000||66000000||1000000|30000000|0|79000000|27000000|29000000|79000000|-304000000|145000000|145000000|52000000|HII
2014-09-30|USD|129000000|1690000000|1561000000|1364000000|171000000|189000000||224000000||-27000000||27000000||-2000000|39000000|8000000|144000000|48000000|27000000|96000000|99000000|171000000|179000000|96000000|HII
2014-06-30|USD|145000000|1690000000|1545000000|1369000000|181000000|170000000||205000000||-29000000||29000000||1000000|43000000|6000000|152000000|52000000|29000000|100000000|106000000|181000000|187000000|100000000|HII
2014-03-31|USD|121000000|1567000000|1446000000|1287000000|159000000|150000000||-491500000||-27000000||27000000||1000000|54000000|9000000|132000000|42000000|27000000|90000000|96000000|159000000|168000000|90000000|HII
2013-12-31|USD|1938000000|1938000000|1772000000|1567000000|174000000|198000000|22000000|258000000||-31000000||31000000||1000000|71000000|7000000|143000000|52000000|31000000|143000000|648000000|174000000|181000000|91000000|HII
2013-09-30|USD|85000000|1609000000|1524000000|1333000000|127000000|186000000||219000000||-28000000||28000000||2000000|53000000|5000000|99000000|30000000|28000000|69000000|87000000|127000000|132000000|69000000|HII
2013-06-30|USD|80000000|1654000000|1574000000|1384000000|116000000|185000000||219000000||-29000000||29000000||-1000000|39000000|5000000|87000000|30000000|29000000|57000000|185000000|116000000|121000000|57000000|HII
2013-03-31|USD|55000000|1532000000|1477000000|1299000000|95000000|170000000||206000000||-30000000||30000000||2000000|43000000|8000000|65000000|21000000|30000000|44000000|46000000|95000000|103000000|44000000|HII
2012-12-31|USD|1823000000|1823000000|1712000000|1489000000|106000000|233000000|21000000|270000000||-29000000||29000000|||43000000|-12000000|77000000|27000000|29000000|77000000|-359000000|106000000|94000000|50000000|HII
2012-09-30|USD|25000000|1567000000|1542000000|1373000000|66000000|164000000||198000000||-29000000||29000000|||40000000|5000000|37000000|24000000|29000000|13000000|30000000|66000000|71000000|13000000|HII
2012-06-30|USD|73000000|1692000000|1619000000|1443000000|106000000|176000000||205000000||-29000000||29000000|||40000000|5000000|77000000|27000000|29000000|50000000|63000000|106000000|111000000|50000000|HII
2012-03-31|USD|48000000|1538000000|1490000000|1338000000|80000000|150000000||182000000||-30000000||30000000|||42000000|2000000|50000000|17000000|30000000|33000000|48000000|80000000|82000000|33000000|HII
2011-12-31|USD|1735000000|1735000000|1613000000|1468000000|121000000|153000000|24000000|174000000||-29000000||29000000|||41000000|2000000|89000000|22000000|29000000|92000000|-299000000|118000000|120000000|67000000|HII
2011-09-30|USD|-220000000|1563000000|1783000000|1330000000|-193000000|153000000||483000000||-30000000||30000000|||42000000|5000000|-222000000|28000000|30000000|-248000000|-240000000|-192000000|-187000000|-250000000|HII
2011-06-30|USD|61000000|1533000000|1472000000|1303000000|89000000|169000000||199000000||-30000000||30000000|||41000000|46000000|60000000|21000000|30000000|40000000|47000000|90000000|137000000|39000000|HII
2011-03-31|USD|234000000|1684000000|1450000000|1450000000|83000000|149000000||149000000||||15000000|||40000000|45000000|69000000|25000000|||62000000|84000000|130000000|44000000|HII
2010-12-31|USD|275000000|1736000000|1461000000|1461000000|97000000|197000000|23000000|197000000||||10000000|||36000000|40000000|85000000|26000000|||39000000|95000000|135000000|59000000|HII
2010-09-30|USD|235000000|1665000000|1430000000|1430000000|77000000|158000000||158000000||||10000000|||42000000|47000000|67000000|25000000|||49000000|77000000|124000000|42000000|HII
2010-06-30|USD|141000000|1610000000|1469000000|1469000000|-20000000|161000000||161000000||||10000000||||46000000|-30000000|-19000000|||2000000|-20000000|26000000|-11000000|HII
