fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2025-01-31|USD|2209000000|3963000000|1754000000|37000000|593000000|1593000000|716000000|2433000000||-26000000|34000000|60000000|3963000000|38000000|42000000|120000000|571000000|100000000|60000000|471000000|461000000|593000000|751000000|471000000|INTU
2024-10-31|USD|1761000000|3283000000|1522000000|37000000|271000000|1356000000|704000000|2189000000||-20000000|42000000|60000000|3283000000|2000000|44000000|120000000|213000000|16000000|60000000|197000000|197000000|271000000|393000000|197000000|INTU
2024-07-31|USD|1494000000|3357000000|1863000000|36000000|-151000000|1481000000|725000000|2552000000||-2000000|59000000|60000000|3184000000|71000000|48000000|123000000|-140000000|-120000000|60000000|-20000000|-16000000|-151000000|43000000|-20000000|INTU
2024-04-30|USD|4750000000|6680000000|1930000000|36000000|3105000000|1774000000|671000000|2565000000||-60000000|34000000|60000000|6737000000|27000000|42000000|120000000|3072000000|683000000|60000000|2389000000|2391000000|3105000000|3252000000|2389000000|INTU
2024-01-31|USD|1812000000|3386000000|1520000000|36000000|369000000|1364000000|678000000|2162000000||-57000000|22000000|57000000|3386000000|42000000|36000000|120000000|354000000|1000000|57000000|353000000|371000000|369000000|531000000|353000000|INTU
2023-10-31|USD|1647000000|2978000000|1269000000|38000000|307000000|1111000000|680000000|1911000000||-65000000|36000000|65000000|2978000000|22000000|33000000|120000000|264000000|23000000|65000000|241000000|218000000|307000000|449000000|241000000|INTU
2023-07-31|USD|1540000000|2883000000|1343000000|41000000|17000000|1181000000|680000000|1982000000||-68000000|46000000|68000000|2712000000|46000000|33000000|121000000|-5000000|-94000000|68000000|89000000|95000000|17000000|184000000|89000000|INTU
2023-04-30|USD|4260000000|5955000000|1695000000|40000000|2778000000|1535000000|604000000|2259000000||-66000000|28000000|66000000|6018000000|22000000|33000000|120000000|2734000000|647000000|66000000|2087000000|2089000000|2778000000|2920000000|2087000000|INTU
2023-01-31|USD|1570000000|2979000000|1409000000|41000000|270000000|1247000000|630000000|1998000000||-65000000|15000000|65000000|3041000000|23000000|47000000|121000000|228000000|60000000|65000000|168000000|192000000|270000000|414000000|168000000|INTU
2022-10-31|USD|1290000000|2551000000|1261000000|41000000|76000000|1099000000|625000000|1845000000||-49000000|14000000|49000000|2597000000|5000000|47000000|121000000|32000000|-8000000|49000000|40000000|13000000|76000000|202000000|40000000|INTU
2022-07-31|USD|1146000000|2449000000|1303000000|41000000|-75000000|1141000000|627000000|1889000000||-32000000|8000000|32000000|2414000000|8000000|45000000|121000000|-99000000|-43000000|32000000|-56000000|-63000000|-75000000|54000000|-56000000|INTU
2022-04-30|USD|3760000000|5615000000|1855000000|42000000|2395000000|1692000000|600000000|2413000000||-21000000|2000000|21000000|5632000000|-1000000|46000000|121000000|2373000000|579000000|21000000|1794000000|1775000000|2395000000|2515000000|1794000000|INTU
2022-01-31|USD|1153000000|2657000000|1504000000|42000000|56000000|1341000000|590000000|2052000000||-21000000||21000000|2673000000|-5000000|51000000|121000000|30000000|-70000000|21000000|100000000|95000000|56000000|172000000|100000000|INTU
2021-10-31|USD|1125000000|2005000000|880000000|15000000|195000000|812000000|530000000|1395000000||-7000000|5000000|7000000|2007000000|50000000|45000000|53000000|238000000|10000000|7000000|228000000|223000000|195000000|298000000|228000000|INTU
2021-07-31|USD|1383000000|2571000000|1188000000|15000000|402000000|1119000000|521000000|1694000000||-7000000|8000000|7000000|2561000000|8000000|44000000|54000000|403000000|23000000|7000000|380000000|380000000|402000000|464000000|380000000|INTU
2021-04-30|USD|2956000000|4170000000|1214000000|14000000|1914000000|1146000000|464000000|1664000000||-7000000|14000000|7000000|4173000000|14000000|45000000|54000000|1921000000|457000000|7000000|1464000000|1463000000|1914000000|1982000000|1464000000|INTU
2021-01-31|USD|693000000|1573000000|880000000|14000000|-25000000|830000000|368000000|1234000000||-7000000|2000000|7000000|1576000000|54000000|40000000|36000000|22000000|2000000|7000000|20000000|32000000|-25000000|65000000|20000000|INTU
2020-10-31|USD|769000000|1319000000|550000000|7000000|209000000|531000000|325000000|868000000||-8000000|3000000|8000000|1323000000|9000000|37000000|2000000|210000000|12000000|8000000|198000000|195000000|209000000|220000000|198000000|INTU
2020-07-31|USD|1494000000|1816000000|322000000|322000000|483000000|617000000|393000000|1011000000||-7000000|6000000|7000000|1816000000|10000000|44000000|1000000|486000000|41000000|7000000|483000000|457000000|483000000|494000000|445000000|INTU
2020-04-30|USD|2169000000|3002000000|836000000|426000000|1413000000|829000000|332000000|1163000000||-2000000|10000000|2000000|3002000000|-3000000|47000000|2000000|1408000000|324000000|2000000|1084000000|1075000000|1413000000|1412000000|1084000000|INTU
2020-01-31|USD|941000000|1696000000|759000000|340000000|270000000|752000000|333000000|1086000000||-3000000|11000000|3000000|1696000000|15000000|49000000|1000000|282000000|42000000|3000000|240000000|240000000|270000000|286000000|240000000|INTU
2019-10-31|USD|633000000|1165000000|537000000|290000000|10000000|529000000|334000000|865000000||-2000000|12000000|2000000|1165000000|14000000|49000000|2000000|22000000|-35000000|2000000|57000000|58000000|10000000|26000000|57000000|INTU
2019-07-31|USD|713000000|994000000|281000000|281000000|-153000000|531000000|333000000|866000000||-3000000|19000000|3000000|994000000|19000000|52000000|2000000|-137000000|-93000000|3000000|-153000000|-42000000|-153000000|-132000000|-44000000|INTU
2019-04-30|USD|2440000000|3272000000|828000000|354000000|1784000000|822000000|311000000|1134000000||-4000000|10000000|4000000|3272000000|17000000|48000000|1000000|1797000000|419000000|4000000|1378000000|1376000000|1784000000|1802000000|1378000000|INTU
2019-01-31|USD|804000000|1502000000|694000000|285000000|233000000|688000000|295000000|984000000||-4000000||4000000|1502000000|6000000|48000000|1000000|235000000|46000000|4000000|189000000|193000000|233000000|240000000|189000000|INTU
2018-10-31|USD|522000000|1016000000|490000000|247000000|-10000000|483000000|294000000|779000000||-4000000||4000000|1016000000|0|51000000|2000000|-14000000|-48000000|4000000|34000000|30000000|-10000000|-8000000|34000000|INTU
2018-07-31|USD|757000000|864000000|231000000|229000000|-200000000|525000000|311000000|835000000||-4000000||4000000|-5138000000|11000000|55000000|2000000|-193000000|-155000000|4000000|167000000|-42000000|-200000000|-187000000|-38000000|INTU
