fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|706000000|4635000000|3929000000|3342000000|237000000|508000000||599000000|55000000|-51000000|55000000|106000000|4686000000|5000000|257000000|9000000|80000000|-71000000||150000000|177000000|237000000|195000000|151000000|IP
2024-06-30|USD|850000000|4679000000|3829000000|3360000000|322000000|453000000||474000000|52000000|-55000000|52000000|107000000|4734000000|23000000|251000000|9000000|206000000|-293000000|107000000|498000000|477000000|322000000|322000000|499000000|IP
2024-03-31|USD|791000000|4573000000|3782000000|3424000000|169000000|358000000||375000000|63000000|-46000000|63000000|109000000|4619000000|24000000|268000000|9000000|85000000|27000000|109000000|56000000|65000000|169000000|203000000|58000000|IP
2023-12-31|USD|883000000|4684000000|3801000000|3282000000|967000000|357000000||478000000|58000000|-52000000|58000000|110000000|4736000000||685000000|22000000|-345000000|-61000000|110000000|-284000000|-389000000|-235000000|-213000000|-284000000|IP
2023-09-30|USD|902000000|4555000000|3653000000|3345000000|352000000|286000000||295000000|47000000|-58000000|47000000|105000000|4613000000|20000000|248000000|9000000|204000000|39000000|105000000|192000000|625000000|352000000|318000000|165000000|IP
2023-06-30|USD|906000000|4623000000|3717000000|3360000000|334000000|336000000||345000000|44000000|-59000000|44000000|103000000|4682000000|8000000|235000000|9000000|268000000|33000000|103000000|222000000|226000000|334000000|380000000|235000000|IP
2023-03-31|USD|868000000|4915000000|4047000000|3642000000|306000000|381000000||390000000|41000000|-62000000|41000000|103000000|4977000000|8000000|232000000|9000000|220000000|48000000|103000000|172000000|186000000|306000000|332000000|172000000|IP
2022-12-31|USD|5181000000|5133000000|-48000000|3668000000|5185000000|315000000||409000000|34000000|-59000000|34000000|93000000|5133000000|-265000000|240000000|22000000|-170000000|148000000|0|171000000|-657000000|-77000000|-55000000|-318000000|IP
2022-09-30|USD|1056000000|5279000000|4223000000|3830000000|464000000|337000000||441000000|27000000|-123000000|27000000|150000000|5402000000|15000000|250000000|11000000|376000000|-575000000|150000000|887000000|854000000|526000000|537000000|951000000|IP
2022-06-30|USD|1245000000|5315000000|4070000000|3806000000|585000000|300000000||311000000|9000000|-74000000|9000000|83000000|5389000000|27000000|256000000|11000000|607000000|96000000|83000000|416000000|716000000|690000000|701000000|511000000|IP
2022-03-31|USD|1026000000|5168000000|4142000000|3839000000|348000000|341000000||334000000|8000000|-69000000|8000000|77000000|5237000000|12000000|250000000|11000000|455000000|95000000|77000000|267000000|332000000|532000000|543000000|360000000|IP
2021-12-31|USD|5133000000|5086000000|-47000000|3659000000|5132000000|344000000||405000000|-23000000|-76000000|9000000|85000000|5086000000|-381000000|310000000|20000000|102000000|-5000000|-389000000|-196000000|-18000000|187000000|207000000|107000000|IP
2021-09-30|USD|1264000000|5622000000|4358000000|3423000000|490000000|343000000||399000000|24000000|-82000000|22000000|104000000|5715000000|13000000|270000000|12000000|923000000|59000000|117000000|432000000|1644000000|1027000000|1039000000|864000000|IP
2021-06-30|USD|1183000000|5689000000|4506000000|3402000000|390000000|396000000||645000000|60000000|-86000000|31000000|117000000|5746000000|36000000|262000000|11000000|478000000|46000000|117000000|308000000|791000000|595000000|606000000|432000000|IP
2021-03-31|USD|1148000000|5345000000|4197000000|3348000000|340000000|302000000||401000000|32000000|-93000000|31000000|124000000|5437000000|36000000|258000000|12000000|437000000|88000000|124000000|267000000|238000000|561000000|573000000|349000000|IP
2020-12-31|USD|5240000000|5239000000|-1000000|1625000000|5235000000|243000000||9000000|34000000|-101000000|29000000|130000000|5239000000|-54000000|198000000|31000000|118000000|-35000000|-63000000|-147000000|943000000|248000000|279000000|153000000|IP
2020-09-30|USD|1001000000|5013000000|4012000000|3541000000|473000000|360000000||482000000|36000000|-112000000|36000000|148000000|5125000000|-20000000|300000000|17000000|254000000|50000000|148000000|204000000|221000000|402000000|419000000|204000000|IP
2020-06-30|USD|974000000|4750000000|3776000000|3427000000|428000000|332000000||366000000|40000000|-116000000|40000000|156000000|4866000000|-3000000|293000000|16000000|333000000|67000000|156000000|266000000|372000000|489000000|505000000|266000000|IP
2020-03-31|USD|1027000000|5235000000|4208000000|3746000000|512000000|418000000||406000000|46000000|-117000000|46000000|163000000|5352000000|32000000|309000000|10000000|-47000000|94000000|163000000|-141000000|-657000000|116000000|126000000|-141000000|IP
2019-12-31|USD|5066000000|5499000000|433000000|1067000000|4642000000|247000000||423000000|55000000|-121000000|42000000|163000000|5499000000|-23000000|98000000|22000000|271000000|106000000|147000000|-361000000|440000000|434000000|456000000|165000000|IP
2019-09-30|USD|1217000000|5445000000|4228000000|3772000000|701000000|387000000||458000000|54000000|-123000000|54000000|177000000|5568000000|19000000|305000000|18000000|481000000|137000000|177000000|344000000|200000000|658000000|676000000|344000000|IP
2019-06-30|USD|1218000000|5545000000|4327000000|3901000000|629000000|402000000||415000000|55000000|-122000000|55000000|177000000|5667000000|-72000000|300000000|13000000|420000000|128000000|177000000|292000000|397000000|597000000|610000000|292000000|IP
2019-03-31|USD|5054000000|5510000000|456000000|3929000000|600000000|413000000||425000000|51000000|-133000000|51000000|184000000|5643000000|121000000|297000000|12000000|530000000|106000000|184000000|424000000|478000000|714000000|726000000|424000000|IP
2018-12-31|USD|5527000000|5951000000|424000000|3798000000|5098000000|446000000|30000000|429000000|52000000|-135000000|52000000|187000000|5951000000|79000000|270000000|15000000|459000000|143000000|177000000|316000000|703000000|646000000|661000000|316000000|IP
2018-09-30|USD|5303000000|5768000000|465000000|3887000000|738000000|405000000||420000000|51000000|-133000000|51000000|184000000|5901000000|-30000000|315000000|15000000|645000000|83000000|184000000|562000000|556000000|829000000|844000000|562000000|IP
2018-06-30|USD|6712000000|11533000000|4821000000|3922000000|697000000|12000000||438000000|50000000|-133000000|50000000|183000000|5833000000|70000000|309000000|15000000|535000000|130000000|183000000|428000000|54000000|718000000|733000000|405000000|IP
2018-03-31|USD|6865000000|11623000000|4758000000|3948000000|512000000|421000000||-81000000|45000000|-135000000|45000000|180000000|6137000000|95000000|306000000|14000000|818000000|89000000|180000000|361000000|832000000|998000000|1012000000|729000000|IP
2017-12-31|USD|6087000000|5711000000|-376000000|1578000000|6463000000|434000000|28000000|-376000000|46000000|-141000000|46000000|187000000|5711000000|61000000|274000000|17000000|253000000|-1207000000|22000000|1468000000|1776000000|440000000|457000000|1460000000|IP
2017-09-30|USD|874000000|5761000000|4887000000|4410000000|674000000|401000000||458000000|46000000|-152000000|46000000|198000000|5517000000|45000000|317000000|27000000|531000000|136000000|198000000|366000000|554000000|729000000|756000000|395000000|IP
2017-06-30|USD|688000000|5635000000|4947000000|4495000000|157000000|393000000||802000000|49000000|-137000000|49000000|186000000|5383000000|20000000|310000000|17000000|-7000000|-87000000|186000000|84000000|124000000|179000000|196000000|80000000|IP
2017-03-31|USD|601000000|5369000000|4768000000|4319000000|414000000|393000000||438000000|45000000|-142000000|45000000|187000000|0|48000000|299000000|16000000|282000000|73000000|187000000|192000000|419000000|469000000|485000000|209000000|IP
2016-12-31|USD|5381000000|5381000000|4603000000|4156000000|5381000000|316000000|20000000|308000000|46000000|-136000000|46000000|182000000|128000000|-23000000|155000000|15000000|272000000|54000000|124000000|111000000|314000000|454000000|469000000|218000000|IP
2016-09-30|USD|731000000|5105000000|4374000000|3975000000|613000000|380000000||399000000|49000000|-132000000|49000000|181000000|-29000000|43000000|294000000|14000000|419000000|107000000|179000000|312000000|335000000|600000000|614000000|312000000|IP
2016-06-30|USD|4427000000|5193000000|766000000|339000000|627000000|386000000||427000000|43000000|-129000000|43000000|172000000|-28000000|45000000|284000000|13000000|31000000|-9000000|172000000|40000000|-52000000|203000000|216000000|40000000|IP
2016-03-31|USD|4205000000|4950000000|745000000|320000000|497000000|376000000||462000000|37000000|-123000000|37000000|160000000|-37000000|63000000|267000000|12000000|375000000|41000000|160000000|339000000|653000000|535000000|547000000|334000000|IP
2015-12-31|USD|1678000000|5443000000|733000000|348000000|483000000|313000000|27000000|385000000|30000000|-133000000|30000000|163000000|415000000|33000000|167000000|15000000|249000000|71000000|-41000000|93000000|-172000000|412000000|427000000|178000000|IP
2015-09-30|USD|1800000000|5549000000|953000000|334000000|579000000|417000000||619000000|17000000|-141000000|17000000|158000000|-1000000|-13000000|309000000|16000000|326000000|106000000|159000000|220000000|-252000000|484000000|500000000|220000000|IP
2015-06-30|USD|1746000000|5777000000|786000000|367000000|676000000|403000000||419000000|20000000|-144000000|20000000|164000000|207000000|62000000|306000000|16000000|337000000|110000000|-43000000|227000000|383000000|501000000|517000000|227000000|IP
2015-03-31|USD|1673000000|5381000000|776000000|357000000|623000000|406000000||419000000|22000000|-137000000|22000000|159000000|1000000|35000000|304000000|13000000|443000000|130000000|158000000|313000000|-83000000|602000000|615000000|313000000|IP
2014-12-31|USD|1838000000|5943000000|47000000|384000000|578000000|462000000|16000000|47000000|23000000|-142000000|23000000|165000000|1000000|-136000000|314000000|18000000|168000000|34000000|164000000|143000000|-1447000000|333000000|351000000|134000000|IP
2014-09-30|USD|1996000000|5906000000|880000000|394000000|781000000|467000000||484000000|14000000|-158000000|14000000|172000000|13000000|-72000000|333000000|19000000|502000000|147000000|159000000|339000000|-82000000|674000000|693000000|355000000|IP
2014-06-30|USD|1839000000|7310000000|959000000|412000000|639000000|436000000||512000000|12000000|-164000000|12000000|176000000|262000000|41000000|328000000|20000000|183000000|22000000|-85000000|174000000|311000000|359000000|379000000|161000000|IP
2014-03-31|USD|1690000000|6872000000|948000000|400000000|60000000|428000000||758000000|21000000|-143000000|21000000|164000000|0|-33000000|324000000|20000000|-175000000|-80000000|163000000|-88000000|-114000000|-11000000|9000000|-95000000|IP
2013-12-31|USD|1808000000|7249000000|1507000000|423000000|456000000|444000000|18000000|1489000000|16000000|-134000000|15000000|149000000|1000000|-25000000|339000000|21000000|-123000000|-559000000|148000000|795000000|1489000000|26000000|47000000|436000000|IP
2013-09-30|USD|1927000000|7274000000|1040000000|438000000|665000000|473000000||796000000|15000000|-146000000|16000000|162000000|15000000|16000000|363000000|30000000|420000000|38000000|147000000|387000000|606000000|582000000|612000000|382000000|IP
2013-06-30|USD|1757000000|7170000000|983000000|449000000|601000000|515000000||759000000|13000000|-168000000|13000000|181000000|3000000|-36000000|360000000|19000000|353000000|94000000|178000000|235000000|-15000000|534000000|553000000|259000000|IP
2013-03-31|USD|1709000000|6932000000|1006000000|422000000|506000000|567000000||944000000|13000000|-164000000|13000000|177000000|6000000|-10000000|356000000|17000000|249000000|-69000000|171000000|292000000|396000000|426000000|443000000|318000000|IP
2012-12-31|USD|1882000000|7075000000|1006000000|413000000|506000000|160000000|13000000|1115000000|15000000|-168000000|15000000|183000000|21000000|-84000000|345000000|15000000|284000000|49000000|163000000|193000000|-646000000|467000000|482000000|235000000|IP
2012-09-30|USD|1886000000|6876000000|958000000|403000000|539000000|527000000||778000000|34000000|-163000000|34000000|197000000|13000000|34000000|356000000|28000000|367000000|130000000|184000000|223000000|402000000|564000000|592000000|237000000|IP
2012-06-30|USD|1807000000|6915000000|929000000|448000000|426000000|474000000||694000000|7000000|-172000000|7000000|179000000|10000000|-26000000|353000000|7000000|191000000|57000000|169000000|118000000|-288000000|370000000|377000000|134000000|IP
2012-03-31|USD|1671000000|6491000000|869000000|347000000|462000000|513000000||825000000|15000000|-168000000|15000000|183000000|4000000|51000000|345000000|8000000|258000000|70000000|179000000|183000000|491000000|441000000|449000000|188000000|IP
2011-12-31|USD|1705000000|6367000000|785000000|337000000|577000000|441000000|13000000|857000000|14000000|-138000000|14000000|152000000|0|-211000000|302000000|7000000|435000000|154000000|120000000|281000000|-585000000|587000000|594000000|281000000|IP
2011-09-30|USD|1839000000|6502000000|919000000|352000000|571000000|477000000||744000000|14000000|-130000000|14000000|144000000|0|50000000|319000000|8000000|384000000|-84000000|144000000|468000000|-311000000|528000000|536000000|468000000|IP
2011-06-30|USD|1768000000|6511000000|854000000|361000000|483000000|484000000||681000000|13000000|-137000000|13000000|150000000|0|57000000|320000000|9000000|337000000|118000000|150000000|219000000|435000000|487000000|496000000|219000000|IP
2011-03-31|USD|1762000000|6237000000|5465000000|4965000000|585000000|485000000||735000000|14000000|-136000000|14000000|150000000|32000000|45000000|323000000|8000000|477000000|123000000|150000000|305000000|603000000|627000000|635000000|354000000|IP
2010-12-31|USD|1761000000|6531000000|5644000000|5102000000|561000000|533000000|12000000|997000000|9000000|-150000000|9000000|159000000||60000000|344000000|9000000|366000000|50000000|159000000|363000000|168000000|525000000|534000000|316000000|IP
2010-09-30|USD|1962000000|6558000000|5608000000|5097000000|752000000|504000000||731000000|10000000|-152000000|10000000|162000000||22000000|349000000|7000000|567000000|170000000|162000000|397000000|397000000|729000000|736000000|397000000|IP
2010-06-30|USD|1631000000|5957000000|5299000000|4820000000|353000000|472000000||690000000|7000000|-157000000|7000000|164000000||7000000|348000000|7000000|118000000|25000000|164000000|93000000|93000000|282000000|289000000|93000000|IP
