fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|1926000000|5273000000|5027000000|3500000000|403000000|1399000000||1523000000||-70000000|3000000|67000000|5273000000|||120000000|466000000|47000000||363000000|339000000|403000000|523000000|419000000|JCI
2024-09-30|USD|1416000000|2892000000|2836000000|1512000000|-159000000|807000000||1617000000||-87000000|2000000|85000000|2892000000|||110000000|645000000|12000000||185000000|720000000|-159000000|-49000000|633000000|JCI
2024-06-30|USD|2488000000|7249000000|5952000000|4743000000|1630000000|1090000000||858000000||-106000000|5000000|105000000|7249000000|||119000000|1202000000|227000000||1052000000|927000000|1630000000|1749000000|975000000|JCI
2024-03-31|USD|2181000000|6759000000|7124000000|4518000000|-1175000000|2251000000||3356000000||-99000000|5000000|100000000|6759000000|||125000000|-404000000|-127000000||-234000000|-347000000|-1175000000|-1050000000|-277000000|JCI
2023-12-31|USD|1778000000|6046000000|5746000000|3431000000|398000000|1334000000||1594000000||-110000000|5000000|91000000|6046000000|||122000000|373000000|-20000000||340000000|396000000|398000000|520000000|374000000|JCI
2023-09-30|USD|2208000000|7170000000|78000000|4698000000|-156000000|1476000000|320000000|78000000||-63000000|1000000|63000000|6951000000|||120000000|492000000|-57000000||397000000|464000000|-156000000|-36000000|549000000|JCI
2023-06-30|USD|2431000000|6991000000|6368000000|4702000000|765000000|1555000000||1666000000||-79000000|67000000|79000000|7070000000|78000000||111000000|720000000|-329000000|79000000|1122000000|1025000000|799000000|910000000|1049000000|JCI
2023-03-31|USD|2241000000|6624000000|6312000000|4445000000|374000000|1579000000||1867000000||-71000000|3000000|71000000|6695000000|50000000||104000000|182000000|49000000|71000000|174000000|151000000|253000000|357000000|133000000|JCI
2022-12-31|USD|2091000000|6080000000|5946000000|3977000000|176000000|1571000000||1915000000||-69000000|57000000|69000000|6149000000|62000000||104000000|132000000|14000000|69000000|156000000|165000000|201000000|305000000|118000000|JCI
2022-09-30|USD|2295000000|6596000000|6356000000|4430000000|128000000|1533000000|295000000|2167000000||-60000000|60000000|60000000|6789000000|71000000||101000000|558000000|-203000000|60000000|761000000|512000000|618000000|719000000|761000000|JCI
2022-06-30|USD|2200000000|6591000000|6226000000|4414000000|388000000|1589000000||1812000000||-54000000|2000000|54000000|6595000000|63000000||102000000|440000000|61000000|54000000|379000000|62000000|494000000|596000000|379000000|JCI
2022-03-31|USD|1957000000|6082000000|6085000000|4141000000|13000000|1454000000||1944000000||-56000000|1000000|56000000|6090000000|42000000||106000000|69000000|58000000|56000000|11000000|13000000|125000000|231000000|11000000|JCI
2021-12-31|USD|1891000000|5944000000|5507000000|3971000000|361000000|1369000000||1530000000||-55000000|2000000|55000000|5964000000|70000000||118000000|452000000|71000000|55000000|381000000|468000000|507000000|625000000|381000000|JCI
