fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|15392000000|22306000000|14749000000|7128000000|17842000000|6453000000|-10093000000|-2450000000|281000000|144000000|281000000|137000000|22306000000|161000000||1100000000|3887000000|456000000|137000000|3431000000|4212000000|17842000000|18942000000|3431000000|JNJ
2024-09-30|USD|15508000000|22471000000|13682000000|6963000000|3837000000|5478000000|4952000000|11671000000|292000000|99000000|292000000|193000000|22471000000|-1798000000||1200000000|3338000000|644000000|193000000|2694000000|1425000000|3837000000|5037000000|2694000000|JNJ
2024-06-30|USD|15578000000|22447000000|13637000000|6869000000|5370000000|5681000000|3440000000|10208000000|395000000|125000000|395000000|270000000|22447000000|-653000000||1100000000|5748000000|1062000000|270000000|4686000000|4201000000|5370000000|6470000000|4686000000|JNJ
2024-03-31|USD|14872000000|21228000000|13217000000|6511000000|4624000000|5257000000|3542000000|10248000000|364000000|-155000000|364000000|155000000|21383000000|-2404000000||1100000000|3714000000|459000000|155000000|3255000000|5014000000|3869000000|4969000000|3255000000|JNJ
2023-12-31|USD|14597000000|21395000000|14139000000|6798000000|14597000000|5810000000|-10122000000|-2881000000|363000000|-151000000|363000000|151000000|21395000000|421000000||1100000000|4743000000|694000000|151000000|4132000000|4826000000|4894000000|5994000000|4049000000|JNJ
2023-09-30|USD|14745000000|21159000000|13264000000|6606000000|4640000000|5400000000|3447000000|10105000000|374000000|-192000000|374000000|192000000|21351000000|-499000000||1100000000|26936000000|908000000|192000000|4309000000|25750000000|27128000000|28228000000|26028000000|JNJ
2023-06-30|USD|15057000000|25184000000|16222000000|6462000000|5479000000|5396000000|3829000000|11839000000|369000000|-346000000|369000000|346000000|25530000000|384000000||1200000000|6762000000|930000000|346000000|5376000000|4087000000|7108000000|8308000000|5144000000|JNJ
2023-03-31|USD|14207000000|20894000000|300000000|6687000000|-600000000|4906000000|3455000000|300000000|198000000|-212000000|235000000|212000000|20894000000|-6940000000||1100000000|-737000000|-796000000|212000000|-491000000|273000000|-522000000|678000000|-68000000|JNJ
2022-12-31|USD|13855000000|19939000000|13127000000|12577000000|13855000000|9858000000|-10425000000|-3385000000|254000000|-177000000|254000000|177000000|19939000000|-1856000000||900000000|4928000000|1408000000|177000000|3227000000|3840000000|5105000000|5210000000|3520000000|JNJ
2022-09-30|USD|13824000000|19945000000|12212000000|6172000000|4299000000|4975000000|3485000000|9525000000|150000000|-51000000|150000000|51000000|19996000000|-226000000||1000000000|5320000000|862000000|51000000|4310000000|3009000000|5371000000|6371000000|4458000000|JNJ
2022-06-30|USD|16101000000|23982000000|15330000000|7919000000|4987000000|6226000000|3703000000|11114000000|64000000|-38000000|64000000|38000000|24020000000|-273000000||1100000000|5840000000|1026000000|38000000|4814000000|4728000000|5878000000|6978000000|4814000000|JNJ
2022-03-31|USD|15828000000|23416000000|15316000000|7598000000|4032000000|5938000000|4072000000|11796000000|22000000|-10000000|22000000|10000000|23426000000|102000000||1100000000|5862000000|713000000|10000000|5149000000|4450000000|5872000000|6972000000|5149000000|JNJ
2021-12-31|USD|16849000000|24508000000|16317000000|7955000000|3755000000|7154000000|4720000000|13094000000|13000000|-60000000|13000000|60000000|24568000000|-9000000||1100000000|4836000000|100000000|60000000|4736000000|7093000000|4896000000|5996000000|4736000000|JNJ
2021-09-30|USD|16088000000|23318000000|14410000000|7250000000|4606000000|6000000000|4322000000|11482000000|13000000|-20000000|13000000|20000000|23338000000|-1850000000||1100000000|3849000000|182000000|20000000|3667000000|3352000000|3869000000|4969000000|3667000000|JNJ
2021-06-30|USD|15725000000|23272000000|14916000000|7587000000|5002000000|6073000000|3394000000|10723000000|12000000|-40000000|12000000|40000000|23312000000|488000000||1200000000|6662000000|384000000|40000000|6278000000|6506000000|6702000000|7902000000|6278000000|JNJ
2021-03-31|USD|15258000000|22258000000|13762000000|7063000000|5394000000|5432000000|3178000000|9864000000|15000000|-63000000|15000000|63000000|22321000000|882000000||1200000000|7429000000|1232000000|63000000|6197000000|6111000000|7492000000|8692000000|6197000000|JNJ
2020-12-31|USD|14661000000|22179000000|15666000000|7814000000|2751000000|6457000000|4069000000|11910000000|13000000|-87000000|13000000|87000000|22266000000|-2354000000||1300000000|1647000000|-91000000|87000000|1738000000|1434000000|1734000000|3034000000|1738000000|JNJ
2020-09-30|USD|14110000000|21038000000|13671000000|6972000000|4433000000|5431000000|2978000000|9677000000|12000000|-44000000|12000000|44000000|21082000000|-1200000000||1200000000|4401000000|847000000|44000000|3554000000|4149000000|4445000000|5645000000|3554000000|JNJ
2020-06-30|USD|11757000000|18291000000|12733000000|6579000000|2890000000|4993000000|2713000000|8867000000|19000000|-45000000|19000000|45000000|18336000000|-24000000||1100000000|3940000000|314000000|45000000|3626000000|4336000000|3985000000|5085000000|3626000000|JNJ
2020-03-31|USD|13629000000|20666000000|13434000000|7062000000|4655000000|5203000000|2580000000|8974000000|67000000|-25000000|67000000|25000000|20691000000|679000000||1100000000|6509000000|713000000|25000000|5796000000|5444000000|6534000000|7634000000|5796000000|JNJ
2019-12-31|USD|13613000000|20747000000|341000000|7134000000|13008000000|6039000000|3232000000|605000000|81000000|-85000000|81000000|85000000|20747000000|-16000000||1200000000|4218000000|208000000|85000000|4218000000|4218000000|4303000000|5503000000|4010000000|JNJ
2019-09-30|USD|13862000000|20681000000|13410000000|6867000000|4720000000|5374000000|2599000000|9142000000|89000000|-48000000|89000000|48000000|20729000000|-4214000000||1100000000|1647000000|-106000000|48000000|1753000000|1189000000|1695000000|2795000000|1753000000|JNJ
2019-06-30|USD|13622000000|20479000000|13643000000|6940000000|4253000000|5546000000|2666000000|9369000000|88000000|-83000000|88000000|83000000|20562000000|1683000000||1100000000|7041000000|1434000000|83000000|5607000000|6155000000|7124000000|8224000000|5607000000|JNJ
2019-03-31|USD|13406000000|19919000000|13883000000|6615000000|2393000000|5219000000|3748000000|11013000000|99000000|-102000000|99000000|102000000|20021000000|22000000||1100000000|4422000000|673000000|102000000|3749000000|3454000000|4524000000|5624000000|3749000000|JNJ
2018-12-31|USD|13433000000|20394000000|227000000|6961000000|11918000000|5991000000|3224000000|1515000000|196000000|-250000000||250000000|20394000000|-978000000||1100000000|3122000000|80000000|250000000|1222000000|1222000000|3372000000|4472000000|3042000000|JNJ
2018-09-30|USD|13759000000|20105000000|12220000000|6589000000|4494000000|5543000000|3634000000|9265000000|175000000|-243000000||243000000|20348000000|-3000000||1100000000|4423000000|489000000|243000000|3934000000|4064000000|4666000000|5766000000|3934000000|JNJ
