fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|1855390000|3076851000|1221461000|1221461000|942052000|267081000|346157000|913338000||-74981000||74981000|3076851000|44458000||58900000|972529000|148002000|74981000|824527000|803645000|942052000|1000952000|824527000|KLAC
2024-09-30|USD|1686392000|2833823000|1147431000|1147431000|1052552000|251042000|323145000|633840000||-82171000||82171000|2833823000|40935000||56753000|1078687000|132836000|82171000|945851000|969422000|1052552000|1109305000|945851000|KLAC
2024-06-30|USD|1777019000|2787570000|1010551000|974055000|1119617000|255106000|325759000|657402000||77852000||82836000|2559256000|50560000||58837000|945043000|108597000|82836000|836446000|828891000|1119617000|1178454000|836446000|KLAC
2024-03-31|USD|1285964000|2279849000|993885000|963169000|596621000|237514000|321590000|689343000||-79981000||79981000|2359830000|45622000||57765000|702008000|100467000|79981000|601541000|592285000|781989000|839754000|601541000|KLAC
2023-12-31|USD|1435778000|2412524000|976746000|976746000|598450000|237244000|320418000|837328000||-74202000||74202000|2486726000|32154000||59366000|691270000|108736000|74202000|582534000|599708000|765472000|824838000|582534000|KLAC
2023-09-30|USD|1365861000|2312752000|946891000|946891000|751098000|239645000|311214000|614763000||-74234000||74234000|2386986000|26739000||63304000|851711000|110336000|74234000|741375000|728278000|925945000|989249000|741375000|KLAC
2023-06-30|USD|1264001000|2226950000|962949000|962949000|623278000|250857000|317110000|640723000||-73491000||73491000|2319477000|24776000||64656000|775506000|90852000|73491000|684654000|683604000|848997000|913653000|684654000|KLAC
2023-03-31|USD|1358739000|2364085000|1005346000|1005346000|707837000|238393000|328276000|650902000||-74774000||74774000|2432608000|14864000||65133000|800683000|102846000|74774000|697837000|711648000|875457000|940590000|697837000|KLAC
2022-12-31|USD|1711863000|2920649000|1208786000|1208786000|1069736000|243096000|332826000|642127000||-74280000||74280000|2983887000|18074000||65605000|1142973000|164178000|74280000|978795000|988534000|1217253000|1282858000|978795000|KLAC
2022-09-30|USD|1624178000|2665404000|1041226000|1041226000|961058000|253980000|318515000|633433000||-74395000||74395000|2739042000|47006000||65225000|1069954000|43963000|87681000|1026065000|994621000|1144349000|1209574000|1025991000|KLAC
2022-06-30|USD|1471642000|2450206000|978564000|978564000|873592000|236778000|296881000|598050000||-44197000||44197000|2497483000|19380000||64291000|949675000|144301000|44197000|805398000|849436000|993872000|1058163000|805374000|KLAC
2022-03-31|USD|1361092000|2253183000|892091000|892091000|801695000|216489000|285189000|559397000||-39978000||39978000|2288676000|-8644000||57719000|846197000|115625000|39978000|730660000|735518000|886175000|943894000|730572000|KLAC
2021-12-31|USD|1406880000|2315042000|908162000|908162000|874326000|213479000|265031000|532554000||-37852000||37852000|2352630000|-1201000||53544000|926832000|209388000|37852000|717517000|719009000|964684000|1018228000|717444000|KLAC
2021-09-30|USD|1216342000|2029966000|813624000|813624000|710884000|193261000|258153000|505458000||-38312000||38312000|2068199000|-14140000||53544000|766280000|-302137000|38312000|1068485000|1065930000|804592000|858136000|1068417000|KLAC
2021-06-30|USD|1153230000|1925471000|772241000|772241000|1153230000|192022000|241428000|487028000||-39970000||39970000|1925471000|29033000||52278000|708763000|75785000|39970000|1153230000|627894000|748733000|801011000|632978000|KLAC
2021-03-31|USD|1094144000|1803773000|709629000|709629000|578168000|183040000|238957000|477301000||-39092000||39092000|1803773000|7348000||52404000|640729000|73233000|39092000|567170000|569727000|679821000|732225000|567496000|KLAC
2020-12-31|USD|981137000|1650870000|669733000|669733000|475938000|181909000|229064000|466643000||-38880000||38880000|1650870000|-3882000||51070000|527670000|70419000|38880000|456983000|463993000|566550000|617620000|457251000|KLAC
