fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|2393000000|3987000000|1594000000|1239000000|1108000000|182000000||191000000||-442000000|||3541000000|10000000||160000000|864000000|197000000||694000000|747000000|1108000000|1268000000|667000000|KMI
2024-09-30|USD|2487000000|3699000000|1212000000|1024000000|1015000000|176000000||181000000||-466000000|||3296000000|16000000||12000000|738000000|113000000||651000000|712000000|1015000000|1027000000|625000000|KMI
2024-06-30|USD|2413000000|3572000000|1159000000|967000000|1038000000|179000000||184000000||-464000000||464000000|3197000000|1000000||13000000|743000000|168000000||602000000|589000000|1038000000|1051000000|575000000|KMI
2024-03-31|USD|2548000000|3842000000|1294000000|1107000000|1223000000|175000000||180000000||-472000000||472000000|3383000000|0||12000000|955000000|209000000||773000000|687000000|1223000000|1235000000|746000000|KMI
2023-12-31|USD|2240000000|4038000000|1798000000|1347000000|1101000000|171000000||225000000||-452000000||452000000|3609000000|-44000000||214000000|800000000|206000000||618000000|795000000|1101000000|1315000000|594000000|KMI
2023-09-30|USD|2340000000|3907000000|1567000000|1405000000|938000000|162000000||176000000||-457000000|223000000|454000000|3506000000|3000000||18000000|677000000|145000000||555000000|404000000|938000000|956000000|532000000|KMI
2023-06-30|USD|2361000000|3501000000|1140000000|971000000|1030000000|169000000||179000000||-443000000|235000000|360000000|3168000000|2000000||19000000|754000000|168000000||610000000|637000000|1030000000|1049000000|586000000|KMI
2023-03-31|USD|2507000000|3888000000|1381000000|1215000000|1194000000|166000000||179000000||-445000000|280000000|302000000|3542000000|2000000||17000000|875000000|196000000||703000000|740000000|1194000000|1211000000|679000000|KMI
2022-12-31|USD|2111000000|4579000000|2468000000|1961000000|1104000000|167000000||862000000||-426000000|187000000|414000000|4083000000|-8000000||554000000|868000000|198000000||693000000|631000000|1104000000|1656000000|670000000|KMI
2022-09-30|USD|2298000000|5177000000|2879000000|2717000000|931000000|162000000||874000000||-399000000|204000000|399000000|4890000000|21000000||551000000|710000000|134000000||595000000|805000000|931000000|1473000000|576000000|KMI
2022-06-30|USD|2316000000|5151000000|2835000000|2683000000|1006000000|152000000||815000000||-355000000|173000000|355000000|4992000000|23000000||543000000|819000000|184000000||653000000|717000000|1006000000|1538000000|635000000|KMI
2022-03-31|USD|2243000000|4293000000|2050000000|1894000000|1024000000|156000000||741000000||-333000000|146000000|333000000|4089000000|19000000||538000000|861000000|194000000||684000000|404000000|1024000000|1552000000|667000000|KMI
2021-12-31|USD|322000000|4425000000|4103000000|1989000000|950000000|165000000||823000000||-370000000|171000000|373000000|3645000000|18000000||540000000|758000000|121000000||654000000|868000000|950000000|1512000000|637000000|KMI
2021-09-30|USD|2091000000|3824000000|1733000000|1559000000|844000000|174000000||788000000||-368000000|199000000|368000000|3615000000|21000000||526000000|629000000|134000000||511000000|462000000|844000000|1374000000|495000000|KMI
2021-06-30|USD|2054000000|3150000000|1096000000|936000000|-764000000|160000000||742000000||-377000000|220000000|377000000|2906000000|20000000||528000000|-994000000|-237000000||-740000000|-879000000|-764000000|1366000000|-757000000|KMI
2021-03-31|USD|3046000000|5211000000|2165000000|2009000000|1886000000|156000000||670000000||-377000000|311000000|377000000|5701000000|223000000||541000000|1760000000|351000000||1425000000|1329000000|1886000000|2423000000|1409000000|KMI
2020-12-31|USD|1790000000|3115000000|1325000000|786000000|980000000|187000000||793000000||-381000000|163000000|382000000|2766000000|24000000||528000000|784000000|177000000||623000000|455000000|980000000|1710000000|607000000|KMI
2020-09-30|USD|2111000000|2919000000|808000000|655000000|819000000|153000000||796000000||-383000000|189000000|383000000|2515000000|14000000||539000000|595000000|140000000||472000000|399000000|819000000|1380000000|455000000|KMI
2020-06-30|USD|1964000000|2560000000|596000000|441000000|-282000000|155000000||761000000||-395000000|219000000|395000000|2154000000|16000000||532000000|-533000000|104000000||-624000000|-774000000|-282000000|1255000000|-637000000|KMI
2020-03-31|USD|2290000000|3106000000|816000000|663000000|43000000|153000000||773000000||-436000000|244000000|436000000|2686000000|2000000||565000000|-246000000|60000000||-291000000|-35000000|43000000|1579000000|-306000000|KMI
2019-12-31|USD|2206000000|3352000000|1146000000|776000000|1931000000|134000000||813000000||-442000000|867000000|442000000|3013000000|40000000||236000000|1065000000|455000000||627000000|661000000|1931000000|2167000000|610000000|KMI
2019-09-30|USD|2277000000|3214000000|937000000|762000000|951000000|154000000||822000000||-447000000|274000000|447000000|2953000000|12000000||21000000|657000000|151000000||517000000|570000000|951000000|972000000|506000000|KMI
2019-06-30|USD|2270000000|3214000000|944000000|777000000|973000000|148000000||794000000||-452000000|291000000|452000000|2971000000|13000000||19000000|666000000|148000000||528000000|578000000|973000000|992000000|518000000|KMI
2019-03-31|USD|2306000000|3429000000|1123000000|948000000|1018000000|154000000||752000000||-460000000||460000000|3172000000|10000000||21000000|728000000|172000000||567000000|378000000|1018000000|1039000000|556000000|KMI
2018-12-31|USD|2235000000|3781000000|1546000000|1199000000|1058000000|110000000||750000000||-461000000||461000000|3387000000|17000000||237000000|767000000|273000000||502000000|659000000|1058000000|1295000000|494000000|KMI
2018-09-30|USD|2207000000|3517000000|1310000000|1135000000|1515000000|154000000||800000000||-473000000||473000000|3353000000|20000000||21000000|928000000|196000000||1005000000|927000000|1515000000|1536000000|732000000|KMI
2018-06-30|USD|1519000000|3428000000|1909000000|1068000000|272000000|164000000||781000000||-516000000||516000000|3317000000|34000000||24000000|-187000000|-46000000||-130000000|-164000000|272000000|296000000|-141000000|KMI
2018-03-31|USD|2194000000|3418000000|1224000000|1019000000|949000000|173000000||792000000||-467000000||467000000|3418000000|36000000||32000000|688000000|164000000||542000000|507000000|949000000|981000000|524000000|KMI
2017-12-31|USD|2076000000|3632000000|1556000000|1207000000|808000000|175000000||1011000000||-445000000||445000000||26000000||236000000|310000000|1316000000||-992000000|-1078000000|808000000|1044000000|-1006000000|KMI
2017-09-30|USD|2066000000|3281000000|1215000000|1007000000|826000000|164000000||751000000||-459000000||459000000||28000000||15000000|533000000|160000000||387000000|387000000|826000000|841000000|373000000|KMI
2017-06-30|USD|2110000000|3368000000|1258000000|1070000000|918000000|153000000||689000000||-463000000||463000000||24000000||15000000|592000000|216000000||383000000|435000000|918000000|933000000|376000000|KMI
2017-03-31|USD|2141000000|3424000000|1283000000|1061000000|977000000|181000000||694000000||-465000000||465000000||19000000||15000000|686000000|246000000||445000000|508000000|977000000|992000000|440000000|KMI
2016-12-31|USD|1909000000|3389000000|1480000000|975000000|900000000|119000000||678000000||-422000000||422000000|389000000|36000000||237000000|382000000|173000000||215000000|105000000|900000000|1137000000|209000000|KMI
2016-09-30|USD|2097000000|3330000000|1233000000|971000000|882000000|171000000||747000000||-472000000||472000000|-356000000|12000000||15000000|189000000|377000000||-183000000|-191000000|882000000|897000000|-188000000|KMI
2016-06-30|USD|2187000000|3144000000|957000000|752000000|940000000|189000000||792000000||-471000000||471000000|12000000|17000000||16000000|585000000|213000000||375000000|232000000|940000000|956000000|372000000|KMI
2016-03-31|USD|2006000000|3195000000|1189000000|731000000|816000000|190000000||755000000||-441000000||441000000|0|13000000||14000000|469000000|154000000||314000000|362000000|816000000|830000000|315000000|KMI
2015-12-31|USD|1762000000|3636000000|1874000000|834000000|-244000000|150000000||780000000||-527000000||527000000||10000000||233000000|-652000000|43000000||-736000000|-828000000|-244000000|-11000000|-695000000|KMI
2015-09-30|USD|2041000000|3707000000|1666000000|1106000000|721000000|160000000||772000000||-540000000||540000000||9000000||13000000|294000000|108000000||183000000|149000000|721000000|734000000|186000000|KMI
2015-06-30|USD|2141000000|3463000000|1322000000|1085000000|892000000|164000000||754000000||-472000000||472000000||11000000||14000000|522000000|189000000||342000000|235000000|892000000|906000000|333000000|KMI
2015-03-31|USD|2202000000|3597000000|1395000000|1090000000|1078000000|216000000||721000000||-512000000||489000000||13000000||12000000|653000000|224000000||419000000|253000000|1078000000|1090000000|429000000|KMI
2014-12-31|USD|1992000000|3951000000|1959000000|1383000000|956000000|149000000||2273000000||-478000000||478000000||24000000||155000000|150000000|24000000||566000000|103000000|956000000|1111000000|126000000|KMI
2014-09-30|USD|2502000000|4291000000|1789000000|1642000000|1332000000|135000000||147000000||-432000000||432000000||30000000||12000000|575000000|246000000||779000000|347000000|1332000000|1344000000|329000000|KMI
2014-06-30|USD|2162000000|3937000000|1775000000|1610000000|1013000000|154000000||165000000||-440000000||440000000||13000000||11000000|462000000|178000000||497000000|278000000|1013000000|1024000000|284000000|KMI
2014-03-31|USD|2222000000|4047000000|1825000000|1643000000|1147000000|172000000||182000000||-448000000||448000000||13000000||10000000|487000000|200000000||601000000|249000000|1147000000|1157000000|287000000|KMI
