fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-11-30|USD|677646000|6223371000|5545725000|43500000|17175000|575764000||660471000||276000000|301418000|25418000|6223400000|||64507000|166472000|41031000|6589000|125441000|131211000|191890000|256397000|125441000|KMX
2024-08-31|USD|760467000|7013529000|6253062000|42600000|66704000|610562000||693763000||270800000|297821000|27021000|7013500000|||63901000|177844000|45035000|6920000|132809000|80188000|204865000|268766000|132809000|KMX
2024-05-31|USD|791895000|7113397000|6321502000|42000000|72248000|638578000||722192000||270200000|301562000|31362000|7110855000|||61869000|206640000|54200000|6671000|152440000|154839000|238002000|299871000|152440000|KMX
2024-02-29|USD|586191000|5626603000|5040412000|40400000|-75163000|580885000|52900000|662072000||259200000|290634000|31434000|5625882000|||61169000|65511000|15243000|31434000|50268000|48880000|96945000|158114000|50268000|KMX
2023-11-30|USD|612863000|6148538000|5535675000|39700000|-27122000|559962000||639985000||256700000|287965000|31265000|6148500000|||60623000|110558000|28555000|31265000|82003000|64073000|141823000|202446000|82003000|KMX
2023-08-31|USD|696765000|7073836000|6377071000|40200000|32954000|585694000||663811000||264900000|296485000|31585000|7073800000|||58817000|158286000|39651000|31585000|118635000|135902000|189871000|248688000|118635000|KMX
2023-05-31|USD|817390000|7687063000|6869673000|39600000|180234000|559837000||640132000||257900000|288366000|30466000|7684124000|1214000||58419000|307240000|78942000|30466000|228298000|191759000|337706000|396125000|228298000|KMX
2023-02-28|USD|610979000|5722493000|5111514000|40100000|-39602000|572849000|13225000|646475000||262000000|290728000|28728000|5726606000|||57732000|82634000|13622000|28728000|69012000|109461000|111362000|169094000|69012000|KMX
2022-11-30|USD|576688000|6505956000|5929268000|38800000|-91116000|591727000||667804000||276600000|306750000|30150000|6506000000|363000||57377000|49993000|12413000|30150000|37580000|63001000|80143000|137520000|37580000|KMX
2022-08-31|USD|737145000|8144803000|7407658000|36300000|-3188000|666041000||740333000||294700000|327445000|32745000|8144800000|||57692000|167575000|41670000|32745000|125905000|152012000|200320000|258012000|125905000|KMX
2022-05-31|USD|875391000|9311621000|8436230000|35600000|145903000|656740000||734830000||297900000|326675000|28775000|9306258000|-2099000||55648000|336602000|84337000|28775000|252265000|304579000|365377000|421025000|252265000|KMX
2022-02-28|USD|710989000|7686695000|6975706000|35400000|16405000|620935000|5668000|702253000||283600000|310448000|26848000|7679031000|0||54849000|201247000|41411000|26848000|159836000|213715000|228095000|282944000|159836000|KMX
2021-11-30|USD|836560000|8527759000|7691199000|34300000|187002000|575930000||649558000||276400000|300703000|24303000|8527800000|0||54428000|355961000|86523000|24303000|269438000|281480000|380264000|434692000|269438000|KMX
2021-08-31|USD|815484000|7988359000|7172875000|27900000|173109000|574286000||642375000||263500000|285910000|22410000|7988400000|0||52789000|367814000|82547000|22410000|285267000|288678000|390224000|443013000|285267000|KMX
