fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-11-30|USD|10073550000|9946888000|-126662000|7682377000|10184949000|-111399000||-134808000||||-259000|24234000|||29373000|1454272000|358058000|-259000|1099874000|1096703000|1454013000|1466672000|1096214000|LEN
2024-08-31|USD|9251370000|9416042000|164672000|0|9086698000|164672000||164672000||-71000||71000|1843000|||29373000|1510533000|347859000|71000|1187274000|1163118000|1510604000|1336947000|1162674000|LEN
2024-05-31|USD|8608610000|8765592000|156982000|13742000|8451628000|156982000||156982000||-297000||297000|10914000|||28607000|1254782000|300471000|-528000|960586000|955666000|1255079000|1261258000|954311000|LEN
2024-02-29|USD|7154088000|7312930000|158842000|1521000|6996767000|157321000||154650000||-39000||39000|2671000|||27139000|930199000|210865000|39000|719921000|719696000|930238000|903440000|719334000|LEN
2023-11-30|USD|11008509000|10968183000|-40326000|31561000|11029991000|-58282000||-21482000||-543000||543000|9611000|||29018000|1778067000|416780000|-2190000|1367289000|1362126000|1778610000|1912639000|1361287000|LEN
2023-08-31|USD|8615459000|8729603000|114144000|6597000|8501315000|114144000||114144000||503000||-503000|3289000|||37107000|1467205000|358209000|-6657000|1116952000|1109204000|1466702000|1504984000|1108996000|LEN
2023-05-31|USD|7920399000|8045151000|124752000|6710486000|7795647000|124752000||124752000||853000||-853000|3726000|||6048000|1152573000|280879000|-1577000|877742000|872267000|1151720000|1184416000|871694000|LEN
2023-02-28|USD|838000|6490429000|138353000|5534390000|838000|126106000||122380000||838000||-838000|0|-1892000||20305000|781679000|185145000|-838000|599308000|597385000|780841000|867546000|596534000|LEN
2022-11-30|USD|-282580000|45000|283476000|7356155000|-568766000|-48239000||286141000||851000||-851000|45000|-373744000||29154000|1737233000|414789000|-851000|1343934000|1322762000|1736382000|1999701000|1322444000|LEN
2022-08-31|USD|8818874000|8934431000|115557000|6373053000|8703317000|115557000||115557000||353000||-353000|0|-92722000||18402000|1818924000|351580000|-353000|1472694000|1467686000|1818571000|2063054000|1467344000|LEN
2022-05-31|USD|-105207000|8358696000|105207000|6384772000|-210414000|105207000||105207000||469000||-469000|7572000|-75245000||19430000|1753032000|432276000|-469000|1322558000|1320818000|1752563000|1963231000|1320756000|LEN
2022-02-28|USD|6089855000|6203516000|113661000|4996952000|802934000|113661000||113661000||490000||-490000|0|-800263000||20089000|671001000|167420000|-490000|509315000|506608000|802934000|1500611000|503581000|LEN
2021-11-30|USD|8257169000|8433560000|176391000|0|21597216000|176391000||167309000||518000||-518000|11286000|-110391000||20109000|1577646000|387155000|-2722000|1193650000|1190450000|1577128000|1598624000|1190491000|LEN
2021-08-31|USD|6846461000|6941403000|94942000|0|1924495000|94942000||94942000||1539000||-1539000|0|492023000||21102000|1812024000|405136000|-1539000|1409218000|1407019000|1924495000|861609000|1406888000|LEN
2021-05-31|USD|6339528000|6430245000|90717000|5228150000|1202095000|90717000||90717000||2357000||-2357000|17429000|-123620000||22418000|1091476000|260113000|-2357000|836772000|831679000|1202095000|1125871000|831363000|LEN
2021-02-28|USD|5214937000|5325468000|110531000|3941213000|1449859000|110531000||109364000||2361000||-2361000|1167000|474823000||22325000|1311474000|310105000|-2361000|1016909000|1000427000|1449859000|406057000|1001369000|LEN
2020-11-30|USD|1574242000|6825890000|5251648000|4447000|1260105000|168059000||175279000||6143000||-6143000|-15217000|24264000||25782000|1156497000|273737000|1854000|1164646000|882118000|1260105000|1164646000|882760000|LEN
2020-08-31|USD|1262550000|5870254000|4607704000|8292000|951674000|92661000||92661000||4793000||-4793000|-1941000|-43638000||24307000|856108000|189690000|-4793000|669323000|666593000|951674000|5011241000|666418000|LEN
2020-05-31|USD|1062310000|5287373000|4225063000|12128000|760028000|83451000||83451000||6896000||-6896000|10216000|37766000||24050000|677885000|160479000|-6896000|516098000|516616000|760028000|589765000|517406000|LEN
2020-02-29|USD|848988000|4505337000|3656349000|19944000|510399000|86847000||83937000||6943000||-6943000|7571000|-18482000||20414000|430781000|32329000|-6943000|391223000|398406000|510399000|429418000|398452000|LEN
2019-11-30|USD|1385859000|6971531000|5585672000|600000|981729000|177343000||164523000||6369000||-6369000|6151000|24585000||28378000|891807000|217503000|-6369000|888686000|674395000|981729000|890450000|674304000|LEN
2019-08-31|USD|1085633000|5857058000|4771425000|4671366000|759698000|92615000||92615000||6506000||-6506000|4925000|29569000||22836000|667806000|154440000|-6506000|512643000|513546000|759698000|648357000|513366000|LEN
2019-05-31|USD|1038587000|5562890000|4524303000|4451446000|635512000|76113000||76113000||6287000||-6287000|0|-77402000||22624000|562002000|140530000|-6287000|418869000|421857000|635512000|599609000|421472000|LEN
2019-02-28|USD|726079000|3868082000|3142003000|3122715000|398467000|79343000||79343000||7048000||-7048000|10865000|-14506000||18362000|319610000|79700000|-7048000|239424000|240118000|398467000|322765000|239910000|LEN
2018-11-30|USD|1274241000|6459210000|5184969000|1900000|1237035000|166963000||173489000||5794000||-5794000|6392000|246312000||24467000|1034449000|238301000|-5794000|1036528000|796397000|1237035000|503904000|796148000|LEN
2018-08-31|USD|1057903000|5672569000|4614666000|11800000|565918000|96346000||108338000||5766000||-5766000|0|-4827000||25284000|551509000|98298000|-5766000|467620000|452935000|565918000|594729000|453211000|LEN
2018-05-31|USD|840042000|5459061000|4619019000|10700000|390810000|84915000||108790000||12024000||-12024000|4900000|9481000||21860000|386218000|75961000|-12024000|314849000|309542000|390810000|429079000|310257000|LEN
2018-02-28|USD|516628000|2980791000|2464163000|6900000|269428000|67810000||171798000||-40000||40000|165087000|158706000||19570000|268826000|132611000|40000|136817000|135557000|269428000|319112000|136215000|LEN
2017-11-30|USD|747502000|3785569000|3038067000|400000|547539000|132556000||122217000||-4233000||4233000|10339000|19533000||19417000|473791000|164201000|4233000|461983000|309373000|547539000|547539000|309590000|LEN
2017-08-31|USD|650411000|3261476000|2611065000|0|441245000|72860000||72860000||-2020000||2020000|0|-6708000||17489000|373960000|124795000|2020000|243590000|249330000|441245000|375093000|249165000|LEN
2017-05-31|USD|616875000|3261892000|2645017000|2593538000|376374000|66774000||66774000||-1927000||1927000|0|-23625000||17675000|322537000|108892000|1927000|200708000|214068000|376374000|333225000|213645000|LEN
2017-02-28|USD|419165000|2337428000|1918263000|1884488000|110342000|60699000||60699000||-3132000||3132000|0|1416000||11743000|58049000|19969000|3132000|29674000|39052000|110342000|188227000|38080000|LEN
2016-11-30|USD|683519000|3376626000|2693107000|2615654000|529307000|108828000||106930000||-1303000||1303000|1898000|44308000||14434000|464362000|150909000|1303000|461379000|312021000|465665000|462682000|313453000|LEN
2016-08-31|USD|551676000|2833894000|2282218000|2220409000|400722000|61164000||61164000||-973000||973000|11405000|-6998000||13033000|342269000|106427000|973000|233131000|236450000|343242000|340531000|235842000|LEN
2016-05-31|USD|561523000|2745815000|2184292000|2142785000|383641000|55802000||55802000||-1193000||1193000|-415000|11239000||12675000|322270000|103801000|1193000|224038000|219382000|323463000|329032000|218469000|LEN
2016-02-29|USD|398946000|1993664000|1594718000|1577309000|249361000|47668000||53644000||-5934000|-4777000|1157000|0|24183000||10077000|200321000|56241000|5934000|145452000|143643000|201478000|202850000|144080000|LEN
2015-11-30|USD|651066000|2945567000|2294501000|8100000|498394000|113757000||127046000||-194339000|-192586000|1753000|8258000|34505000||13216000|421446000|139843000|197971000|432505000|281829000|423199000|434258000|281603000|LEN
2015-08-31|USD|531362000|2491698000|1960336000|5800000|377152000|56494000||56494000||-2812000||2812000|0|25894000||11544000|318933000|95621000|2812000|225037000|222912000|321745000|323470000|223312000|LEN
2015-05-31|USD|495854000|2392604000|1896750000|1862061000|330017000|50207000||50207000||-3818000||3818000|527000|13400000||10600000|278242000|95226000|3818000|184584000|182899000|282060000|283628000|183016000|LEN
2015-02-28|USD|324772000|1644139000|1319367000|1296863000|220297000|43654000||50126000||-9488000|-5417000|4071000|-6472000|31385000||8306000|174689000|59726000|9488000|116917000|115163000|178760000|180714000|114963000|LEN
2014-11-30|USD|2583938000|2583938000|141405000|1945505000|435603000|102863000||141405000||-154040000|-164988000|-10948000|4555000|4600000||11381000|370595000|125272000|154040000|377943000|245389000|435603000|383135000|245323000|LEN
