fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-10-27|USD|1401606000|2396660000|1905999000|995054000|490661000|909827000||910945000|||||2396660000|13743000||1118000|504404000|152534000||351870000|341885000|490661000|491779000|351870000|LULU
2024-07-28|USD|1412185000|2371078000|1830852000|958893000|540226000|871959000||871959000|||||2371078000|17994000||103573000|558220000|165298000||392922000|378185000|540226000|643799000|392922000|LULU
2024-04-28|USD|1275068000|2209207000|1776249000|933823000|432642000|842426000||842426000|||||2209207000|23283000||95759000|455925000|134504000||321421000|290597000|432642000|528401000|321421000|LULU
2024-01-28|USD|1903425000|3202075000|2291213000|1301678000|913890000|989535000||989535000|||||3202075000|17830000||0|931720000|262252000||669468000|721042000|913890000|913890000|669468000|LULU
2023-10-29|USD|1256664000|2204218000|1791602000|947554000|338115000|842795000||844048000|||||2204218000|9842000||1253000|347957000|99243000||248714000|172726000|338115000|339368000|248714000|LULU
2023-07-30|USD|1298511000|2209165000|1729908000|910654000|479257000|817375000||819254000|||||2209165000|7362000||1879000|486619000|145016000||341603000|379375000|479257000|481136000|341603000|LULU
2023-04-30|USD|1150805000|2001513000|1599378000|849987000|401414000|747513000||749391000||||8025000|2001513000|8025000||1878000|409439000|119034000||290405000|265375000|401414000|403292000|290405000|LULU
2023-01-29|USD|1527619000|2791285000|475677000|1244219000|314426000|803107000||412749000||||20814000|2791285000|3709000||2221000|318135000|198324000||-888426000|159034000|314426000|316647000|119811000|LULU
2022-10-30|USD|1038852000|1856889000|1504462000|818037000|352427000|684236000||686425000||||331000|1856889000|331000||2189000|352758000|97288000||255470000|175946000|352427000|354616000|255470000|LULU
2022-07-31|USD|1055476000|1868328000|1477300000|812852000|401208000|662253000||654268000||||20505000|1868328000|145000||2195000|401353000|111832000||289521000|293947000|401208000|403403000|289521000|LULU
2022-05-01|USD|870393000|1623841000|1353116000|743070000|260347000|607851000||610046000||||22000|1623841000|-22000||2195000|260325000|70327000||189998000|169206000|260347000|262542000|189998000|LULU
2022-01-30|USD|1236172000|2144349000|1539687000|892941000|590556000|641959000||646746000||||79530000|2144349000|176000||2197000|590732000|156228000||434504000|385352000|590556000|592753000|434504000|LULU
2021-10-31|USD|829393000|1450421000|1192802000|621028000|257947000|545124000||571774000||||48239000|1450421000|15000||2195000|257962000|70174000||187788000|198062000|257947000|260142000|187788000|LULU
2021-08-01|USD|842686000|1450618000|1160622000|607932000|291031000|541317000||552690000||||16190000|1450618000|96000||2195000|291127000|83053000||208074000|184554000|291031000|293226000|208074000|LULU
2021-05-02|USD|700314000|1204950000|1033140000|526151000|193821000|496634000||506989000||||15101000|1204950000|227000||2195000|194048000|49092000||144956000|188592000|193821000|196016000|144956000|LULU
2021-01-31|USD|1012734000|1715223000|1271928000|716815000|457906000|544831000||555113000||||39740000|1715223000|-886000||2195000|457020000|127183000||329837000|381298000|457906000|460101000|329837000|LULU
2020-11-01|USD|627354000|1117426000|913523000|490072000|204920000|411708000||423451000||||17642000|1117426000|-580000||2195000|204340000|60697000||143643000|145912000|204920000|207115000|143643000|LULU
2020-08-02|USD|489501000|902942000|785734000|413441000|124409000|352881000||372293000||||23272000|902942000|-344000||747000|124065000|37264000||86801000|141101000|124409000|125156000|86801000|LULU
2020-05-03|USD|334402000|657631000|621256000|317560000|32751000|299583000||303696000||||1174000|657631000|1174000||23000|33925000|5293000||28632000|-31972000|32751000|32774000|28632000|LULU
2020-02-02|USD|810826000|1396041000|981004000|586665000|416487000|394339000||394339000||||6154000|1396041000|2129000||22000|418616000|120595000||298021000|291577000|416487000|416509000|298021000|LULU
2019-11-03|USD|505044000|916138000|740309000|411094000|175829000|329208000||329215000||||1925000|916138000|1925000||7000|177754000|51772000||125982000|135862000|175829000|175836000|125982000|LULU
2019-08-04|USD|485796000|883352000|715370000|397556000|167982000|317814000||317814000||||1850000|883352000|1850000||37599000|169832000|44842000||124990000|129504000|167982000|205581000|124990000|LULU
2019-05-05|USD|421720000|782315000|653503000|360595000|128812000|292908000||292908000||||2379000|782315000|2379000||32823000|131191000|34588000||96603000|80880000|128812000|161635000|96603000|LULU
2019-02-03|USD|668583000|1167458000|836038000|498875000|331420000|337163000||337163000||||6553000|1167458000|2861000||35369000|334281000|115816000||218465000|213119000|331420000|331420000|218465000|LULU
2018-10-28|USD|406777000|747655000|611752000|340878000|135903000|270874000||270874000||||2044000|747655000|2044000||31686000|137947000|43534000||94413000|87095000|135903000|167589000|94413000|LULU
2018-07-29|USD|396194000|723500000|589292000|327306000|134208000|261986000||261986000||||1591000|723500000|1591000||28656000|135799000|40029000||95770000|77521000|134208000|162864000|95770000|LULU
2018-04-29|USD|344733000|649917000|545401000|304973000|104305000|240428000||240428000||||2918000|211000|2918000||26773000|107223000|32070000||75153000|32181000|104305000|131078000|75153000|LULU
2018-01-28|USD|522511000|928802000|670523000|406291000|256278000|264232000||264232000||||2776000|928802000|1226000||28106000|257504000|137743000||119761000|168277000|256278000|260280000|119761000|LULU
2017-10-29|USD|321962000|621718000|512423000|297056000|85588000|215367000||215367000||||40962000|2700000|1052000||28560000|86640000|27696000||58944000|27926000|85588000|156162000|58944000|LULU
2017-07-30|USD|297422000|579354000|509156000|283632000|68712000|225524000||225524000||||5560000|-1700000|812000||28406000|69524000|20813000||48711000|121565000|68712000|103490000|48711000|LULU
2017-04-30|USD|256895000|526107000|477464000|263412000|45423000|199141000||210734000||||23755000|5800000|907000||23163000|46330000|15084000||31246000|-529000|45423000|93248000|31246000|LULU
2017-01-29|USD|427899000|789940000|593311000|362041000|196629000|231270000||231270000||||857000|-4200000|857000||24056000|197486000|61351000||136135000|152076000|196629000|196629000|136135000|LULU
2016-10-30|USD|278426000|544416000|451441000|265990000|92975000|185451000||185451000||||628000|4300000|628000||23958000|93603000|25318000||68285000|43537000|92975000|116933000|68285000|LULU
2016-07-31|USD|254161000|514520000|440561000|260359000|73959000|180202000||180202000||||578000|5100000|578000||20498000|74537000|20912000||53625000|25573000|73959000|73959000|53625000|LULU
