fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|3284000000|95294000000|94123000000|92010000000|1224000000|2028000000||2060000000||||67000000|95294000000|69000000|58000000|53000000|1177000000|298000000|67000000|928000000|780000000|1244000000|1297000000|879000000|MCK
2024-09-30|USD|3248000000|93651000000|93200000000|90403000000|578000000|2503000000||2670000000||||78000000|93651000000|34000000|61000000|60000000|488000000|247000000|78000000|287000000|264000000|566000000|626000000|241000000|MCK
2024-06-30|USD|3152000000|79283000000|78205000000|76131000000|1029000000|2001000000||2123000000||||75000000|79283000000|130000000|63000000|63000000|1039000000|124000000|75000000|960000000|883000000|1114000000|1177000000|915000000|MCK
2024-03-31|USD|3585000000|76310000000|75439000000|72770000000|1216000000|2189000000||2369000000||-80000000||80000000|76355000000|-64000000|62000000|449000000|1131000000|340000000|80000000|791000000|722000000|1211000000|1660000000|791000000|MCK
2023-12-31|USD|3152000000|80834000000|80318000000|77746000000|642000000|2506000000||2510000000||-64000000||64000000|80898000000|34000000|62000000|62000000|571000000|-18000000|64000000|589000000|664000000|635000000|697000000|589000000|MCK
2023-09-30|USD|3069000000|77154000000|76328000000|74146000000|951000000|2092000000||2118000000||-61000000||61000000|77215000000|26000000|65000000|62000000|877000000|213000000|61000000|664000000|625000000|938000000|1000000000|664000000|MCK
2023-06-30|USD|3022000000|74445000000|73445000000|71461000000|1100000000|1870000000||1922000000||-47000000||47000000|74492000000|38000000|64000000|62000000|1052000000|94000000|38000000|958000000|1015000000|1099000000|1161000000|958000000|MCK
2023-03-31|USD|3066000000|68722000000|68371000000|65844000000|980000000|1964000000||2086000000||-79000000||79000000|68768000000|-187000000|63000000|438000000|893000000|106000000|79000000|787000000|781000000|972000000|1410000000|787000000|MCK
2022-12-31|USD|3174000000|70421000000|69307000000|67316000000|1241000000|1903000000||1933000000||-69000000||69000000|70490000000|276000000|61000000|57000000|1408000000|329000000|69000000|1078000000|1294000000|1477000000|1534000000|1079000000|MCK
2022-09-30|USD|3095000000|70244000000|69099000000|67062000000|1124000000|1950000000||1971000000||-55000000||55000000|70299000000|175000000|63000000|57000000|1197000000|271000000|55000000|932000000|760000000|1252000000|1309000000|926000000|MCK
2022-06-30|USD|3023000000|67109000000|66169000000|64131000000|1036000000|1959000000||1987000000||-45000000||45000000|67154000000|15000000|61000000|56000000|967000000|199000000|45000000|766000000|1354000000|1012000000|1068000000|768000000|MCK
2022-03-31|USD|3318000000|66100000000|67359000000|62784000000|633000000|2531000000||2685000000||-43000000||43000000|66102000000|-94000000|64000000|498000000|608000000|240000000|43000000|370000000|489000000|651000000|1149000000|368000000|MCK
