fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|2773082000|4183138000|1410056000|2315159000|314857000|1176726000||1410056000||-111873000||111873000|4183138000|93333000||233330000|237148000|52570000|111873000|244164000|338770000|314857000|548187000|184578000|MGM
2024-06-30|USD|2924431000|4327375000|1402944000|2515157000|425656000|1210968000||1402944000||-112739000||112739000|4327375000|-43431000||191976000|175518000|-11554000|112739000|282802000|164645000|425656000|617632000|187072000|MGM
2024-03-31|USD|2893827000|4285071000|1391244000|2557371000|458378000|1194682000|1095000|1409396000||-110037000||110037000|4416395000|-4806000||196562000|261149000|43673000|110037000|299726000|133390000|371186000|567748000|217476000|MGM
2023-12-31|USD|2766871000|4200597000|1433726000|2580672000|419344000|1228429000||1456736000||-106878000||106878000|4269135000|7470000||205297000|253939000|-59521000|106878000|379612000|457972000|360817000|566114000|313460000|MGM
2023-09-30|USD|2467888000|3862013000|1394125000|2097496000|369936000|1192298000||1394125000||-111170000|167732000|111170000|3973183000|-34879000||201827000|173557000|12440000|111170000|211885000|130443000|284727000|486554000|161117000|MGM
2023-06-30|USD|2482369000|3830262000|1347893000|2083896000|371378000|1144390000||1347893000||-111945000|106386000|111945000|3942207000|23693000||203503000|239937000|39141000|111945000|243544000|194045000|351882000|555385000|200796000|MGM
2023-03-31|USD|2410107000|3749148000|1339041000|1996795000|730839000|1135540000|139000|1355174000||-130300000|132484000|130300000|3873296000|46307000||203501000|632586000|165779000|130300000|479883000|470116000|762886000|966387000|466807000|MGM
2022-12-31|USD|864898000|3495076000|2630178000|1852803000|-1896000|1208541000||2646089000||-137132000|138341000|137132000|3592216000|106160000||1421637000|569939000|285937000|137132000|-320014000|352051000|707071000|2128708000|284002000|MGM
2022-09-30|USD|672906000|3290900000|2617994000|1720561000|-1045971000|1212474000||2617994000||-125172000|146167000|125172000|3416072000|-14316000||1405520000|-702197000|-125367000|125172000|-1061087000|-593718000|-577025000|828495000|-576830000|MGM
2022-06-30|USD|4011056000|5406076000|1395020000|1609824000|2381451000|1028765000||1395020000||-136559000|142679000|136559000|3264888000|-43308000||366255000|2356776000|572839000|136559000|1622625000|1777918000|2493335000|2859590000|1783937000|MGM
2022-03-31|USD|1607726000|2673201000|1065475000|1469795000|105788000|776837000||1065728000||-196091000|211224000|196091000|2854309000|34302000||288638000|-54357000|-36341000|196091000|-34793000|-15407000|141734000|430372000|-18016000|MGM
2021-12-31|USD|-873000000|2845260000|873000000|1564989000|368847000|747348000||873000000||-201477000|217247000|201477000|3056892000|-4361000||297031000|162165000|31152000|201477000|-1746000000|131555000|363642000|660673000|131013000|MGM
2021-09-30|USD|1604812000|2507490000|902678000|1392181000|1892782000|623275000||902678000||-200049000|214470000|200049000|2707539000|-49241000||279403000|1632568000|282135000|200049000|1337936000|1346332000|1832617000|2112020000|1350433000|MGM
2021-06-30|USD|1191356000|2065190000|873834000|1145652000|263760000|590209000||873834000||-202772000|219988000|202772000|2267962000|87358000||283625000|139579000|34826000|202772000|90304000|108418000|342351000|625976000|104753000|MGM
2021-03-31|USD|615494000|1452452000|836958000|927787000|-246690000|546407000||839085000||-195295000|211131000|195295000|1647747000|32185000||290551000|-426527000|-94698000|195295000|-335938000|-332083000|-231232000|59319000|-331829000|MGM
2020-12-31|USD|468847000|1304857000|836010000|910660000|-363568000|531170000||831204000||-188679000|211997000|188679000|1493536000|12693000||298697000|-554509000|-106904000|188679000|-455968000|-442353000|-365830000|-67133000|-447605000|MGM
2020-09-30|USD|114456000|952112000|837656000|729517000|-495182000|543293000||837656000||-173808000|197412000|173808000|1125920000|13889000||294363000|-611465000|-76734000|173808000|-601971000|-535071000|-437657000|-143294000|-534731000|MGM
2020-06-30|USD|-659599000|133053000|792652000|374370000|-1034529000|473564000||841652000||-156756000|180517000|156756000|289809000|8321000||299206000|-1127495000|-270238000|156756000|-936487000|-861238000|-970739000|-671533000|-857257000|MGM
2020-03-31|USD|2568164000|3460882000|892718000|1438164000|1250845000|574306000||914698000||-157137000|189758000|157137000|2126074000|-124264000||318290000|1069173000|262304000|283880000|674519000|777121000|1226310000|1544600000|806869000|MGM
2019-12-31|USD|3043136000|3043136000|896535000|1899644000|2960089000|557453000||905349000||-200480000|208465000|200480000|3043136000|-129298000||331438000|2567953000|556376000|142000000|2960089000|2045918000|2768433000|3099871000|2011577000|MGM
2019-09-30|USD|2279226000|3098879000|819653000|1936650000|238381000|494228000||819653000||-215503000|230172000|215503000|3314382000|-9381000||322009000|-44409000|-7276000|215503000|6104000|-57913000|171094000|493103000|-37133000|MGM
