fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|3808000000|6259000000|2464000000|1536000000|3152000000|25000000||38000000||-267000000||267000000|6259000000|||38000000|3026000000|733000000||2293000000|1959000000|3152000000|3190000000|2293000000|MO
2024-06-30|USD|3675000000|6209000000|2900000000|1602000000|2533000000|25000000|53000000|391000000||-261000000||261000000|6209000000|||37000000|5116000000|1313000000||3803000000|3786000000|2533000000|2570000000|3803000000|MO
2024-03-31|USD|3280000000|5322000000|2299000000|1437000000|2674000000|24000000|220000000|27000000||-254000000||254000000|5576000000|||27000000|2739000000|610000000||2129000000|2536000000|2674000000|2701000000|2129000000|MO
2023-12-31|USD|3499000000|5744000000|1934000000|1525000000|2796000000|167000000|220000000|-290000000||-231000000||231000000|5975000000|||41000000|2735000000|675000000||2060000000|1858000000|2796000000|2837000000|2060000000|MO
2023-09-30|USD|3699000000|6009000000|2654000000|1578000000|3089000000|63000000||105000000||-272000000|214000000|272000000|6281000000|||42000000|2908000000|742000000||2166000000|2404000000|3089000000|3131000000|2166000000|MO
2023-06-30|USD|3757000000|6251000000|3100000000|1681000000|2905000000|353000000||380000000||-257000000|130000000|257000000|6508000000|||27000000|2806000000|689000000||2117000000|2187000000|2905000000|2932000000|2117000000|MO
2023-03-31|USD|3329000000|5490000000|2512000000|1434000000|2757000000|135000000||153000000||-229000000|309000000|229000000|5719000000|||18000000|2479000000|692000000||1787000000|1779000000|2757000000|2775000000|1787000000|MO
2022-12-31|USD|3510000000|5885000000|-2027000000|1573000000|2818000000|443000000|162000000|-11000000||-226000000|161000000|296000000|6111000000|||19000000|2704000000|14000000|1128000000|2690000000|2302000000|2818000000|2837000000|2690000000|MO
2022-09-30|USD|3697000000|6279000000|2906000000|1715000000|3112000000|78000000||97000000||-271000000|2649000000|271000000|6550000000|||19000000|407000000|183000000|0|224000000|218000000|3112000000|3131000000|224000000|MO
2022-06-30|USD|3666000000|6263000000|2830000000|1708000000|3105000000|54000000||72000000||-280000000|388000000|280000000|6543000000|-4000000||18000000|1605000000|714000000|0|891000000|1476000000|3105000000|3123000000|891000000|MO
