fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|1433000000|2796000000|1841000000|1357000000|711000000|439000000|234000000|718000000|15000000|-58000000|15000000|73000000|2795000000|42000000|46000000|38000000|694000000|132000000|58000000|563000000|641000000|767000000|805000000|562000000|MSI
2024-06-30|USD|1339000000|2616000000|1759000000|1289000000|644000000|430000000|220000000|690000000|18000000|-69000000|18000000|87000000|2615000000|5000000|47000000|36000000|578000000|135000000|0|445000000|447000000|665000000|701000000|443000000|MSI
2024-03-31|USD|1192000000|1733000000|1643000000|1197000000|519000000|397000000|218000000|664000000|17000000|-61000000|17000000|61000000|1793000000|-565000000|44000000|39000000|-91000000|-52000000|646000000|-38000000|-52000000|-30000000|9000000|-39000000|MSI
2023-12-31|USD|1455000000|2780000000|1886000000|1394000000|738000000|423000000|218000000|967000000|11000000|-63000000||63000000|2841000000|22000000|45000000|38000000|707000000|111000000|63000000|597000000|561000000|770000000|808000000|596000000|MSI
2023-09-30|USD|1280000000|2494000000|1702000000|1276000000|639000000|380000000|215000000|641000000|7000000|-60000000|64000000|60000000|2553000000|7000000|47000000|40000000|591000000|127000000|60000000|465000000|406000000|651000000|691000000|464000000|MSI
2023-06-30|USD|1189000000|2329000000|1651000000|1214000000|518000000|390000000|215000000|652000000|6000000|-63000000|6000000|63000000|2391000000|26000000|44000000|44000000|485000000|114000000|63000000|373000000|411000000|548000000|592000000|371000000|MSI
2023-03-31|USD|1046000000|2101000000|1561000000|1125000000|399000000|368000000|210000000|646000000|9000000|-63000000|9000000|63000000|2162000000|12000000|43000000|55000000|357000000|79000000|63000000|279000000|326000000|420000000|476000000|278000000|MSI
2022-12-31|USD|1351000000|2639000000|1806000000|1356000000|691000000|381000000|202000000|1014000000|6000000|-61000000|59000000|61000000|2699000000|27000000|46000000|64000000|662000000|73000000|61000000|590000000|692000000|723000000|787000000|589000000|MSI
2022-09-30|USD|1031000000|2303000000|1798000000|1342000000|373000000|378000000|197000000|653000000|2000000|-62000000|2000000|62000000|2364000000|19000000|45000000|64000000|332000000|53000000|62000000|280000000|132000000|394000000|458000000|279000000|MSI
2022-06-30|USD|990000000|2070000000|1580000000|1150000000|358000000|356000000|191000000|621000000|3000000|-59000000|3000000|59000000|2127000000|-2000000|47000000|67000000|299000000|71000000|65000000|229000000|121000000|358000000|425000000|228000000|MSI
2022-03-31|USD|857000000|1856000000|1451000000|1035000000|239000000|338000000|188000000|604000000|2000000|-58000000|2000000|58000000|1913000000|34000000|45000000|68000000|218000000|-49000000|58000000|268000000|262000000|276000000|344000000|267000000|MSI
2021-12-31|USD|1183000000|2271000000|1574000000|1137000000|549000000|368000000|189000000|912000000|1000000|-55000000|50000000|55000000|2323000000|22000000|49000000|66000000|517000000|116000000|37000000|402000000|438000000|572000000|638000000|401000000|MSI
2021-09-30|USD|1045000000|2046000000|1475000000|1062000000|451000000|351000000|183000000|596000000|2000000|-58000000|2000000|58000000|2102000000|10000000|49000000|58000000|404000000|97000000|58000000|308000000|279000000|462000000|520000000|307000000|MSI
2021-06-30|USD|952000000|1901000000|1420000000|1019000000|370000000|331000000|181000000|585000000|2000000|-46000000|2000000|46000000|1946000000|14000000|52000000|61000000|339000000|46000000|64000000|294000000|315000000|385000000|446000000|293000000|MSI
2021-03-31|USD|860000000|1724000000|1293000000|913000000|298000000|303000000|180000000|560000000|2000000|-56000000|2000000|56000000|1779000000|45000000|52000000|61000000|288000000|44000000|56000000|245000000|280000000|344000000|405000000|244000000|MSI
2020-12-31|USD|1146000000|2273000000|1470000000|1127000000|555000000|343000000|182000000|525000000|5000000|-58000000|54000000|58000000|2273000000|21000000|52000000|59000000|521000000|109000000|58000000|555000000|399000000|579000000|638000000|412000000|MSI
2020-09-30|USD|909000000|1801000000|1342000000|959000000|352000000|313000000|175000000|558000000|2000000|-60000000|67000000|60000000|1859000000|-42000000|49000000|57000000|250000000|45000000|60000000|206000000|247000000|310000000|367000000|205000000|MSI
2020-06-30|USD|766000000|1554000000|1244000000|852000000|218000000|297000000|161000000|560000000|2000000|-60000000|2000000|60000000|1613000000|16000000|47000000|54000000|175000000|40000000|60000000|136000000|226000000|235000000|289000000|135000000|MSI
2020-03-31|USD|787000000|1654000000|1283000000|868000000|259000000|341000000|168000000|546000000|3000000|-55000000|3000000|55000000|1708000000|17000000|46000000|56000000|223000000|26000000|55000000|198000000|71000000|278000000|334000000|197000000|MSI
2019-12-31|USD|1220000000|2377000000|1525000000|1157000000|590000000|368000000|182000000|550000000|4000000|-59000000|4000000|59000000|2377000000|-343000000|50000000|57000000|194000000|-50000000|109000000|590000000|562000000|253000000|310000000|244000000|MSI
2019-09-30|USD|1007000000|1911000000|1419000000|987000000|413000000|359000000|172000000|599000000|6000000|-60000000|6000000|60000000|1970000000|-11000000|47000000|55000000|347000000|80000000|60000000|268000000|245000000|407000000|462000000|267000000|MSI
2019-06-30|USD|931000000|1765000000|1347000000|929000000|349000000|351000000|170000000|589000000|3000000|-59000000|3000000|59000000|1823000000|-21000000|44000000|55000000|274000000|67000000|102000000|208000000|194000000|333000000|388000000|207000000|MSI
2019-03-31|USD|773000000|1588000000|1269000000|884000000|229000000|327000000|162000000|546000000|5000000|-60000000|5000000|60000000|1648000000|10000000|45000000|50000000|184000000|33000000|60000000|152000000|192000000|244000000|294000000|151000000|MSI
2018-12-31|USD|1088000000|2254000000|1166000000|1166000000|516000000|337000000|165000000|572000000|3000000|-62000000||62000000|2254000000|8000000|45000000|48000000|465000000|42000000|62000000|516000000|228000000|527000000|575000000|423000000|MSI
2018-09-30|USD|901000000|1862000000|961000000|961000000|294000000|323000000|158000000|554000000|3000000|-62000000||62000000|1862000000|29000000|43000000|46000000|269000000|22000000|56000000|248000000|256000000|331000000|377000000|247000000|MSI
2018-06-30|USD|822000000|1760000000|938000000|938000000|273000000|316000000|162000000|556000000|5000000|-63000000||63000000|1752000000|13000000|43000000|53000000|226000000|46000000|63000000|181000000|108000000|289000000|342000000|180000000|MSI
2018-03-31|USD|669000000|1468000000|799000000|799000000|171000000|279000000|152000000|486000000|8000000|-54000000||54000000|-15000000|4000000|41000000|41000000|140000000|23000000|54000000|117000000|171000000|194000000|235000000|117000000|MSI
2017-12-31|USD|970000000|1957000000|987000000|987000000|503000000|267000000|155000000|459000000|4000000|-51000000||51000000|1957000000|10000000|50000000|39000000|464000000|1039000000|51000000|-577000000|-1011000000|515000000|554000000|-575000000|MSI
2017-09-30|USD|794000000|1645000000|851000000|851000000|347000000|259000000|141000000|436000000|3000000|-55000000||55000000|-4000000|-9000000|49000000|39000000|285000000|73000000|55000000|213000000|285000000|340000000|379000000|212000000|MSI
2017-06-30|USD|690000000|1497000000|807000000|807000000|261000000|254000000|138000000|433000000|4000000|-55000000||55000000|1495000000|-4000000|49000000|37000000|204000000|73000000|55000000|257000000|196000000|259000000|296000000|131000000|MSI
2017-03-31|USD|570000000|1281000000|711000000|711000000|173000000|244000000|135000000|394000000|3000000|-54000000||54000000|-9000000|-5000000|44000000|36000000|119000000|42000000|54000000|176000000|130000000|173000000|209000000|77000000|MSI
2016-12-31|USD|928000000|1883000000|955000000|955000000|403000000|277000000|142000000|525000000|8000000|-56000000||56000000|-5000000|19000000|45000000|30000000|361000000|118000000|58000000|243000000|-143000000|417000000|447000000|243000000|MSI
2016-09-30|USD|762000000|1532000000|770000000|770000000|341000000|247000000|137000000|421000000|4000000|-58000000||58000000|-4000000|-1000000|45000000|31000000|292000000|100000000|58000000|192000000|149000000|350000000|381000000|192000000|MSI
2016-06-30|USD|676000000|1430000000|754000000|754000000|224000000|240000000|138000000|452000000|5000000|-59000000||59000000|-4000000|-4000000|44000000|38000000|166000000|59000000|59000000|107000000|64000000|225000000|263000000|107000000|MSI
2016-03-31|USD|502000000|1193000000|691000000|691000000|100000000|234000000|135000000|402000000|4000000|-53000000||53000000|1000000|-8000000|49000000|13000000|22000000|5000000|53000000|17000000|38000000|75000000|88000000|17000000|MSI
2015-12-31|USD|838000000|1682000000|844000000|844000000|390000000|252000000|152000000|448000000|3000000|-54000000||54000000|-6000000|-8000000|35000000|2000000|378000000|99000000|54000000|277000000|419000000|432000000|434000000|279000000|MSI
2015-09-30|USD|685000000|1422000000|737000000|737000000|231000000|259000000|153000000|454000000|4000000|-47000000||47000000|-4000000|-1000000|30000000|2000000|186000000|71000000|47000000|126000000|94000000|233000000|235000000|115000000|MSI
2015-06-30|USD|648000000|1368000000|720000000|720000000|254000000|254000000|156000000|394000000|3000000|-42000000||42000000|-7000000|-4000000|38000000|3000000|206000000|64000000|42000000|150000000|70000000|248000000|251000000|142000000|MSI
2015-03-31|USD|548000000|1223000000|675000000|675000000|119000000|256000000|159000000|429000000|3000000|-43000000||43000000|1000000|3000000|39000000|2000000|114000000|40000000|43000000|87000000|16000000|157000000|159000000|74000000|MSI
2014-12-31|USD|913000000|1824000000|911000000|911000000|-1458000000|282000000|165000000|2371000000|4000000|-45000000||45000000|-1000000|0|41000000|1000000|-371000000|-572000000|45000000|-926000000|971000000|-326000000|-325000000|201000000|MSI
2014-09-30|USD|685000000|1436000000|751000000|751000000|207000000|287000000|166000000|574000000|7000000|-38000000||38000000|-33000000|-26000000|44000000|1000000|231000000|84000000|75000000|66000000|-232000000|269000000|270000000|147000000|MSI
