fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|639315000|1045127000|405812000|405812000|331554000|237340000|50054000|307761000||-17850000||17850000|1045127000|843000|12643000|18220000|314547000|62246000||252301000|234225000|332397000|350617000|252301000|MTD
2024-09-30|USD|572467000|954535000|382068000|382068000|275699000|228777000|47117000|296768000||-18599000||18599000|954535000|1852000|12836000|18243000|258952000|47436000||211516000|194101000|277551000|295794000|211516000|MTD
2024-06-30|USD|565668000|946750000|381082000|399260000|260594000|235796000|45771000|305074000||-18950000||18950000|946750000|1533000|12351000|18178000|243177000|21363000||221814000|209521000|262127000|280305000|221814000|MTD
2024-03-31|USD|548133000|925949000|377816000|396044000|239436000|234390000|46415000|308697000||-19232000||19232000|925949000|343000|12522000|18228000|220547000|43038000||177509000|199250000|239779000|258007000|177509000|MTD
2023-12-31|USD|551638000|934992000|383354000|383354000|250643000|223427000|46435000|300995000||-19655000||19655000|934992000|1568000|12545000|18078000|232556000|47762000|19655000|184794000|128132000|252211000|270289000|184794000|MTD
2023-09-30|USD|559539000|942462000|382923000|382923000|270266000|217447000|46127000|289273000||-20278000||20278000|942462000|1171000|12189000|18314000|251159000|49528000|20278000|201631000|205694000|271437000|289751000|201631000|MTD
2023-06-30|USD|583543000|982117000|398574000|398574000|281641000|228594000|47245000|301902000||-19249000||19249000|982117000|1011000|12194000|18042000|263403000|49476000|19249000|213927000|175227000|282652000|300694000|213927000|MTD
2023-03-31|USD|546566000|928738000|382172000|382172000|244398000|234638000|45477000|302168000||-18184000||18184000|928738000|396000|12023000|17779000|226610000|38184000|18184000|188426000|187143000|244794000|262573000|213927000|MTD
2022-12-31|USD|632140000|1057685000|425545000|425545000|341017000|227586000|45942000|291123000||-16805000||16805000|1057685000|1482000|11783000|16542000|325014000|59180000|16805000|265834000|363115000|341819000|358361000|265834000|MTD
2022-09-30|USD|584656000|985846000|401190000|401190000|288420000|233357000|44129000|296236000||-14484000||14484000|985846000|1949000|11674000|16728000|275885000|55288000|14484000|220597000|178448000|290369000|307097000|220597000|MTD
2022-06-30|USD|571661000|978387000|406726000|406726000|267297000|242206000|44023000|304364000||-12765000||12765000|978387000|2160000|11447000|16365000|256692000|44622000|12765000|212070000|180579000|269457000|285822000|212070000|MTD
2022-03-31|USD|519585000|897791000|378206000|378206000|220629999|235312000|43028000|298955000||-11338000||11338000|897791000|3709000|11880000|16604000|213001000|39000000|11338000|174001000|178351000|224339000|240943000|174001000|MTD
