fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|1146000000|1903000000|1310000000|756000000|448000000|37000000||698000000|8000000|-94000000|8000000|98000000|1902000000|1000000||153000000|357000000|51000000|102000000|305000000|365000000|448000000|601000000|306000000|NDAQ
2024-06-30|USD|1159000000|1793000000|1216000000|633000000|423000000|42000000||736000000|6000000|-96000000|6000000|99000000|1792000000|12000000||153000000|341000000|119000000|102000000|222000000|255000000|423000000|576000000|222000000|NDAQ
2024-03-31|USD|1117000000|1567000000|1130000000|557000000|410000000|39000000||707000000|6000000|-108000000|6000000|108000000|1674000000|1000000||155000000|313000000|79000000|108000000|233000000|114000000|421000000|576000000|234000000|NDAQ
2023-12-31|USD|1117000000|1539000000|1165000000|530000000|353000000|68000000||764000000|29000000|-110000000|29000000|110000000|1647000000|5000000||125000000|279000000|82000000|110000000|196000000|375000000|389000000|514000000|197000000|NDAQ
2023-09-30|USD|940000000|1351000000|894000000|511000000|431000000|38000000||509000000|72000000|-101000000|72000000|101000000|1451000000|1000000||64000000|391000000|97000000|101000000|294000000|311000000|492000000|556000000|294000000|NDAQ
2023-06-30|USD|925000000|1398000000|929000000|508000000|382000000|31000000||543000000|8000000|-36000000|8000000|36000000|1433000000|-6000000||65000000|337000000|70000000|36000000|267000000|154000000|373000000|438000000|267000000|NDAQ
2023-03-31|USD|914000000|1498000000|1004000000|619000000|412000000|23000000||502000000|6000000|-36000000|6000000|36000000|1533000000|0||69000000|397000000|95000000|36000000|301000000|287000000|433000000|502000000|302000000|NDAQ
2022-12-31|USD|907000000|1582000000|675000000|675000000|349000000|51000000||558000000|4000000|-33000000|4000000|33000000|1582000000|-6000000||63000000|323000000|82000000|33000000|240000000|342000000|356000000|419000000|241000000|NDAQ
2022-09-30|USD|890000000|1557000000|667000000|667000000|398000000|48000000||492000000|2000000|-32000000|2000000|32000000|1557000000|6000000||63000000|382000000|88000000|32000000|294000000|107000000|414000000|477000000|294000000|NDAQ
2022-06-30|USD|893000000|1552000000|659000000|659000000|412000000|45000000||481000000||-32000000||32000000|1552000000|8000000||65000000|397000000|90000000|32000000|307000000|72000000|429000000|494000000|307000000|NDAQ
2022-03-31|USD|892000000|1535000000|643000000|643000000|405000000|31000000||487000000||-32000000||32000000|1535000000|-6000000||67000000|375000000|91000000|32000000|283000000|201000000|407000000|474000000|284000000|NDAQ
2021-12-31|USD|886000000|1467000000|581000000|819000000|344000000|44000000||542000000|0|-30000000||30000000|1467000000|38000000||81000000|314000000|55000000|30000000|259000000|183000000|344000000|425000000|259000000|NDAQ
2021-09-30|USD|838000000|1357000000|519000000|749000000|356000000|54000000||482000000|0|-33000000||33000000|1357000000|42000000||67000000|371000000|83000000|33000000|288000000|229000000|404000000|471000000|288000000|NDAQ
2021-06-30|USD|846000000|1412000000|566000000|797000000|376000000|21000000||470000000|0|-33000000||33000000|1496000000|0||68000000|454000000|113000000|33000000|341000000|394000000|487000000|555000000|341000000|NDAQ
2021-03-31|USD|851000000|1651000000|800000000|1040000000|365000000|23000000||486000000|1000000|-29000000|1000000|29000000|1652000000|1000000||63000000|395000000|97000000|29000000|298000000|161000000|424000000|487000000|298000000|NDAQ
2020-12-31|USD|788000000|1462000000|674000000|880000000|318000000|62000000||470000000|0|-24000000||24000000|1462000000|0||53000000|267000000|42000000|24000000|225000000|489000000|291000000|344000000|225000000|NDAQ
