fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-10-31|USD|152750000|744029000|591279000|341658000|178892000|223932000||313529000|1288000|-27282000|1288000|28570000|744029000|-3538000|16969000|25538000|148072000|25904000||122168000|115988000|178892000|204430000|122168000|NDSN
2024-07-31|USD|147856000|661604000|513748000|292603000|167058000|201943000||222823000|1027000|-17776000|1027000|18803000|661604000|152000|14180000|19202000|149434000|32107000||117327000|124225000|168237000|187439000|117327000|NDSN
2024-04-30|USD|129684000|630533000|500849000|284765000|168616000|197261000||216482000|1554000|-20109000|1554000|20109000|650642000|-785000|13897000|18823000|149276000|31059000|20109000|118217000|85616000|169385000|188208000|118217000|NDSN
2024-01-31|USD|118598000|611743000|493145000|284766000|159435000|188992000||208467000|1044000|-21442000|1044000|21442000|633185000|-338000|14157000|19387000|138699000|29127000|21442000|109572000|153056000|160141000|179528000|109572000|NDSN
2023-10-31|USD|134457000|692872000|558415000|335220000|185039000|199054000|71400000|294585000|1052000|-26973000|1052000|26973000|719845000|1462000|13381000|23806000|160580000|32802000|26973000|127778000|60041000|187553000|211359000|127778000|NDSN
2023-07-31|USD|144985000|636588000|491603000|288357000|170996000|189324000||203656000|603000|-12089000|603000|12089000|648677000|2542000|13180000|13922000|162052000|34161000|12089000|127891000|131187000|174141000|188063000|127891000|NDSN
2023-04-30|USD|148549000|640252000|491703000|298040000|172507000|179618000||192666000|438000|-9913000|438000|9913000|650165000|-1405000|13056000|14045000|161627000|34064000|9913000|127563000|127100000|171540000|185585000|127563000|NDSN
2023-01-31|USD|119807000|599937000|480130000|281610000|144219000|184648000||198878000|587000|-10530000|587000|10530000|610467000|-3196000|12562000|13872000|131080000|26819000|10530000|104261000|180506000|141610000|155482000|104261000|NDSN
2022-10-31|USD|152971000|677790000|524819000|320398000|177609000|185574000|63031000|267398000|570000|-5665000|570000|5665000|683455000|46247000|12222000|18847000|177540000|36291000|5665000|141249000|151048000|183205000|202052000|141249000|NDSN
2022-07-31|USD|166472000|656391000|489919000|296544000|184918000|180666000||194163000|572000|-5737000|572000|5737000|662128000|752000|12178000|12709000|180505000|38694000|5737000|141811000|122439000|186242000|198951000|141811000|NDSN
2022-04-30|USD|166040000|630042000|464002000|277768000|183973000|173662000||186414000|419000|-5361000|419000|5361000|635403000|-39764000|12393000|12572000|139267000|29633000|5361000|109634000|97558000|144628000|157200000|109634000|NDSN
2022-01-31|USD|136932000|603323000|466391000|269032000|155860000|184274000||198023000|465000|-5650000|465000|5650000|608973000|1292000|12305000|13085000|151967000|31558000|5650000|120409000|110111000|157617000|170702000|120409000|NDSN
2021-10-31|USD|126991000|593905000|466914000|268097000|151435000|179715000|59422000|258282000|829000|-5281000|829000|5281000|599186000|-6874000|12940000|19102000|140109000|29649000|5281000|110460000|127420000|145390000|164492000|110460000|NDSN
2021-07-31|USD|169456000|640719000|471263000|281587000|188276000|176995000||190130000|492000|-6139000|492000|6139000|646858000|-2232000|14216000|12681000|180397000|38215000|6139000|142182000|142633000|186536000|199217000|142182000|NDSN
2021-04-30|USD|146635000|582399000|435764000|251839000|166391000|171308000||184226000|449000|-7139000|449000|7139000|589538000|-3843000|12700000|12617000|155858000|31714000|7139000|124144000|125586000|162997000|175614000|124144000|NDSN
2021-01-31|USD|88652000|519273000|430621000|236606000|109025000|180935000||194479000|380000|-6932000|380000|6932000|526205000|-4661000|12940000|13080000|97812000|20230000|6932000|77582000|109012000|104744000|117824000|77582000|NDSN
2020-10-31|USD|296868000|558525000|532520000|261657000|37368000|172129000|63591000|388000|380000|-6812000|380000|6812000|558525000|-4634000|19569000|11363000|26302000|7827000|6812000|296868000|3981000|33114000|44477000|18475000|NDSN
2020-07-31|USD|280808000|530867000|444482000|257373000|112055000|168753000||187109000|434000|-7314000|434000|7314000|538181000|-9668000|11923000|18356000|95507000|8526000|7314000|86981000|118545000|102821000|121177000|86981000|NDSN
2020-04-30|USD|289598000|521185000|420908000|239880000|125029000|164569000||181028000|278000|-8293000|278000|8293000|529478000|-429000|12386000|16459000|116585000|24506000|8293000|92079000|74750000|124878000|141337000|92079000|NDSN
2020-01-31|USD|263194000|485067000|437710000|231722000|75093000|188101000||206097000|588000|-9740000|588000|9740000|494807000|-2846000|12445000|17887000|63095000|11091000|9740000|52004000|58026000|72835000|90722000|52004000|NDSN
2019-10-31|USD|318975000|585451000|458916000|266476000|139660000|179315000|60018000|254612000|691000|-10907000|691000|10907000|585451000|-2162000||13125000|127282000|24609000|10907000|318975000|44551000|138189000|151314000|102673000|NDSN
2019-07-31|USD|302623000|548246000|443373000|257123000|130276000|172347000||186250000|511000|-11500000|511000|11500000|559746000|210000||13903000|119497000|25569000|11500000|93928000|89134000|130997000|144900000|93928000|NDSN
2019-04-30|USD|301529000|538747000|436356000|249590000|128896000|172633000||186766000|325000|-12372000|11420000|12372000|551119000|-568000||14133000|116281000|24358000|12372000|91923000|84457000|128653000|142786000|91923000|NDSN
2019-01-31|USD|268976000|484070000|427258000|228934000|84281000|184695000||199799000|316000|-12365000||12365000|496435000|-4189000||13629000|68043000|19476000|12365000|48567000|66382000|80408000|94037000|48567000|NDSN
2018-10-31|USD|307864000|569295000|261431000|261431000|116795000|191069000|58806000|266616000|519000|-12366000||12366000|569295000|-761000||13351000|104188000|17486000|12366000|307738000|41767000|116554000|129905000|86702000|NDSN
2018-07-31|USD|320476000|581243000|260767000|260767000|137542000|182934000||198856000|356000|-13765000||13765000|581243000|-1438000||14036000|122695000|27811000|13765000|94884000|71319000|136460000|150496000|94884000|NDSN
2018-04-30|USD|307015000|553706000|246691000|246691000|128892000|178123000||194295000|219000|-12127000||12127000|553706000|1135000||14172000|118119000|26884000|12127000|91235000|74763000|130246000|144418000|91235000|NDSN
2018-01-31|USD|300973000|550424000|249451000|249451000|119350000|181623000||197917000|289000|-11317000||11317000|-748000|-4804000||13889000|103518000|-1037000|11317000|104555000|144646000|114835000|128724000|104555000|NDSN
2017-10-31|USD|312088000|573938000|261850000|261562000|133488000|178888000|52462000|240932000|311000|-11747000||11747000|-333000|-9182000||13429000|112870000|33035000|11747000|312088000|80825000|124617000|138046000|79835000|NDSN
2017-07-31|USD|326265000|589438000|263173000|263173000|153466000|172799000||186488000|268000|-11306000||11306000|-48000|27000||13689000|142455000|40999000|11306000|101456000|130781000|153761000|167450000|101456000|NDSN
2017-04-30|USD|275512000|496137000|220625000|220625000|103531000|171981000||182140000|272000|-7907000||7907000|8000|-1323000||10159000|94573000|30050000|7907000|64523000|72080000|102480000|112639000|64523000|NDSN
2017-01-31|USD|225138000|407470000|182332000|182332000|75918000|149220000||156665000|273000|-5641000||5641000|185000|-157000||7630000|70393000|20405000|5641000|49988000|45928000|76034000|83664000|49988000|NDSN
2016-10-31|USD|274967000|1734046000|6411000|234316000|110863000|164104000|46247000|6411000|227000|-5832000||5832000|-474000|106000||6749000|105364000|29497000|5832000|268556000|46489000|111196000|117945000|75867000|NDSN
2016-07-31|USD|273220000|123936000|375634000|216679000|123686000|149534000||158955000|176000|-4647000||4647000|-81000|-1978000||7707000|117237000|33023000|4647000|84214000|77809000|121884000|129591000|84214000|NDSN
2016-04-30|USD|248405000|153555000|344592000|189187000|101904000|146501000||155405000|188000|-5000000||5000000|-283000|1727000||7271000|98819000|28218000|5000000|70601000|92774000|103819000|111090000|70601000|NDSN
2016-01-31|USD|196907000|83036000|328593000|175313000|51978000|144929000||153301000|138000|-5844000||5844000|-21000|802000||7334000|47074000|5913000|5844000|41161000|31211000|52918000|60252000|41161000|NDSN
2015-10-31|USD|234861000|446200000|9092000|211339000|75648000|147802000|46689000|7484000|209000|-5197000||5197000|-346000|1465000||6929000|72125000|22501000|5197000|227377000|44368000|77322000|84251000|49624000|NDSN
2015-07-31|USD|248492000|146781000|369071000|214239000|12326000|145642000||154832000|111000|-4504000||4504000|-25000|2000||6871000|98459000|29071000|4504000|69388000|59430000|102963000|109834000|69388000|NDSN
2015-04-30|USD|221890000|125169000|331289000|178837000|50780000|145476000||152452000|151000|-4313000||4313000|541000|-687000||6976000|71565000|22351000|4313000|49214000|51031000|75878000|82854000|49214000|NDSN
2015-01-31|USD|208721000|189578000|323081000|170287000|43327000|145903000||153340000|86000|-4089000||4089000|-546000|-102000||6891000|58713000|15828000|4089000|42885000|14182000|62802000|69693000|42885000|NDSN
2014-10-31|USD|257253000|468590000|1273000|211337000|105957000|148745000|47536000|1273000|115000|-4118000||4118000|-24000|713000||6518000|102667000|30587000|4118000|255980000|24598000|106785000|113303000|72080000|NDSN
2014-07-31|USD|257511000|454740000|350245000|201039000|-10266000|143056000||149206000|137000|-3810000||3810000|-32000|-236000||6150000|110546000|32667000|3810000|77879000|74832000|114356000|120506000|77879000|NDSN
2014-04-30|USD|235552000|413929000|330937000|181909000|9335000|142718000||152560000|217000|-3532000||3532000|30000|-406000||6310000|89113000|27179000|3532000|61934000|70441000|92645000|98955000|61934000|NDSN
2014-01-31|USD|194782000|355653000|311891000|164638000|4956000|140923000||151020000|112000|-3575000||3575000|-192000|-209000||6330000|50187000|15307000|3575000|34880000|31083000|53762000|60092000|34880000|NDSN
2013-10-31|USD|226894000|410818000|329589000|183924000|86867000|138901000|47973000|213165000|117000|-3796000||3796000|-7000|760000||5638000|83948000|24171000|3796000|226894000|108126000|87744000|93382000|59777000|NDSN
2013-07-31|USD|225083000|399607000|315294000|177877000|93216000|131867000||140770000|112000|-3353000||3353000|2005000|2699000||5550000|92674000|27250000|3353000|65424000|62978000|96027000|101577000|65424000|NDSN
2013-04-30|USD|216938000|378488000|305581000|165162000|82202000|134736000||144031000|94000|-3612000||3612000|14000|-565000||5683000|78119000|23514000|3612000|54605000|49442000|81731000|87414000|54605000|NDSN
2013-01-31|USD|197229000|342830000|291280000|149814000|61564000|135079000||145679000|98000|-4080000||4080000|-133000|-1200000||5801000|56382000|14371000|4080000|42011000|48117000|60462000|66263000|42011000|NDSN
2012-10-31|USD|241073000|438677000|340750000|199644000|103598000|140143000|36535000|198608000|88000|-4228000||4228000|1003000|1050000||5671000|100508000|32822000|4228000|241073000|57947000|104736000|110407000|67686000|NDSN
2012-07-31|USD|223214000|377076000|284840000|156658000|98538000|124555000||132153000|109000|-2796000||2796000|-243000|-716000||3506000|95135000|28441000|2796000|66694000|54396000|97931000|101437000|66694000|NDSN
2012-04-30|USD|189656000|313032000|236296000|123497000|76857000|111063000||114960000|147000|-2161000||2161000|-141000|137000||2677000|74980000|22869000|2161000|52111000|55576000|77141000|79818000|52111000|NDSN
2012-01-31|USD|169346000|273887000|219349000|106490000|56487000|112048000||114808000|119000|-1968000||1968000|19000|992000||2667000|55630000|17292000|1968000|38338000|32696000|57598000|60265000|38338000|NDSN
2011-10-31|USD|196459000|331018000|248950000|134559000|78935000|114188000|26997000|156909000|139000|-1509000||1509000|-135000|622000||2319000|78187000|23512000|1509000|196459000|23679000|79696000|82015000|54675000|NDSN
2011-07-31|USD|188050000|311428000|233659000|124205000|78656000|109330000||111014000|190000|-827000||827000|-144000|169000||1652000|78188000|21638000|827000|56550000|56024000|79015000|80667000|56550000|NDSN
2011-04-30|USD|197752000|317586000|226496000|121172000|92428000|105324000||106662000|115000|-1338000||1338000|170000|1791000||6931000|92996000|27754000|1338000|65242000|88340000|94334000|92428000|65242000|NDSN
2011-01-31|USD|166171000|269567000|205438000|104791000|65524000|100647000||102042000|125000|-1395000||1395000|-253000|936000||7315000|65190000|19293000|1395000|45897000|40615000|66585000|65524000|45897000|NDSN
2010-10-31|USD|170271000|290182000|216904000|119911000|73278000|94964000|23835000|99202000|170000|-1602000||1602000||1230000||7293000|73076000|19520000|1602000|170271000|62534000|74678000|80571000|53556000|NDSN
2010-07-31|USD|165801000|277541000|211426000|113320000|67695000|98106000||99686000|170000|-1580000||1580000||177000||7248000|66462000|11133000|1580000|55329000|56361000|68042000|67695000|55329000|NDSN
2010-04-30|USD|153867000|251659000|97792000|97792000|57590000|96277000||96277000||||1625000||204000||7392000|56373000|23942000||||57998000|57590000|32431000|NDSN
2010-01-31|USD|131675000|220589000|88914000|88914000|36270000|94874000||95405000||||1456000||319000||7705000|35408000|8676000||||36864000|35951000|26732000|NDSN
2009-10-31|USD|137069000|237444000|100375000|100375000|-196639000|88364000|25528000|88364000||||1595000||618000||7209000|-197491000|11542000||||-195896000|56039000|-209033000|NDSN
2009-07-31|USD|121737000|206273000|84536000|84536000|37178000|83582000||84559000||||1732000||77000||7837000|35616000|11637000||||37348000|37178000|23979000|NDSN
