fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|4479149000|10246513000|5767364000|5767364000|2272766000|1429878000|776505000|2206383000||-138498000|54105000|192603000|52855000|||4241040000|2134268000|265661000||1868607000|2575391000|2272766000|6182705000|1868607000|NFLX
2024-09-30|USD|4704819000|9824703000|5119884000|5119884000|2909477000|1060279000|735063000|1795342000||-206523000||184830000|-104809000|||3780435000|2702954000|339445000||2363509000|2108001000|2887784000|6668219000|2363509000|NFLX
2024-06-30|USD|4385167000|9559310000|5174143000|5174216000|2602837000|1071076000|711254000|1782330000||-88981000|79005000|167986000|42692000|||3850917000|2513856000|366550000||2147306000|2170071000|2681842000|6532759000|2147306000|NFLX
2024-03-31|USD|4393367000|9370440000|4977073000|4977267000|2632534000|1058360000|702473000|1760833000||-173314000|155359000|173314000|130801000|||3758039000|2614579000|282370000|173314000|2332209000|2444275000|2787893000|6545932000|2332209000|NFLX
2023-12-31|USD|3525340000|8832825000|5307485000|5307485000|1496109000|3087890000|673341000|3761231000||-175212000||175212000|-239371000|||3840646000|1148150000|210312000|175212000|937838000|869464000|1323362000|5336755000|937838000|NFLX
2023-09-30|USD|3610880000|8541668000|4930788000|4930788000|1916394000|1037327000|657159000|1694486000||-175563000|7345000|175563000|172678000|||3664013000|1909049000|231627000|175563000|1677422000|1661117000|2084612000|5580407000|1677422000|NFLX
2023-06-30|USD|3513831000|8187301000|4673470000|4673470000|1827183000|1028665000|657983000|1686648000||-174812000|26961000|174812000|-28952000|26961000||3526367000|1679332000|191722000|174812000|1487610000|1540039000|1854144000|5353550000|1487610000|NFLX
2023-03-31|USD|3357878000|8161503000|4803625000|4803625000|1714317000|956286000|687275000|1643561000||-174239000|71204000|174239000|-80651000|-71204000||3550319000|1468874000|163754000|174239000|1305120000|1330731000|1643113000|5264636000|1305120000|NFLX
2022-12-31|USD|2447893000|7852053000|5404160000|5404160000|549904000|2810063000|673926000|3483989000||-170603000|339965000|170603000|-461681000|-339965000||4038214000|39336000|-15948000|170603000|55284000|85621000|209939000|4588118000|55284000|NFLX
2022-09-30|USD|3136924000|7925589000|4788665000|4788665000|1533018000|941167000|662739000|1603906000||-172575000|261404000|172575000|348458000|261404000||4000184000|1621847000|223605000|172575000|1398242000|1295075000|1794422000|5533202000|1398242000|NFLX
