fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-10-25|USD|1177000000|1658000000|1070000000|481000000|345000000|562000000|257000000|832000000|27000000|12000000|27000000|15000000|1658000000|-3000000||63000000|360000000|61000000|-15000000|299000000|303000000|345000000|408000000|299000000|NTAP
2024-07-26|USD|1098000000|1541000000|1070000000|443000000|282000000|546000000|252000000|816000000|36000000|20000000|36000000|16000000|1541000000|-3000000||63000000|299000000|51000000|-16000000|248000000|248000000|282000000|345000000|248000000|NTAP
2024-04-26|USD|1176000000|1652000000|1095000000|492000000|366000000|538000000|271000000|810000000|32000000|-16000000|32000000|16000000|1668000000|-2000000||64000000|380000000|89000000|16000000|291000000|287000000|396000000|460000000|291000000|NTAP
2024-01-26|USD|1151000000|1589000000|1005000000|455000000|366000000|520000000|249000000|785000000|27000000|-17000000|27000000|17000000|1606000000|6000000||63000000|382000000|69000000|17000000|313000000|313000000|399000000|462000000|313000000|NTAP
2023-10-27|USD|1110000000|1547000000|1010000000|452000000|304000000|536000000|262000000|806000000|25000000|-15000000|25000000|15000000|1562000000|-1000000||64000000|315000000|82000000|15000000|233000000|226000000|330000000|394000000|233000000|NTAP
2023-07-28|USD|996000000|1416000000|1071000000|436000000|178000000|542000000|247000000|818000000|28000000|-16000000|28000000|16000000|1432000000|-4000000||64000000|186000000|37000000|16000000|149000000|152000000|202000000|266000000|149000000|NTAP
2023-04-28|USD|1075000000|1565000000|1095000000|506000000|309000000|509000000|243000000|766000000|27000000|-16000000|27000000|16000000|1581000000|-6000000||66000000|314000000|69000000|16000000|245000000|249000000|330000000|396000000|245000000|NTAP
2023-01-27|USD|1001000000|1510000000|1141000000|525000000|172000000|509000000|230000000|829000000|21000000|-16000000|21000000|16000000|1526000000|0||65000000|177000000|112000000|16000000|65000000|72000000|193000000|258000000|65000000|NTAP
2022-10-28|USD|1087000000|1646000000|1155000000|576000000|282000000|546000000|243000000|805000000|14000000|-17000000|14000000|17000000|1663000000|26000000||59000000|305000000|-445000000|17000000|750000000|736000000|322000000|381000000|750000000|NTAP
2022-07-29|USD|1046000000|1574000000|1155000000|546000000|255000000|530000000|240000000|791000000|7000000|-18000000|7000000|18000000|1592000000|26000000||58000000|270000000|56000000|18000000|214000000|210000000|288000000|346000000|214000000|NTAP
2022-04-29|USD|1089000000|1662000000|1203000000|591000000|293000000|552000000|235000000|796000000|2000000|-18000000|2000000|18000000|1680000000|-5000000||51000000|272000000|13000000|18000000|259000000|256000000|290000000|341000000|259000000|NTAP
2022-01-28|USD|1073000000|1595000000|1086000000|541000000|321000000|526000000|220000000|752000000|2000000|-19000000|2000000|19000000|1614000000|2000000||51000000|306000000|54000000|19000000|252000000|249000000|325000000|376000000|252000000|NTAP
2021-10-29|USD|1059000000|1548000000|1066000000|507000000|294000000|541000000|216000000|765000000|1000000|-18000000|1000000|18000000|1566000000|3000000||46000000|280000000|56000000|18000000|224000000|220000000|298000000|344000000|224000000|NTAP
2021-07-30|USD|999000000|1440000000|1045000000|459000000|249000000|517000000|210000000|750000000|2000000|-18000000|2000000|18000000|1458000000|4000000||46000000|237000000|35000000|18000000|202000000|198000000|255000000|301000000|202000000|NTAP
2021-04-30|USD|1035000000|1536000000|1083000000|520000000|455000000|513000000|221000000|580000000|2000000|-19000000|2000000|19000000|1555000000|-2000000||48000000|436000000|102000000|19000000|334000000|338000000|455000000|503000000|334000000|NTAP
2021-01-29|USD|975000000|1451000000|1012000000|495000000|258000000|499000000|215000000|717000000|2000000|-19000000|2000000|19000000|1470000000|6000000||54000000|247000000|65000000|19000000|182000000|180000000|266000000|320000000|182000000|NTAP
2020-10-30|USD|933000000|1398000000|1037000000|483000000|182000000|499000000|212000000|751000000|2000000|-18000000|2000000|18000000|1416000000|9000000||56000000|175000000|38000000|18000000|137000000|144000000|193000000|249000000|137000000|NTAP
