fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|443977000|7444160000|7000183000|6686226000|130020000|244657000||313957000|58094000|-7282000|58094000|65376000|7444160000||281165000|69300000|335358000|85448000||302825000|259315000|400734000|470034000|249910000|NUE
2024-06-30|USD|825625000|8077172000|7251547000|6883117000|457195000|307230000||368430000|69158000|2306000|69158000|66852000|8077172000||270688000|61200000|831237000|186020000||712143000|645019000|898089000|959289000|645217000|NUE
2024-03-31|USD|1119085000|8137083000|7017998000|6613903000|714990000|345395000||404095000|81274000|-43487000|81274000|43487000|8137083000||256938000|58700000|1111220000|266379000|43487000|958962000|829473000|1154707000|1213407000|844841000|NUE
2023-12-31|USD|1393718000|7704531000|6727814000|6310813000|1393718000|355001000||417001000|89518000|-59238000||59238000|7704531000||249432000|62000000|990676000|205277000|59238000|1393718000|772154000|1049914000|1111914000|785399000|NUE
2023-09-30|USD|1920800000|8775734000|6854934000|6854934000|1032264000|385768000||444268000|77361000|-63228000|13050000|63228000|8775734000||232317000|58500000|1468333000|326827000|63228000|1221255000|1121651000|1531561000|1590061000|1141506000|NUE
2023-06-30|USD|2501674000|9523256000|7021582000|7021582000|1478098000|453388000||511788000|56208000|-60806000|1496000|60806000|9523256000||227747000|58400000|1924061000|462707000|60806000|1587075000|1497740000|1984867000|2043267000|1461354000|NUE
2023-03-31|USD|1998202000|8709980000|6711778000|6711778000|1998202000|389895000||448695000|52499000|-62682000|11523000|62682000|8709980000|-1340000|221089000|58800000|1501697000|365155000|62682000|1998202000|1108701000|1564379000|1623179000|1136542000|NUE
2022-12-31|USD|2097487000|8723956000|7119692000|6626469000|2097487000|422823000||493223000|29781000|-56752000|39503000|56752000|8723956000|-12532000|216759000|70400000|1462893000|207160000|56752000|2097487000|1221769000|1519645000|1590045000|1255733000|NUE
2022-09-30|USD|2843391000|10500755000|7657364000|7657364000|2843391000|486560000||563760000|12222000|-54569000|33909000|54569000|10500755000|8438000|212663000|77200000|2218627000|523879000|54569000|2843391000|1662005000|2273196000|2350396000|1694748000|NUE
2022-06-30|USD|4104263000|11794474000|7690211000|7690211000|4104263000|563211000||609111000|5751000|-63514000|5751000|63514000|11794474000|7113000|201792000|45900000|3324398000|763165000|63514000|4104263000|2534927000|3387912000|3433812000|2561233000|NUE
2022-03-31|USD|3458139000|10493282000|7035143000|7035143000|3458139000|524584000||565984000|941000|-44076000|941000|44076000|10493282000|7695000|195478000|41400000|2766623000|671000000|44076000|3458139000|2166401000|2810699000|2852099000|2095623000|NUE
2021-12-31|USD|3523201000|10364412000|7395781000|6841211000|3523201000|502070000||554570000|437000|-40582000|2183000|40582000|10364412000|37962000|188787000|52500000|2918043000|667625000|40582000|3523201000|2221037000|2958625000|3011125000|2250418000|NUE
2021-09-30|USD|3406273000|10313223000|6906950000|6906950000|3406273000|526345000||561145000|623000|-43908000|10821000|43908000|10313223000|32464000|184127000|34800000|2773585000|645842000|43908000|3406273000|2115571000|2817493000|2852293000|2127743000|NUE
2021-06-30|USD|2473503000|8789164000|6315661000|6315661000|2473503000|387070000||407870000|1881000|-37661000|1881000|37661000|8789164000|19403000|182672000|20800000|1961157000|454289000|37661000|2473503000|1536699000|1998818000|2019618000|1506868000|NUE
2021-03-31|USD|1622437000|7017140000|5394703000|5394703000|1622437000|291124000||312224000|1326000|-40970000|1326000|40970000|7017140000|13239000|179820000|21100000|1253164000|310732000|40970000|1622437000|957733000|1294134000|1315234000|942432000|NUE
2020-12-31|USD|718528000|5260055000|4716146000|4541527000|718528000|154119000||174619000|1545000|-37887000|32453000|37887000|5260055000|-10189000|176422000|20500000|190743000|-208100000|37887000|718528000|595451000|228630000|249130000|398843000|NUE
2020-09-30|USD|502195000|4927960000|4425765000|4425765000|502195000|165513000||186213000|2142000|-42281000|39660000|42281000|4927960000|479000|175997000|20700000|261203000|67788000|42281000|502195000|218782000|303484000|324184000|193415000|NUE
2020-06-30|USD|377959000|4327306000|3949347000|3949347000|377959000|142017000||162717000|3042000|-38849000|91618000|38849000|4327306000||173924000|20700000|156785000|47904000|38849000|377959000|135672000|195634000|216334000|108881000|NUE
2020-03-31|USD|629268000|5624337000|4995069000|4995069000|629268000|153392000||174892000|6686000|-47596000|6686000|47596000|5624337000|-823000|175767000|21500000|112249000|91918000|47596000|629268000|-44330000|159845000|181345000|20331000|NUE
2019-12-31|USD|435188000|5131746000|4946702000|4696558000|435188000|162228000||250144000|8956000|-37622000|8956000|37622000|5131746000|852000|170954000|21000000|151800000|43977000|37622000|435188000|118624000|189422000|210422000|107823000|NUE
2019-09-30|USD|572511000|5464502000|4891991000|4891991000|209909000|159301000||181301000|9435000|-40721000|9435000|40721000|5464502000|-1585000|155978000|22000000|361783000|86752000|40721000|293587000|259025000|402504000|424504000|275031000|NUE
2019-06-30|USD|775494000|5895986000|5120492000|5120492000|315134000|208980000||230180000|8923000|-41953000|8923000|41953000|5895986000|1138000|163808000|21200000|508828000|122345000|41953000|412277000|397510000|550781000|571981000|386483000|NUE
2019-03-31|USD|895892000|6096624000|5200732000|5200732000|491414000|180739000||202239000|8619000|-37062000|8619000|37062000|6096624000|2906000|158171000|21500000|660629000|158823000|37062000|530793000|495266000|697691000|719191000|501806000|NUE
2018-12-31|USD|1112262000|6295884000|5183622000|5183622000|1112262000|209300000||231400000|9179000|-40948000||40948000|6295884000|6083000|156549000|22100000|842985000|196206000|40948000|1112262000|617253000|883933000|906033000|646779000|NUE
2018-09-30|USD|1290150000|6742202000|5452052000|5452052000|557788000|234081000||366181000|7588000|-44789000||44789000|6742202000|13634000|157928000|22100000|892871000|216215000|44789000|706287000|698081000|937660000|959760000|676656000|NUE
2018-06-30|USD|1166590000|6460774000|5294184000|5294184000|653628000|234381000||256481000|5890000|-35341000||35341000|6460774000|10943000|157737000|22100000|883239000|200086000|35341000|713615000|636487000|918580000|940680000|683153000|NUE
2018-03-31|USD|726406000|5568419000|4842013000|4842013000|315486000|182960000||205460000|3064000|-40178000||40178000|5568419000|9580000|158665000|22500000|489979000|135800000|40178000|380112000|359494000|530157000|552657000|354179000|NUE
2017-12-31|USD|520568000|5092328000|4762662000|4571760000|520568000|168102000||190902000|3711000|-45796000||45796000|5092328000|11860000|161011000|22800000|311038000|-72853000|45796000|520568000|347066000|356834000|379634000|383891000|NUE
2017-09-30|USD|578964000|5122496000|4786945000|4591153000|139759000|172792000||195792000|4311000|-47621000||47621000|5170117000|7743000|156544000|23000000|359350000|104500000|47621000|266105000|329929000|406971000|429971000|254850000|NUE
2017-06-30|USD|709625000|5174769000|4658355000|4465144000|709625000|170211000||193211000|2985000|-47565000||47565000|5174769000|13302000|159753000|23000000|489460000|166412000|47565000|709625000|347105000|537025000|560025000|323048000|NUE
2017-03-31|USD|760250000|4815179000|4253755000|4054929000|760250000|176426000||198826000|2695000|-46300000||46300000|4815179000|8756000|158525000|22400000|528226000|171327000|46300000|760250000|357750000|574526000|596926000|356899000|NUE
2016-12-31|USD|443426000|3956538000|3688994000|3513112000|443426000|156082000||175882000|2980000|-43809000||43809000||8525000|154083000|19800000|239494000|79855000|43809000|443426000|130380000|283303000|303103000|159639000|NUE
2016-09-30|USD|682236000|4290236000|3795723000|3608000000|682236000|169223000||187723000|3510000|-46519000||46519000||14168000|153021000|18500000|458254000|152807000|46519000|682236000|298241000|504773000|523273000|305447000|NUE
2016-06-30|USD|585260000|4245772000|3839723000|3660512000|585260000|161711000||179211000|2993000|-43477000||43477000||6819000|153839000|17500000|362135000|118515000|43477000|585260000|258407000|405612000|423112000|243620000|NUE
2016-03-31|USD|314985000|3715576000|3528436000|3400591000|314985000|109745000||127845000|2452000|-47374000||47374000||9245000|152249000|18100000|134631000|47066000|47374000|314985000|142762000|182005000|200105000|87565000|NUE
2015-12-31|USD|168095000|3456713000|3173972000|3073875000|382838000|81497000||100097000|1332000|-42919000||42919000||4779000|156518000|18600000|-316811000|-129330000|42919000|382838000|-388408000|-273892000|-255292000|-187481000|NUE
2015-09-30|USD|383207000|4225514000|3844817000|3701678000|523836000|124339000||143139000|1065000|-46406000||46406000||115000|154718000|18800000|228895000|86535000|46406000|523836000|161923000|275301000|294101000|142360000|NUE
2015-06-30|USD|291552000|4357609000|4118095000|3971303000|386306000|128592000||146792000|964000|-43150000||43150000||694000|156587000|18200000|124491000|56878000|43150000|386306000|152550000|167641000|185841000|67613000|NUE
2015-03-31|USD|271036000|4399440000|4254419000|4111158000|288282000|124561000||143261000|651000|-45068000||45068000||-259000|157934000|18700000|92985000|34753000|45068000|288282000|-50995000|138053000|156753000|58232000|NUE
2014-12-31|USD|513871000|5003753000|4635529000|4489882000|513871000|101954000||145647000|972000|-39747000||39747000||3477000|165316000|18300000|296632000|86205000|39747000|513871000|115451000|336379000|354679000|210427000|NUE
2014-09-30|USD|599586000|5701869000|5272787000|5102283000|599586000|152604000||170504000|1275000|-46624000||46624000||2352000|160255000|17900000|375231000|129784000|46624000|599586000|164058000|421855000|439755000|245447000|NUE
