fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-10-27|USD|26156000000|35082000000|8926000000|322000000|21869000000|897000000|3390000000|4287000000|472000000|411000000|472000000|61000000||36000000||149000000|22316000000|3007000000|61000000|19309000000|19356000000|21869000000|22018000000|19309000000|NVDA
2024-07-28|USD|22574000000|30040000000|7466000000|345000000|18642000000|842000000|3090000000|3932000000|444000000|383000000|444000000|61000000||189000000||146000000|19214000000|2615000000|61000000|16599000000|16764000000|18642000000|18788000000|16599000000|NVDA
2024-04-28|USD|20406000000|26044000000|5638000000|210000000|16909000000|777000000|2720000000|3497000000|359000000|-64000000|359000000|64000000||75000000||143000000|17279000000|2398000000|64000000|14881000000|14745000000|17343000000|17486000000|14881000000|NVDA
2024-01-28|USD|16791000000|22103000000|5312000000|118000000|13614000000|712000000|2465000000|3177000000|294000000|-63000000|294000000|63000000||261000000||143000000|14106000000|1821000000|63000000|12285000000|12400000000|14169000000|14312000000|12285000000|NVDA
2023-10-29|USD|13400000000|18120000000|4720000000|208000000|10417000000|689000000|2294000000|2983000000|234000000|-63000000|234000000|63000000||-66000000||144000000|10523000000|1279000000|63000000|9242000000|9206000000|10586000000|10730000000|9243000000|NVDA
2023-07-30|USD|9462000000|13507000000|4045000000|343000000|6800000000|622000000|2040000000|2662000000|187000000|-65000000|187000000|65000000||59000000||146000000|6981000000|793000000|65000000|6188000000|6187000000|7046000000|7192000000|6188000000|NVDA
2023-04-30|USD|4648000000|7192000000|2544000000|105000000|2140000000|633000000|1875000000|2508000000|150000000|-66000000|150000000|66000000||-15000000||181000000|2209000000|166000000|66000000|2043000000|2036000000|2275000000|2456000000|2043000000|NVDA
2023-01-29|USD|3833000000|6051000000|2218000000|2218000000|1256000000|625000000|1952000000|2577000000|115000000|-64000000|115000000|64000000||-19000000||556000000|1288000000|-126000000|64000000|1414000000|1494000000|1352000000|1908000000|1414000000|NVDA
2022-10-30|USD|3177000000|5931000000|2754000000|354000000|601000000|631000000|1945000000|2576000000|88000000|-65000000|88000000|65000000||-11000000||181000000|613000000|-67000000|65000000|680000000|647000000|678000000|859000000|680000000|NVDA
2022-07-31|USD|2915000000|6704000000|3789000000|570000000|499000000|592000000|1824000000|2416000000|46000000|-65000000|46000000|65000000||-5000000||182000000|475000000|-181000000|65000000|656000000|630000000|540000000|722000000|656000000|NVDA
2022-05-01|USD|5431000000|8288000000|2857000000|2857000000|1868000000|592000000|1618000000|3563000000|18000000|-68000000|18000000|68000000||-13000000||155000000|1805000000|187000000|68000000|1618000000|1565000000|1873000000|2028000000|1618000000|NVDA
2022-01-30|USD|4999000000|7643000000|2644000000|2644000000|2970000000|563000000|1466000000|2029000000|9000000|-61000000|9000000|61000000||-53000000||145000000|2865000000|-138000000|61000000|3003000000|2983000000|2926000000|3071000000|3003000000|NVDA
