fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|2731000000|7227000000|4496000000|776000000|1568000000|197000000||769000000||-448000000||15000000|7227000000|25000000||344000000|1251000000|328000000|448000000|1000000000|895000000|1568000000|2120000000|923000000|OKE
2024-09-30|USD|1996000000|5023000000|3027000000|582000000|1128000000|70000000||592000000||-325000000||19000000|5023000000|17000000||274000000|912000000|219000000|325000000|693000000|733000000|1128000000|1511000000|693000000|OKE
2024-06-30|USD|2003000000|4894000000|2891000000|573000000|1229000000|83000000||573000000||-298000000||16000000|4894000000|4000000||262000000|1023000000|243000000|298000000|780000000|800000000|1229000000|1491000000|780000000|OKE
2024-03-31|USD|1584000000|4481000000|2897000000|572000000|1064000000|86000000||572000000||-300000000||300000000|4781000000|7000000||254000000|847000000|208000000|300000000|639000000|544000000|1064000000|1318000000|639000000|OKE
2023-12-31|USD|1629000000|4930000000|3301000000|554000000|1099000000|131000000||675000000||-305000000||305000000|5235000000|46000000||260000000|910000000|222000000|305000000|688000000|723000000|1099000000|1384000000|688000000|OKE
2023-09-30|USD|1175000000|3974000000|2799000000|352000000|739000000|44000000||475000000||-215000000|166000000|215000000|4189000000|22000000||177000000|595000000|141000000|215000000|454000000|461000000|739000000|557000000|454000000|OKE
2023-06-30|USD|1250000000|3732000000|2482000000|343000000|737000000|47000000||343000000||-180000000|137000000|180000000|3732000000|13000000||170000000|613000000|145000000|180000000|468000000|492000000|737000000|963000000|468000000|OKE
2023-03-31|USD|1174000000|4521000000|3347000000|296000000|1497000000|57000000||-483000000||-166000000|126000000|166000000|4521000000|8000000||210000000|1379000000|330000000|166000000|1049000000|1058000000|1497000000|1707000000|1049000000|OKE
2022-12-31|USD|1139165000|5032031000|3892866000|322139000|756419000|100200000||385339000||-166202000|-256000|165946000|5032000000|-2099000||193028000|627345000|142424000|166202000|484921000|576316000|756419000|949840000|484921000|OKE
2022-09-30|USD|1140531000|5913531000|4773000000|286184000|700000000|47770000||286184000||-166939000|61000|167000000|5914000000|-8000000||187986000|563751000|132000000|166939000|431751000|599000000|700000000|887187000|431751000|OKE
