fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|3133000000|3675000000|542000000|2603000000|531000000|495000000|37000000|560000000||-48000000||54000000|3675000000|||16000000|467000000|130000000|54000000|353000000|396000000|531000000|537000000|337000000|OTIS
2024-09-30|USD|3068000000|3548000000|480000000|2470000000|363000000|455000000|40000000|519000000||150000000||43000000|3548000000|||15000000|495000000|-45000000|43000000|557000000|487000000|363000000|553000000|540000000|OTIS
2024-06-30|USD|3127000000|3601000000|474000000|2520000000|570000000|449000000|39000000|514000000||-27000000||43000000|3601000000|||15000000|509000000|94000000|43000000|450000000|420000000|570000000|567000000|415000000|OTIS
2024-03-31|USD|2896000000|3393000000|497000000|2408000000|544000000|462000000|36000000|539000000||-44000000|-1000000|43000000|3437000000|||15000000|479000000|126000000|43000000|374000000|347000000|544000000|537000000|353000000|OTIS
2023-12-31|USD|3030000000|3579000000|549000000|2552000000|522000000|498000000|37000000|561000000||-41000000|9000000|50000000|3620000000|||16000000|456000000|133000000|50000000|344000000|221000000|522000000|522000000|323000000|OTIS
2023-09-30|USD|2994000000|3484000000|490000000|2477000000|571000000|452000000|36000000|526000000||-39000000|-1000000|38000000|3523000000|||17000000|513000000|137000000|38000000|395000000|417000000|571000000|568000000|376000000|OTIS
2023-06-30|USD|3176000000|3683000000|507000000|2637000000|580000000|479000000|36000000|542000000||-37000000|-3000000|34000000|3720000000|||17000000|511000000|135000000|34000000|407000000|313000000|580000000|562000000|376000000|OTIS
2023-03-31|USD|2836000000|3313000000|477000000|2350000000|513000000|455000000|35000000|518000000||-33000000||33000000|3346000000|||17000000|459000000|128000000|33000000|352000000|297000000|513000000|509000000|331000000|OTIS
2022-12-31|USD|2922000000|3403000000|481000000|2479000000|491000000|448000000|38000000|515000000||-36000000|-2000000|34000000|3439000000|||18000000|434000000|137000000|34000000|318000000|285000000|491000000|486000000|297000000|OTIS
2022-09-30|USD|2867000000|3309000000|442000000|2373000000|529000000|417000000|37000000|478000000||-35000000||35000000|3344000000|||18000000|467000000|143000000|35000000|350000000|492000000|529000000|520000000|324000000|OTIS
2022-06-30|USD|2970000000|3453000000|483000000|2505000000|487000000|439000000|38000000|520000000||-35000000||35000000|3488000000|||18000000|424000000|103000000|35000000|348000000|269000000|487000000|477000000|321000000|OTIS
2022-03-31|USD|2885000000|3377000000|492000000|2408000000|526000000|459000000|37000000|536000000||-37000000|-1000000|36000000|3414000000|||19000000|447000000|136000000|36000000|353000000|378000000|526000000|502000000|311000000|OTIS
2021-12-31|USD|2976000000|3525000000|549000000|2530000000|496000000|503000000|46000000|563000000||-44000000|-9000000|35000000|3569000000|||20000000|418000000|137000000|35000000|310000000|345000000|496000000|473000000|281000000|OTIS
2021-09-30|USD|3075000000|3587000000|512000000|2560000000|542000000|479000000|39000000|549000000||-33000000|1000000|34000000|3620000000|||22000000|459000000|128000000|34000000|379000000|307000000|542000000|515000000|331000000|OTIS
2021-06-30|USD|3155000000|3674000000|519000000|2626000000|561000000|484000000|39000000|556000000||-27000000|7000000|34000000|3701000000|||22000000|479000000|153000000|34000000|379000000|346000000|561000000|535000000|326000000|OTIS
2021-03-31|USD|2854000000|3376000000|522000000|2389000000|509000000|482000000|35000000|555000000||-32000000|1000000|33000000|3408000000|||23000000|431000000|123000000|33000000|352000000|300000000|509000000|487000000|308000000|OTIS
2020-12-31|USD|1012000000|3493000000|614000000|2481000000|440000000|537000000|40000000|648000000||-37000000|-8000000|29000000|3493000000|||24000000|369000000|118000000|29000000|1012000000|255000000|440000000|422000000|251000000|OTIS
2020-09-30|USD|979000000|3229000000|525000000|2289000000|454000000|481000000|37000000|560000000||-39000000|1000000|40000000|3268000000|||22000000|369000000|103000000|40000000|310000000|290000000|454000000|431000000|266000000|OTIS
2020-06-30|USD|891000000|2988000000|485000000|2138000000|416000000|441000000|37000000|521000000||-41000000|1000000|42000000|3029000000|||23000000|333000000|109000000|42000000|265000000|243000000|416000000|398000000|224000000|OTIS
2020-03-31|USD|897000000|2966000000|2069000000|2069000000|329000000|465000000|38000000|586000000||-5000000|5000000|5000000|2966000000|||22000000|290000000|125000000|5000000|202000000|61000000|295000000|317000000|165000000|OTIS
2019-12-31|USD|966000000|3353000000|2387000000|2387000000|436000000|481000000|45000000|530000000||6000000||||||45000000|401000000|183000000||254000000|273000000|436000000|567000000|218000000|OTIS
2019-09-30|USD|975000000|3313000000|2338000000|2338000000|482000000|444000000|39000000|493000000||6000000||||||44000000|460000000|143000000||361000000|238000000|482000000|526000000|317000000|OTIS
2019-06-30|USD|984000000|3351000000|2367000000|2367000000|481000000|444000000|40000000|503000000||3000000||||||46000000|451000000|143000000||352000000|268000000|481000000|527000000|308000000|OTIS
2019-03-31|USD|901000000|3101000000|2200000000|2200000000|415000000|441000000|39000000|486000000||-1000000|1000000|1000000||||45000000|398000000|125000000||300000000|287000000|415000000|471000000|273000000|OTIS
