fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-11-30|USD|937800000|1316900000|379100000|379100000|538100000|399700000||412100000||36100000|45600000|9500000|1280800000|-700000|29300000|12400000|543700000|130300000||413400000|401800000|538100000|565600000|413400000|PAYX
2024-08-31|USD|938500000|1318500000|380000000|380000000|546700000|391800000||411100000||37500000|47100000|9600000|1281000000|100000|27200000|11800000|557100000|129700000||427400000|492200000|546700000|578500000|427400000|PAYX
2024-05-31|USD|919900000|1295100000|375200000|375200000|481800000|438100000||488600000||28700000|38200000|9500000|1221500000|-2100000|32800000|12800000|491800000|111900000|9500000|379900000|380000000|481800000|514100000|379900000|PAYX
2024-02-29|USD|1059500000|1439300000|379800000|379800000|649800000|409700000||422200000||34000000|43900000|9900000|1395400000|0|32300000|12500000|659200000|160600000|9900000|498600000|520600000|649800000|681600000|498600000|PAYX
2023-11-30|USD|893800000|1257900000|364100000|364100000|506200000|387600000||400500000||23000000|31500000|8500000|1226400000|-100000|32000000|12900000|517900000|125200000|8500000|392700000|408600000|506200000|539300000|392700000|PAYX
2023-08-31|USD|925800000|1286000000|360200000|360200000|536300000|389500000||404600000||23300000|32700000|9400000|1253300000|700000|30400000|10800000|549100000|129900000|9400000|419200000|396000000|536300000|569300000|419200000|PAYX
2023-05-31|USD|859800000|1229600000|369800000|369800000|453300000|406500000||422600000||15500000|24900000|9400000|1194800000|900000|32600000|11500000|463600000|113200000|9400000|350400000|394700000|453300000|484500000|350400000|PAYX
2023-02-28|USD|1008100000|1381000000|372900000|372900000|611900000|396200000||407700000||26300000|35300000|9000000|1345700000|-300000|32700000|11500000|617400000|150000000|9000000|467400000|461500000|611900000|637900000|467400000|PAYX
2022-11-30|USD|831000000|1190300000|359300000|359300000|472300000|358700000||371300000||12500000|21700000|9200000|1168600000|2000000|31700000|12600000|475200000|114900000|9200000|360300000|333400000|472300000|497000000|360300000|PAYX
2022-08-31|USD|855200000|1206200000|351000000|351000000|495600000|359600000||376700000||8800000|17900000|9100000|1188400000|100000|31400000|12600000|492000000|112800000|9100000|379200000|341700000|495600000|513700000|379200000|PAYX
2022-05-31|USD|784300000|1144300000|360000000|360000000|394000000|390300000||413100000||5600000|14700000|9100000|1129700000|2100000|35600000|13500000|388800000|92400000|9100000|296400000|209500000|394000000|411400000|296400000|PAYX
2022-02-28|USD|923800000|1276000000|352200000|352200000|562800000|361000000||374500000||5400000|14400000|9000000|1261600000|0|34900000|13500000|554300000|123600000|9000000|430700000|379900000|562800000|576800000|430700000|PAYX
2021-11-30|USD|776900000|1108500000|331600000|331600000|440300000|336600000||352700000||4800000|14100000|9300000|1094400000|6200000|32500000|16100000|437600000|105500000|9300000|332100000|290800000|440300000|463000000|332100000|PAYX
2021-08-31|USD|770400000|1082900000|312500000|312500000|442900000|327500000||338900000||5300000|14500000|9200000|1068400000|10000000|30700000|15000000|443900000|110300000|9200000|333600000|326900000|442900000|468100000|333600000|PAYX
2021-05-31|USD|713400000|1029200000|315800000|315800000|353800000|359600000||371900000||5500000|14500000|9000000|1014700000|200000|31300000|16100000|345900000|82900000|9000000|263000000|257600000|353800000|371000000|263000000|PAYX
2021-02-28|USD|783300000|1111700000|328400000|328400000|468600000|314700000||330700000||6300000|15100000|8800000|1096600000|2500000|30400000|16000000|462600000|112100000|8800000|350500000|334600000|468600000|487400000|350500000|PAYX
2020-11-30|USD|663800000|983700000|319900000|319900000|354300000|309500000||327700000||5800000|14800000|9000000|968900000|3800000|30400000|18200000|349600000|77200000|9000000|272400000|266000000|354300000|376800000|272400000|PAYX
2020-08-31|USD|625100000|932200000|307100000|307100000|284000000|341100000||354900000||5900000|14900000|9000000|917300000|500000|31300000|18300000|276100000|64500000|9000000|211600000|234600000|284000000|303400000|211600000|PAYX
2020-05-31|USD|623400000|915100000|291700000|291700000|299600000|323800000||-575600000||25300000|34400000|9100000|889800000|-300000|32200000|19500000|291600000|70900000|9100000|220700000|232000000|299600000|320200000|220700000|PAYX
2020-02-29|USD|802400000|1142700000|340300000|340300000|470100000|332300000||672600000||11900000|21200000|9300000|1121500000|300000|30700000|19400000|464200000|109700000|9300000|354500000|388100000|470100000|492900000|354500000|PAYX
2019-11-30|USD|667300000|990700000|323400000|323400000|341700000|325600000||649000000||9800000|19900000|10100000|970800000|2100000|33100000|21900000|337000000|78300000|10100000|258700000|243800000|341700000|369000000|258700000|PAYX
2019-08-31|USD|666600000|992000000|325400000|325400000|349100000|317500000||642900000||10200000|20500000|10300000|971500000|1000000|31800000|21100000|344300000|80100000|10300000|264200000|290600000|349100000|375700000|264200000|PAYX
2019-05-31|USD|980400000|980400000|264200000|322100000|314500000|343800000||665900000||22200000|31400000|9200000|958200000|1000000|34000000|21800000|310500000|80100000|9200000|230400000|249800000|314500000|341500000|230400000|PAYX
2019-02-28|USD|733700000|1070400000|336700000|325300000|429300000|315800000||641100000||16300000|23000000|6700000|1047400000|-100000|32100000|20900000|425600000|101000000|6700000|324600000|352700000|429300000|453200000|324600000|PAYX
2018-11-30|USD|565500000|858900000|293400000|264900000|307200000|286800000||551700000||17500000|18300000|800000|840600000|100000|30200000|6600000|309300000|73500000|800000|235800000|224200000|307200000|316700000|235800000|PAYX
2018-08-31|USD|579300000|862800000|283500000|265500000|320300000|277000000||542500000||16200000|17100000|900000|845700000||29400000|6500000|322600000|79000000|900000|243600000|244000000|320300000|330000000|243600000|PAYX
2018-05-31|USD|871100000|845700000|215300000|266300000|302100000|278200000||543600000||17700000|18400000|700000|828000000||28900000|6800000|315400000|86900000|700000|228500000|208200000|302100000|322900000|228500000|PAYX
2018-02-28|USD|558100000|936100000|308400000|270700000|369000000|294900000||567100000||17000000|18100000|1100000|918000000||31500000|5100000|264500000|4100000|1100000|260400000|349700000|369000000|270700000|260400000|PAYX
2017-11-30|USD|575600000|803000000|250900000|248700000|303100000|251300000||499900000||12700000|14000000|1300000|789000000||28400000|5300000|323000000|106000000|1300000|217000000|165200000|303100000|329600000|217000000|PAYX
2017-08-31|USD|573200000|792900000|243600000|232100000|317300000|243600000||475600000||12900000|13700000|800000|779200000||28100000|3900000|336800000|109000000|800000|227800000|214800000|317300000|341500000|227800000|PAYX
