fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|5893000000|6631000000|738000000|4444000000|1020000000|||5806000000|109000000|-620000000|109000000|729000000|0|59000000||1055000000|459000000|-215000000|729000000|674000000|665000000|1020000000|2243000000|674000000|PCG
2024-09-30|USD|5832000000|5941000000|109000000|3607000000|1029000000|||4912000000|156000000|-639000000|156000000|795000000|-9000000|83000000||1059000000|473000000|-106000000|804000000|579000000|583000000|1029000000|2327000000|579000000|PCG
2024-06-30|USD|5921000000|5986000000|65000000|4855000000|1134000000|||4852000000|202000000|-610000000|202000000|812000000||82000000||1131000000|606000000|82000000|812000000|524000000|524000000|1134000000|2262000000|524000000|PCG
2024-03-31|USD|5791000000|5861000000|70000000|4586000000|1276000000|||4655000000|137000000|-715000000|137000000|715000000||76000000||1100000000|774000000|39000000|715000000|735000000|734000000|1276000000|2422000000|735000000|PCG
2023-12-31|USD|6498000000|7041000000|543000000|4481000000|1135000000|||6081000000|197000000|-926000000|197000000|926000000||59000000||967000000|465000000|-458000000|926000000|923000000|912000000|1135000000|2358000000|923000000|PCG
2023-09-30|USD|5629000000|5888000000|259000000|4143000000|401000000|259000000||5487000000|154000000|-682000000|154000000|682000000||62000000||1030000000|-65000000|-416000000|682000000|351000000|349000000|401000000|1396000000|351000000|PCG
2023-06-30|USD|5136000000|5290000000|154000000|3382000000|506000000|154000000||4784000000|143000000|-640000000|143000000|640000000||66000000||122085|75000000|-335000000|640000000|410000000|410000000|506000000|1711000000|410000000|PCG
2023-03-31|USD|6070000000|6209000000|139000000|4115000000|629000000|139000000||5719000000|112000000|-602000000|112000000|602000000||85000000||41584|224000000|-348000000|602000000|572000000|577000000|629000000|1901000000|572000000|PCG
2022-12-31|USD|5025000000|5370000000|345000000|3523000000|130000000|145000000||5372000000|92000000|-562000000|92000000|562000000||148000000||54880|-192000000|-709000000|562000000|517000000|549000000|130000000|1395000000|517000000|PCG
2022-09-30|USD|5394000000|5394000000|50000000|3539000000|726000000|50000000||4668000000|43000000|-525000000|482000000|525000000||118000000||27081|362000000|-97000000|525000000|459000000|447000000|726000000|1898000000|459000000|PCG
