fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|14603000000|27784000000|13181000000|13181000000|2250000000|12320000000||16670000000||-264000000||264000000||||1259000000|1798000000|275000000||1534000000|563000000|2062000000|3332000000|1523000000|PEP
2024-09-07|USD|12923000000|23319000000|10396000000|10396000000|3872000000|9051000000||8975000000||||219000000|||||3679000000|749000000||2945000000|2064000000|3898000000||2930000000|PEP
2024-06-15|USD|12582000000|22501000000|9919000000|9919000000|4048000000|8534000000||8458000000||||234000000|||||3859000000|776000000||3094000000|2476000000|4093000000||3083000000|PEP
2024-03-23|USD|10002000000|18250000000|8248000000|8248000000|2717000000|7285000000||7285000000||-202000000||202000000||||768000000|2562000000|520000000|202000000|2053000000|2397000000|2764000000|3543000000|2042000000|PEP
2023-12-31|USD|14753000000|27850000000|13097000000|13097000000|1683000000|12149000000|804000000|15981000000||-217000000||217000000|0|||1161000000|1511000000|209000000|217000000|1324000000|1562000000|1728000000|2911000000|1302000000|PEP
2023-09-09|USD|12778000000|23453000000|10675000000|10675000000|4015000000|8763000000||8763000000||-201000000||201000000|0||||3852000000|760000000|201000000|3116000000|3078000000|4053000000||3092000000|PEP
2023-06-17|USD|12201000000|22322000000|10121000000|10121000000|3659000000|8542000000||8655000000||-201000000||201000000|0||||3495000000|747000000|201000000|2771000000|2569000000|3696000000||2748000000|PEP
2023-03-31|USD|9858000000|17846000000|7988000000|7988000000|2629000000|7229000000||7229000000||-200000000||200000000|0|||706000000|2478000000|546000000|200000000|1944000000|1633000000|2678000000|3644000000|1932000000|PEP
2022-12-31|USD|14576000000|27996000000|13420000000|13420000000|815000000|12197000000|771000000|16852000000||-273000000||273000000|0|||909000000|489000000|-29000000|273000000|535000000|-41000000|762000000|3625000000|518000000|PEP
2022-09-03|USD|11663000000|21971000000|10308000000|10308000000|3353000000|8295000000||8369000000||-190000000||190000000|-14000000||||3177000000|475000000|190000000|2724000000|2375000000|3367000000||2702000000|PEP
2022-06-11|USD|10810000000|20225000000|9415000000|9415000000|2077000000|7387000000||8602000000||-236000000||236000000|13000000||||1822000000|393000000|236000000|1446000000|2356000000|2058000000||1429000000|PEP
2022-03-19|USD|8767000000|16200000000|7433000000|7433000000|5267000000|6580000000||3763000000||-240000000||240000000|3300000000||||5149000000|888000000|240000000|4273000000|3816000000|5389000000||4261000000|PEP
2021-12-31|USD|13118000000|25248000000|12130000000|12130000000|2562000000|10556000000|752000000|13886000000||-1132000000||1132000000|-842000000|||847000000|1569000000|247000000|1974000000|1341000000|1549000000|2701000000|3531000000|1322000000|PEP
2021-09-04|USD|10795000000|20189000000|9394000000|9394000000|3159000000|7636000000||7636000000||-232000000||232000000|0||||3026000000|802000000|232000000|2243000000|1958000000|3258000000||2224000000|PEP
2021-06-12|USD|10337000000|19217000000|8880000000|8880000000|3129000000|7208000000||7208000000||-241000000||241000000|0||||3000000000|642000000|241000000|2372000000|2745000000|3241000000||2358000000|PEP
2021-03-20|USD|8149000000|14820000000|6671000000|6671000000|2312000000|5837000000||5837000000||-258000000||258000000|0||||2165000000|451000000|258000000|1723000000|1944000000|2423000000||1714000000|PEP
2020-12-31|USD|12029000000|22455000000|10426000000|10426000000|2826000000|9161000000|719000000|12958000000||-339000000||339000000||||817000000|2343000000|498000000|339000000|1859000000|1726000000|2682000000|3513000000|1845000000|PEP
2020-09-05|USD|9935000000|18091000000|8156000000|8156000000|3011000000|6924000000||6924000000||-264000000||264000000|||||2817000000|526000000|264000000|2307000000|2712000000|3081000000||2291000000|PEP
2020-06-13|USD|8857000000|15945000000|7088000000|7088000000|2319000000|6538000000||6538000000||-235000000||235000000|||||2156000000|510000000|235000000|1658000000|925000000|2391000000||1646000000|PEP
2020-03-21|USD|7754000000|13881000000|6127000000|6127000000|1924000000|5830000000||5855000000||-290000000||290000000||||533000000|1698000000|360000000|290000000|1351000000|581000000|1988000000|2534000000|1338000000|PEP
2019-12-31|USD|11294000000|20640000000|9346000000|9346000000|2699000000|8595000000|711000000|370000000||-484000000|-200000000|284000000|0|61000000||798000000|2196000000|430000000|0|2269000000|2592000000|2480000000|2553000000|1766000000|PEP
2019-09-07|USD|9494000000|17188000000|7694000000|7694000000|2855000000|6639000000||105000000||-224000000||224000000|0|38000000|||2659000000|559000000|0|2296000000|1958000000|2883000000||2100000000|PEP
2019-06-15|USD|9045000000|16449000000|7404000000|7404000000|2729000000|6316000000||182000000||-223000000||223000000|0||||2559000000|524000000|0|2205000000|1707000000|2782000000||2035000000|PEP
2019-03-23|USD|7196000000|12884000000|5688000000|5688000000|2008000000|5188000000|711000000|5188000000||-204000000|63000000|267000000|0|63000000||498000000|1859000000|446000000|267000000|1422000000|1876000000|2126000000|2633000000|1413000000|PEP
2018-12-31|USD|10588000000|19524000000|8936000000|8936000000|2431000000|8157000000|680000000|246000000||-621000000|-306000000|315000000|-195000000|58000000||763000000|1922000000|-4932000000|253000000|7363000000|5988000000|2237000000|2556000000|6854000000|PEP
