fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|505200000|2161300000|1838000000|1677200000|327100000|162000000||189500000||-9700000|-9200000|500000|2171000000||122700000|600000|318600000|80500000|500000|238100000|240100000|327100000|319700000|238100000|PKG
2024-06-30|USD|437700000|2056900000|1786000000|1637600000|276000000|149500000||169700000||-10400000|-9900000|500000|2067300000||118700000|600000|131100000|-67800000|500000|334500000|199900000|276000000|132200000|198900000|PKG
2024-03-31|USD|370400000|1962500000|1760500000|1609100000|196000000|151900000||179600000||-9600000|-9100000|500000|1972100000||118100000|600000|187500000|40600000|500000|146900000|147800000|196000000|188600000|146900000|PKG
2023-12-31|USD|410100000|1917300000|1676200000|1527800000|261500000|142800000||152500000||-11100000|-1800000|9300000|1928400000||120400000|600000|248500000|59300000|9300000|189200000|215000000|261500000|258400000|189200000|PKG
2023-09-30|USD|412700000|1914700000|1669300000|1523300000|258600000|144200000||163100000||-12300000|-11900000|400000|1927000000||118600000|500000|244500000|61300000|400000|183200000|185200000|258600000|245400000|183200000|PKG
2023-06-30|USD|444700000|1930900000|1655000000|1507400000|284400000|145600000||166900000||-14600000|-14200000|400000|1945500000||117400000|600000|267800000|-65100000|400000|202700000|204300000|284400000|268800000|202700000|PKG
2023-03-31|USD|431400000|1954300000|1695600000|1544900000|270700000|148200000||162500000||-15400000|-15000000|400000|1969700000||118800000|500000|253300000|63200000|400000|190100000|192200000|270700000|254200000|190100000|PKG
2022-12-31|USD|450300000|1952700000|1672100000|1528100000|288000000|145700000||166400000||-15100000|-6500000|8600000|1967800000||108400000|600000|276500000|64900000|8600000|211600000|183000000|288000000|285700000|211600000|PKG
2022-09-30|USD|518400000|2101900000|1749100000|1607500000|360300000|145200000||165600000||-16500000|-16100000|400000|2118400000||103200000|500000|347400000|84900000|400000|262500000|263100000|360300000|348300000|262500000|PKG
2022-06-30|USD|588800000|2204700000|1801600000|1648500000|415800000|156700000||186800000||-18800000|-18400000|400000|2223500000||103500000|500000|400600000|99100000|400000|301500000|302300000|415800000|401500000|301500000|PKG
2022-03-31|USD|533200000|2103900000|1761200000|1603200000|356500000|161100000||179500000||-19800000|-19400000|400000|2123700000||98500000|500000|340300000|86100000|400000|254200000|254200000|356500000|341200000|254200000|PKG
2021-12-31|USD|509900000|1895300000|1673000000|1533300000|355700000|141100000||153000000||-80200000|-73500000|6700000|1975500000||96100000|2400000|280400000|63900000|62800000|216500000|278100000|355700000|289500000|216500000|PKG
2021-09-30|USD|510700000|1969800000|1628900000|1489400000|352800000|144500000||164300000||-23900000|-23400000|500000|1993700000||95500000|700000|333900000|83200000|500000|250700000|253600000|352800000|335100000|250700000|PKG
2021-06-30|USD|448800000|1846000000|1572400000|1431100000|294600000|146300000||163200000||-24900000|-24400000|500000|1870900000||94500000|600000|274700000|67400000|500000|207300000|209700000|294600000|275800000|207300000|PKG
2021-03-31|USD|403700000|1769000000|1544400000|1403500000|238300000|145000000||169100000||-23500000|-23000000|500000|1792500000||90000000|700000|219600000|53100000|500000|166500000|168900000|238300000|220800000|166500000|PKG
2020-12-31|USD|333300000|1714200000|1457400000|1380900000|189300000|130300000|15500000|146800000||-24400000|-19100000|5300000|1714200000||89800000|700000|165300000|41800000|5300000|189300000|130000000|189300000|171300000|123500000|PKG
2020-09-30|USD|345400000|1663800000|1484300000|1348300000|209500000|127100000||141400000||-24400000|-23900000|500000|1688200000||89600000|9500000|185700000|46600000|500000|139100000|141600000|209500000|195700000|139100000|PKG
2020-06-30|USD|325800000|1511500000|1406700000|1215800000|116100000|136300000||159500000||-25100000|-24600000|500000|1536600000||93300000|700000|91600000|34900000|500000|56700000|60300000|116100000|92800000|56700000|PKG
2020-03-31|USD|365000000|1683100000|1489600000|1343700000|209100000|145900000||161900000||-19600000|-19100000|500000|1702700000||89800000|600000|190100000|48400000|500000|141700000|144200000|209100000|191200000|141700000|PKG
2019-12-31|USD|383300000|1720000000|1494000000|1336700000|235100000|137000000|16000000|166500000||-60800000|-54700000|6100000|1720000000||88200000|16900000|172400000|36200000|28300000|235100000|105500000|235100000|195400000|136200000|PKG
2019-09-30|USD|411400000|1719600000|1488200000|1339300000|262800000|136900000||158100000||-21600000|-20600000|1000000|1741200000||87600000|10100000|239300000|59500000|1000000|179800000|183200000|262800000|250400000|179800000|PKG
2019-06-30|USD|427900000|1733000000|1477700000|1332000000|280400000|143700000||152000000||-22400000|-21700000|700000|1755400000||85800000|2100000|256000000|62400000|700000|193600000|196900000|280400000|258800000|193600000|PKG
2019-03-31|USD|421400000|1705300000|1456500000|1312300000|275400000|140000000||150300000||-24100000|-23400000|700000|1729400000||85200000|2200000|249300000|62500000|700000|186800000|190100000|275400000|252200000|186800000|PKG
