fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|416403000|1432879000|1016476000|1016476000|176353000|240050000||240050000||-12355000||12355000||||11570000|164062000|38361000||125701000|124190000|176353000|187923000|125701000|POOL
2024-06-30|USD|530141000|1769784000|1239643000|1239643000|271481000|258660000||258660000||-14044000||14044000||||11043000|257437000|65058000||192439000|-6519000|271481000|282524000|192439000|POOL
2024-03-31|USD|338560000|1120810000|782250000|782250000|108720000|229840000||229840000||-13419000||13419000|||8661000|10749000|95358000|16473000||78885000|77443000|108720000|119469000|78885000|POOL
2023-12-31|USD|293775000|1003050000|709275000|709275000|79344000|214431000||224111000||-12104000||12104000|||8230000|10360000|67182000|15745000||293775000|293775000|79344000|89704000|51437000|POOL
2023-09-30|USD|428731000|1474407000|1045676000|1045676000|194443000|234288000||234288000||-13599000||13599000|||8063000|10251000|180922000|43079000||137843000|133734000|194443000|204694000|137843000|POOL
2023-06-30|USD|567783000|1857363000|1289580000|1289580000|327009000|240774000||240774000||-16892000||16892000||-16772000|7660000|9762000|310237000|77987000||232250000|238548000|327009000|336771000|232250000|POOL
2023-03-31|USD|369755000|1206774000|837019000|837019000|145771000|223984000||223984000||-15835000||15835000||-15799000|7632000|9767000|129972000|28273000||101699000|100359000|145771000|155538000|101699000|POOL
2022-12-31|USD|315731000|1095920000|780189000|780189000|107294000|207832000||219290000||-15482000||15483000||-15356000|7209000|9330000|91939000|20076000||315731000|315731000|107294000|116625000|71863000|POOL
2022-09-30|USD|503687000|1615339000|1111652000|1111652000|263877000|239810000||239810000||-11707000||11707000||-11617000|7796000|9961000|252260000|62205000||190055000|187679000|263877000|273838000|190055000|POOL
2022-06-30|USD|666804000|2055818000|1389014000|1389014000|418888000|247916000||247916000||-8523000||8523000||-8445000|7713000|9879000|410443000|103160000||307283000|305051000|418888000|428767000|307283000|POOL
2022-03-31|USD|447189000|1412650000|965461000|965461000|235723000|211466000||211466000||-5198000||5198000||-5140000|7663000|9855000|230583000|51322000||179261000|190645000|235723000|245578000|179261000|POOL
2021-12-31|USD|322376000|1035557000|713181000|713181000|127891000|196985000||197926000||-1777000||1777000||-1710000|7260000|7935000|126181000|18572000||322376000|322376000|127891000|134726000|107609000|POOL
2021-09-30|USD|441899000|1411448000|969549000|969549000|237276000|204623000||206023000||-2317000||2317000||-2225000|7143000|7484000|235051000|50386000||184665000|182583000|237276000|243360000|184665000|POOL
2021-06-30|USD|551685000|1787833000|1236148000|1236148000|338586000|213099000||213099000||-1963000||1963000||-1906000|7000000|7302000|336680000|76985000||259695000|258840000|338586000|345888000|259695000|POOL
2021-03-31|USD|301131000|1060745000|759614000|759614000|129031000|172100000||172100000||-2582000||2582000||-2507000|6884000|7305000|126524000|27869000||98655000|106524000|129031000|136336000|98655000|POOL
2020-12-31|USD|239095000|839261000|600166000|600166000|74350000|164745000||165119000||-3061000||3061000||-3013000|6988000|7444000|71337000|12163000||239095000|239095000|74350000|81841000|59174000|POOL
2020-09-30|USD|328698000|1139229000|810531000|810531000|148233000|180465000||180465000||-1861000||1861000||-1775000|6986000|7306000|146458000|27360000||119098000|122228000|148233000|155539000|119098000|POOL
2020-06-30|USD|373481000|1280846000|907365000|907365000|205857000|167624000||167624000||-2643000|2643000|2643000||-2569000|6992000|7311000|203288000|45733000||157555000|157122000|205857000|213168000|157555000|POOL
2020-03-31|USD|189629000|677288000|487659000|487659000|35588000|147097000||153997000||-4789000|4789000|4789000||-4701000|7001000|7337000|30887000|-25000||30912000|16972000|35588000|49869000|30912000|POOL
2019-12-31|USD|162050000|582234000|420184000|420184000|25798000|136252000||136457000||-5234000|5234000|5234000||-5182000|7237000|7577000|20616000|2592000||162050000|21470000|25798000|33375000|18024000|POOL
2019-09-30|USD|257931000|898500000|640569000|640569000|104540000|153391000||153391000||-5498000|5498000|5498000||-5422000|7090000|7426000|99118000|19593000||79525000|76804000|104540000|111966000|79525000|POOL
2019-06-30|USD|330314000|1121328000|791014000|791014000|172523000|157791000||157791000||-6424000|6424000|6424000||-6355000|6909000|7247000|166168000|34778000||131390000|131358000|172523000|179770000|131390000|POOL
2019-03-31|USD|174631000|597456000|422825000|422825000|38386000|136245000||136245000||-6616000||6616000||-6551000|6649000|7024000|31835000|-802000||32637000|32582000|38386000|45410000|32637000|POOL
2018-12-31|USD|160442000|543082000|382640000|382640000|25969000|134472000||137569000||||6448000||-6372000|6623000|7008000|19596000|2785000||160442000|13423000|25969000|32978000|16811000|POOL
2018-09-30|USD|235003000|811311000|576308000|576308000|92337000|142666000||142666000||||4931000||-4870000|6611000|7081000|87467000|18206000||69261000|70481000|92337000|99418000|69261000|POOL
2018-06-30|USD|308655000|1057804000|749149000|749149000|162042000|146613000||146613000||||5991000||-5931000|6589000|7057000|156111000|39062000||117049000|113749000|162042000|169099000|117049000|POOL
2018-03-31|USD|166073000|585900000|419827000|419827000|33541000|132532000||132532000||||3527000||-3481000|6299000|6769000|30060000|-1279000||31339000|33139000|33541000|40310000|31339000|POOL
2017-12-31|USD|145398000|510183000|364785000|364785000|17259000|128139000||129876000||||3581000||-3563000|6210000|6646000|13696000|-11969000||145398000|25308000|17259000|23905000|25665000|POOL
2017-09-30|USD|216606000|743401000|526795000|526795000|81928000|134678000||134678000||||4009000||-3966000|6330000|6719000|77962000|29179000||48783000|50908000|81928000|88647000|48783000|POOL
2017-06-30|USD|289664000|988163000|698499000|698499000|154186000|135478000||135478000||||3952000||-3912000|6060000|6438000|150557000|55654000||94620000|98131000|154186000|160624000|94903000|POOL
2017-03-31|USD|153621000|546441000|392820000|392820000|30998000|122623000||122623000||||3647000||-3609000|5557000|5922000|27400000|5119000||22270000|23814000|30998000|36920000|22281000|POOL
2016-12-31|USD|127777000|445235000|317458000|317458000|9743000|118034000||122684000||||4527000||-4484000|5318000|5669000|5302000|2687000||127777000|2415000|9743000|15412000|2615000|POOL
2016-09-30|USD|199551000|691429000|491878000|491878000|74166000|125385000||125385000||||2989000||-2938000|5277000|5830000|71341000|26807000||44421000|45187000|74166000|79996000|44534000|POOL
2016-06-30|USD|270736000|918889000|648153000|648153000|142420000|128316000||128316000||||4001000||-3964000|5007000|5403000|138644000|53209000||85247000|83747000|142420000|147823000|85435000|POOL
2016-03-31|USD|143023000|515250000|372227000|372227000|29530000|113493000||113493000||||2964000||-2939000|4736000|5075000|26599000|10228000||16363000|17284000|29530000|34605000|16371000|POOL
2015-12-31|USD|118295000|415075000|296780000|296780000|5979000|112316000||113141000||6985000||1704000||-8120000|4453000|4697000|4134000|1648000||118295000|2354000|5979000|10676000|2486000|POOL
2015-09-30|USD|184288000|645779000|461491000|461491000|65512000|118776000||118776000||-2473000||2473000||68000|4233000|4472000|63151000|23704000||39403000|36099000|65512000|69984000|39447000|POOL
2015-06-30|USD|248260000|851855000|603595000|603595000|129132000|119128000||119128000||-1900000||1900000||70000|3976000|4230000|127417000|49493000||77809000|77154000|129132000|133362000|77924000|POOL
2015-03-31|USD|124801000|450430000|325629000|325629000|15599000|109202000||109202000||-1995000||1995000||121000|3711000|3989000|13711000|5292000||8433000|2999000|15599000|19588000|8419000|POOL
2014-12-31|USD|106020000|376442000|270422000|270422000|-732000|106752000||107192000||-1794000||1794000||-5000|3746000|4058000|-2747000|-552000||106020000|-6258000|-732000|3326000|-2195000|POOL
2014-09-30|USD|176244000|615536000|439292000|439292000|58457000|117787000||117787000||-1864000||1864000||76000|3728000|4107000|56547000|21711000||34958000|33354000|58457000|62564000|34836000|POOL
2014-06-30|USD|246976000|848240000|601264000|601264000|122499000|124477000||124477000||-1894000||1894000||54000|3587000|3955000|120659000|46796000||73863000|73921000|122499000|126454000|73863000|POOL
2014-03-31|USD|114100000|406344000|292244000|292244000|8646000|105454000||105454000||-1933000||1933000||79000|3434000|3762000|6792000|2604000||4188000|3457000|8646000|12408000|4188000|POOL
2013-12-31|USD|95793000|340789000|244996000|244996000|-6814000|102607000||102162000||-1509000||1509000||130000|3643000|3958000|-8193000|-3218000||95793000|-2481000|-6814000|-2856000|-4975000|POOL
2013-09-30|USD|162557000|578157000|415600000|415600000|53375000|109182000||109182000||-1544000||1544000||-3000|3378000|3678000|51828000|19496000||32332000|31913000|53375000|57053000|32332000|POOL
2013-06-30|USD|228166000|790392000|562226000|562226000|111993000|116173000||116173000||-2081000||2081000||37000|3265000|3566000|109949000|43416000||66533000|132901000|111993000|115559000|66533000|POOL
2013-03-31|USD|104761000|370362000|265601000|265601000|6932000|97829000||97829000||-1614000||1614000||18000|3073000|3394000|5336000|1896000||3440000|8017000|6932000|10326000|3440000|POOL
2012-12-31|USD|88938000|306818000|217880000|217880000|-10297000|99235000||98973000||-1105000||1105000||129000|3111000|3433000|-11273000|-3276000||88938000|-7915000|-10297000|-6864000|-7997000|POOL
2012-09-30|USD|151501000|528027000|376526000|376526000|41011000|103544000||110490000||-1687000||1687000||16000|2922000|3246000|39340000|17965000||21375000|20605000|41011000|51203000|21375000|POOL
2012-06-30|USD|222405000|757175000|534770000|534770000|108134000|114271000||114271000||-2200000||2200000||27000|2895000|3213000|105961000|41018000||64943000|63487000|108134000|111347000|64943000|POOL
2012-03-31|USD|104563000|361954000|257391000|257391000|6021000|98542000||100019000||-1477000||1477000||144000|2664000|2984000|4688000|1037000|1477000|3651000|3441000|6165000|9005000|3651000|POOL
2011-12-31|USD|80835000|270422000|189587000|189587000|-14343000|93628000||97924000||-2854000||2854000||24000|2675000|2991000|-17173000|-7058000|2459000|80835000|-10918000|-14319000|-11352000|-10115000|POOL
2011-09-30|USD|147906000|503584000|355678000|355678000|40913000|106993000||108634000||-1641000||1641000||23000|2601000|2946000|39295000|15126000|1641000|24169000|23438000|40936000|43859000|24169000|POOL
2011-06-30|USD|211439000|706423000|494984000|494984000|97921000|113518000||115342000||-1824000||1824000||150000|2263000|2717000|96247000|37670000|1824000|58577000|60789000|98071000|100638000|58577000|POOL
2011-03-31|USD|91410000|312889000|221479000|221479000|576000|90834000||92479000||-1645000||1645000||12000|2207000|2651000|-1057000|-419000|1645000|-638000|-638000|588000|3227000|-638000|POOL
2010-12-31|USD|73567000|241426000|167859000|167859000|-16783000|90350000||87987000||-1961000||1961000|||2248000|2769000|-18756000|-6951000|1961000|73567000|-12979000|-16795000|-14014000|-11805000|POOL
2010-09-30|USD|130869000|455020000|324151000|324151000|37047000|93822000||94198000||-376000||376000||15000|2263000|2900000|36686000|13902000|376000|22784000|22784000|37062000|39947000|22784000|POOL
2010-06-30|USD|190534000|647467000|456933000|456933000|88869000|101665000||103593000||-1928000||1928000||-4000|2245000|2868000|86937000|34167000|1928000|52770000|52770000|88865000|91737000|52770000|POOL
2010-03-31|USD|76292000|269833000|193541000|193541000|-7888000|84180000||84180000||||2354000|||2224000|2791000|-10136000|-4025000||||-7782000|-5097000|-6111000|POOL
2009-12-31|USD|67069000|231032000|163963000|163963000|-21776000|88845000||88845000||||686000|||2327000|2909000|-22435000|-8829000||||-21749000|-18867000|-13606000|POOL
2009-09-30|USD|123394000|430054000|306660000|306660000|32142000|91252000||91252000||||2504000|||2272000|2837000|2326000|11648000||||4830000|34979000|-9322000|POOL
