fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|6508000000|11669000000|5161000000|5161000000|3555000000|723000000|2230000000|2953000000|169000000|6000000|169000000|163000000||34000000||436000000|3635000000|455000000||3180000000|2866000000|3798000000|4234000000|3180000000|QCOM
2024-09-30|USD|5777000000|10244000000|4467000000|4467000000|2582000000|761000000|2302000000|3381000000|185000000|5000000|185000000|180000000||-26000000||439000000|2601000000|-319000000||2915000000|3110000000|2781000000|3215000000|2920000000|QCOM
2024-06-23|USD|5219000000|9393000000|4174000000|4174000000|2221000000|664000000|2259000000|2923000000|182000000|-168000000|182000000|168000000||5000000||419000000|2300000000|171000000|168000000|2108000000|2088000000|2468000000|2715000000|2129000000|QCOM
2024-03-31|USD|5283000000|9389000000|4106000000|4106000000|2340000000|707000000|2236000000|2943000000|160000000|-172000000|160000000|172000000||6000000||411000000|2549000000|223000000|172000000|2275000000|2271000000|2721000000|2751000000|2326000000|QCOM
2023-12-31|USD|5623000000|9935000000|4312000000|4312000000|2928000000|627000000|2096000000|2723000000|149000000|-178000000|149000000|178000000||-7000000||437000000|2918000000|151000000|178000000|2811000000|2902000000|3096000000|3337000000|2767000000|QCOM
2023-09-30|USD|4751000000|8631000000|3880000000|3880000000|1410000000|629000000|2135000000|3364000000|120000000|-173000000|120000000|173000000||2000000||462000000|1281000000|-209000000|173000000|1629000000|1418000000|1454000000|1873000000|1490000000|QCOM
2023-06-30|USD|4659000000|8451000000|3792000000|3792000000|1823000000|618000000|2222000000|2840000000|79000000|-172000000|79000000|172000000||4000000||479000000|1825000000|22000000|172000000|1735000000|1815000000|1997000000|2429000000|1803000000|QCOM
2023-03-31|USD|5122000000|9275000000|4153000000|4153000000|2090000000|614000000|2210000000|2824000000|59000000|-179000000|59000000|179000000||-18000000||470000000|1897000000|193000000|179000000|1702000000|1829000000|2076000000|2560000000|1704000000|QCOM
2022-12-31|USD|5419000000|9463000000|4044000000|4044000000|2465000000|623000000|2251000000|2954000000|55000000|-170000000|55000000|170000000|-3000000|-2000000||398000000|2333000000|98000000|170000000|2273000000|2550000000|2503000000|2863000000|2235000000|QCOM
2022-09-30|USD|6527000000|11395000000|4868000000|4868000000|3666000000|683000000|2178000000|3343000000|32000000|-145000000|32000000|145000000|-2000000|-26000000||1538000000|3420000000|547000000|145000000|2923000000|2633000000|3565000000|5204000000|2873000000|QCOM
2022-06-30|USD|6120000000|10936000000|4816000000|4816000000|4472000000|655000000|2052000000|2707000000|22000000|-70000000|22000000|70000000|13000000|-6000000||438000000|4239000000|509000000|70000000|3730000000|3733000000|4309000000|3851000000|3730000000|QCOM
2022-03-31|USD|6516000000|11164000000|4648000000|4648000000|3858000000|624000000|2034000000|2658000000|20000000|-137000000|20000000|137000000|1000000|6000000||415000000|3423000000|489000000|137000000|2934000000|3091000000|3560000000|4273000000|2934000000|QCOM
2021-12-31|USD|6402000000|10705000000|4303000000|4303000000|3864000000|608000000|1930000000|2538000000|17000000|-139000000|17000000|139000000|7000000|140000000||406000000|3865000000|466000000|139000000|3399000000|3329000000|4004000000|4307000000|3399000000|QCOM
2021-09-30|USD|5399000000|9336000000|3937000000|3937000000|2902000000|618000000|1879000000|3039000000|20000000|-138000000|20000000|138000000|-3000000|521000000||425000000|3285000000|487000000|138000000|0|2742000000|3423000000|3327000000|2798000000|QCOM
