fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|234238000|360266000|126028000|206625000|-5304000|25073000||235888000||-46777000|1592000|48369000|0|||100955000|103576000|2107000|0|103576000|90960000|-5304000|95651000|101469000|REG
2024-06-30|USD|232044000|357250000|125206000|205937000|-4263000|24238000||233241000||-43030000|4018000|47048000|0|||100968000|104929000|2261000|0|104929000|103338000|-4263000|96705000|102668000|REG
2024-03-31|USD|238046000|363852000|125806000|205166000|1462000|26132000||233941000||-42759000|2625000|45384000|-180000|||97585000|107924000|4972001|180000|112658000|115547000|1462000|99047000|109774000|REG
2023-12-31|USD|231503000|359604000|128101000|112969000|-16415000|26558000|1173000|243177000||-42093000|829000|42093000||||98909000|92034000|70281000|41994000|91139000|79031000|-16415000|82494000|89774000|REG
2023-09-30|USD|222230000|330638000|108408000|99398000|7358000|20903000|297000|211339000||-38807000|385000|38807000||||87505000|92173000|51032000|38807000|92173000|92819000|7358000|94863000|90720000|REG
2023-06-30|USD|206021000|314247000|108226000|92903000|1528000|25065000||202811000||-36956000||36956000||||83161000|88172000|50215000|36956000|88172000|90191000|1528000|84689000|86782000|REG
2023-03-31|USD|208542000|317977000|109435000|89499000|12050000|25280000|1470000|196989000||-36393000|372000|36393000||13893000||82707000|98488000|121043000|36393000|98488000|93648000|12050000|94757000|97281000|REG
2022-12-31|USD|207201000|314517000|107316000|90660000|8686000|23193000|451000|198515000||-36388000|355000|36388000||16771000||82235000|96385000|36124000|36388000|96424000|94570000|8686000|90921000|95263000|REG
2022-09-30|USD|203446000|303989000|100543000|87503000|14451000|20273000||188995000||-36361000|288000|36361000||10214000||80270000|88847000|36540000|36361000|88847000|93443000|14451000|94721000|87578000|REG
2022-06-30|USD|205088000|302083000|96995000|84450000|23026000|17645000||182062000||-36699000|160000|36699000||22665000||79350000|105987000|36750000|36699000|105987000|108948000|23026000|102376000|104796000|REG
