fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31||1442000000|7539000000|6097000000|6097000000|401000000|||996000000||||173000000|||||223000000|-77000000|||||401000000|300000000|SW
2024-09-30|USD|1350000000|7671000000|6321000000|6321000000|55000000|1027999999||1295000000||-167000000|42000000|209000000||||37000000|-117000000|33000000||-150000000||55000000|92000000|-150000000|SW
2024-06-30|USD|1413021917|5941137768|4528115851|4528115851|-11461.14|11461.14||11461.14||||58414305||||310200106|-11460.21|131935759||-12300||-310211567.14|-11461.14|-11460.21|SW
2024-03-31|USD|660655000|2726365000|2065710000|2065710000|285663500|||353590000|||||||||248443500|-70718000|||||285663500|177725500|SW
2023-12-31|USD|1799663038|5341981766|3542318728|3542318728|492425545|1491273310.12||1307237489||-54599182|13161996.35|76665055||||321403502|388239704|111066041||61998507.71||492425548|813829050|277173662|SW
2023-09-30|USD|742000000|2915000000|2173000000|2173000000|354000000|371000000||388000000||-39000000|7000000|46000000||||95282879|302000000|73000000||229000000||252717121|348000000|229000000|SW
2023-06-30|USD|2113628077|6307386035|4193757958|4193757958|806117860|||1307510214||||87527543||||332820781|711026213|197747412||||806117859|1138938640|514359388|SW
2022-12-31|USD|2088290551|6515142283|4426851732|4426851732|830857960|||1257432593||||84099037||||329303459|528912017|155025936||||830857961|1160161420|374899322|SW
2022-06-30|USD|2186757395|6974248733|4787491338|4787491338|915336010|||1271421382||||73183189||||333147355|838875963|212995850||||915336015|1248483370|626972399|SW
2021-12-31|USD|1902215162|6299709518|4397494356|4397494356|695196390|||1207018772||||70796293||||324966592|577976297|149716751||||695196388|1020162980|430580735|SW
2021-06-30|USD|1750952829|5638477830|3887525001|3887525001|573608770|||1177344056||||72303626||||328981501|497689964|126531346||||573608769|902590270|371158617|SW
2020-12-31|USD|1729124520|5107113856|3377989336|3377989336|557096770|||1172027746||||73177966||||335202296|430805767|113307818||||557096774|892299070|316317659|SW
2020-06-30|USD|1551970602|4629476536|3077505934|3077505934|493458360|||1058512241||||72696990||||300701188|420761369|115654303||||493458362|794159550|305107066|SW
