fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|134400000|3751300000|3616900000|2630700000|397700000|790000000||906900000|52800000|-78600000|52800000|131400000|0|||40800000|89500000|-1600000||91100000|228200000|220900000|261700000|91100000|SWK
2024-06-30|USD|1174600000|4024400000|2849800000|2849800000|373600000|825800000||801000000||-78400000|42900000|121300000||||155000000|-22100000|-2900000||-19200000|-47200000|97600000|252600000|-11200000|SWK
2024-03-31|USD|94900000|3869500000|3774600000|2761000000|320900000|852000000||933400000|43600000|-131500000|43600000|131500000|0|||41100000|48300000|28800000|131500000|19500000|-96700000|179800000|220900000|19500000|SWK
2023-12-31|USD|-466800000|3736500000|4203300000|2632100000|-5796400000|832800000|362000000|1841800000|51700000|-139300000|51700000|139300000|-3200000|||480400000|-107100000|197300000|139300000|-276100000|-165900000|32200000|512600000|-304400000|SWK
2023-09-30|USD|-8300000|3953900000|3962200000|2893300000|335900000|791800000||977400000|50200000|-144600000|94400000|144600000|0|||48100000|-57000000|-61700000|144600000|4700000|-107100000|87600000|135700000|4700000|SWK
2023-06-30|USD|-22200000|4158900000|4181100000|3226800000|173600000|834400000||890600000|45200000|-144600000|99400000|144600000|0|45200000||48300000|-76300000|-253300000|144600000|177500000|147900000|68300000|116600000|177000000|SWK
2023-03-31|USD|-111600000|3931800000|4043400000|3096300000|86100000|823000000||893100000|39800000|-130900000|91100000|130900000|-7600000|32200000||48300000|-164100000|23700000|130900000|-187800000|-135000000|-33200000|15100000|-187800000|SWK
2022-12-31|USD|753500000|3986800000|3233300000|3233300000|699500000|758100000|357400000|54000000|30000000|-113900000|83900000|113900000|4000000|30000000||419400000|-96600000|-51600000|113900000|-100600000|256000000|17300000|436700000|-45000000|SWK
2022-09-30|USD|1018100000|4119600000|3101500000|3101500000|296800000|799000000||119000000|15400000|-91700000|76300000|91700000|-8600000|6800000||49600000|803700000|-40900000|91700000|36600000|569300000|895400000|945000000|844600000|SWK
2022-06-30|USD|1207100000|4393000000|3185900000|3185900000|419900000|849400000||248000000|6500000|-78200000|6500000|78200000|200000|6700000||51500000|24800000|-62800000|78200000|78600000|-190100000|103000000|154500000|87600000|SWK
2022-03-31|USD|1305400000|4448000000|3142600000|3142600000|419800000|949200000||221000000|2800000|-54700000|2800000|54700000|0|2800000||51700000|198200000|22900000|54700000|155500000|147600000|252900000|304600000|175300000|SWK
2021-12-31|USD|1127000000|3981900000|2854900000|2854900000|1023000000|933400000|276300000|104000000|2000000|-45800000|43800000|45800000|3000000|7900000||425800000|200900000|-127200000|45800000|279200000|357300000|246700000|672500000|328100000|SWK
2021-09-30|USD|1215600000|3779700000|2564100000|2564100000|521100000|770800000||33000000|2200000|-45600000|43500000|45600000|0|12100000||50300000|413700000|-500000|45600000|379600000|326400000|459300000|509600000|414200000|SWK
2021-06-30|USD|1361800000|3798900000|2437100000|2437100000|687500000|772000000||33000000|2700000|-46500000|43800000|46500000|-2600000|4500000||50500000|526800000|67300000|46500000|433500000|479100000|573300000|623800000|459500000|SWK
2021-03-31|USD|1387800000|3720800000|2333000000|2333000000|744500000|716900000||24000000|2900000|-47500000|2900000|47500000|-1000000|3700000||50500000|602900000|115500000|47500000|460200000|380300000|650400000|700900000|487400000|SWK
2020-12-31|USD|1404300000|4002700000|2598400000|1717000000|792900000|372600000||66000000|2900000|-52900000|100000|53000000|-60400000|-62000000||428100000|531300000|64000000|99800000|387400000|705400000|584300000|1012400000|467300000|SWK
2020-09-30|USD|1231900000|3488100000|2256200000|2473900000|700200000|731300000||824900000|2000000|-52700000|50700000|52700000|0|6000000||51200000|473300000|78400000|52700000|394900000|465000000|526000000|577200000|394900000|SWK
