fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|273500000|1443500000|1170000000|823900000|270700000|299100000||348900000||-15700000||15700000|1443500000|-2700000||76900000|254900000|-7100000|15700000|262200000|399700000|270700000|347600000|262000000|TDY
2024-06-30|USD|249700000|1374100000|1124400000|781500000|247000000|296500000||345600000||-15800000||15800000|1374100000|-2200000||77800000|231600000|51400000|15800000|180300000|174200000|247000000|324800000|180200000|TDY
2024-03-31|USD|195700000|1337400000|1141700000|770200000|234300000|296200000||374200000||-12700000||12700000|1350100000|1200000||78000000|224900000|46400000|12700000|179100000|87600000|237600000|315600000|178500000|TDY
2023-12-31|USD|218200000|1409400000|1191200000|801900000|271500000|303000000|365800000|392400000||-15600000||15600000|1425000000|-4800000||77400000|253800000|-69300000|15600000|323500000|476900000|269400000|346800000|323100000|TDY
2023-09-30|USD|249000000|1384100000|1135100000|797200000|264300000|291900000||341000000||-18400000|18400000|18400000|1402500000|-2900000||76900000|245900000|47300000|18400000|198800000|122700000|264300000|341200000|198600000|TDY
2023-06-30|USD|238300000|1404000000|1165700000|806300000|256100000|313000000||362300000||-22300000|22300000|22300000|1426300000|-3400000||80000000|234700000|49400000|20700000|185500000|200100000|257000000|337000000|185300000|TDY
2023-03-31|USD|192400000|1362300000|1169900000|790700000|242500000|300400000||382500000||-21000000|21000000|21000000|1383300000|-1100000||82100000|223600000|44900000|21000000|178800000|178400000|244600000|326700000|178700000|TDY
2022-12-31|USD|220200000|1395700000|1175500000|801300000|273800000|295200000|360600000|377000000||-22500000|22500000|22500000|1418200000|-1800000||81800000|251900000|25500000|22500000|226800000|464100000|274400000|356200000|226400000|TDY
2022-09-30|USD|226100000|1341600000|1115500000|785800000|245200000|283700000||332600000||-22000000|22000000|22000000|1363600000|5200000||80800000|231400000|53100000|22000000|178200000|-180900000|253400000|334200000|178300000|TDY
2022-06-30|USD|220500000|1343900000|1123400000|788600000|229500000|286400000||337700000||-22500000|22500000|22500000|1366400000|1000000||82700000|221500000|50200000|11900000|171300000|18200000|244000000|326700000|171300000|TDY
